"Standings"
"Rk","Team","FPts","FP/G","GP","Hit","Pit","WW","PBL"
"1","Portland Gnashers","8,137","4.3","1891","3,815","4,322","9","0"
"2","Urine, You're Out!!","8,123","4.23","1922","3,717","4,406","1","14"
"3","The Loners, Dottie, The Rebels","7,849","4.12","1904","3,952","3,897","4","288"
"4","Chris Davis K's again","7,809","4.14","1888","3,867","3,942","3","328"
"5","Taking the Parrot for a Walk","7,666","4.01","1912","3,663","4,003","2","471"
"6","Ronnie WOOOS","7,531","3.98","1894","3,945","3,586","10","606"
"7","The Great Colorado FLOOD 2013","7,419","3.98","1863","3,461","3,958","12","718"
"8","Yu Kidding Me, Right?","7,201","3.79","1902","3,467","3,734","7","936"
"9","Cap Anson's Colts","6,930","3.75","1849","3,388","3,542","6","1,207"
"10","Oconomowoc Millers","6,524","3.54","1841","2,941","3,583","8","1,613"
"11","Soler Power","6,517","3.39","1920","3,016","3,501","5","1,620"
"12","Swinging for Steel","6,416","3.4","1885","3,154","3,262","11","1,721"

"Standings - Points - Hitting"
"Rk","Team","FPts","H","R","2B","3B","HR","RBI","BB","SO","SB","CS","HBP","SH","SF","GIDP","CYC","E"
"1","The Loners, Dottie, The Rebels","3,952","1,672","819","327","66","621","777","716","-1,125","226","-52","78","13","47","-144","0","-89"
"2","Ronnie WOOOS","3,945","1,622","842","313","76","564","807","616","-1,079","316","-51","48","18","48","-121","0","-74"
"3","Chris Davis K's again","3,867","1,670","882","338","70","624","845","518","-1,184","240","-38","63","8","55","-138","0","-86"
"4","Portland Gnashers","3,815","1,703","868","345","82","546","756","556","-1,118","196","-44","56","24","60","-136","0","-79"
"5","Urine, You're Out!!","3,717","1,623","874","289","70","663","775","649","-1,268","146","-30","72","10","42","-117","0","-81"
"6","Taking the Parrot for a Walk","3,663","1,616","788","322","60","540","749","577","-1,088","200","-31","62","21","52","-128","0","-77"
"7","Yu Kidding Me, Right?","3,467","1,563","795","346","44","495","730","568","-1,171","224","-43","63","13","41","-120","0","-81"
"8","The Great Colorado FLOOD 2013","3,461","1,517","775","305","52","654","841","616","-1,389","244","-34","70","10","56","-146","0","-110"
"9","Cap Anson's Colts","3,388","1,580","747","321","56","393","659","485","-1,042","330","-47","46","21","46","-135","5","-77"
"10","Swinging for Steel","3,154","1,562","736","315","62","477","744","488","-1,308","234","-42","54","15","52","-135","0","-100"
"11","Soler Power","3,016","1,612","688","331","44","363","670","432","-1,171","200","-39","65","19","52","-153","0","-97"
"12","Oconomowoc Millers","2,941","1,468","681","294","50","435","638","472","-1,152","176","-37","82","14","41","-153","0","-68"

"Standings - Points - Pitching"
"Rk","Team","FPts","IP","W","L","SV","BS","CG","H","ER","BB","K","BK","WP","HB","SHO","NH","PG","E"
"1","Urine, You're Out!!","4,406","3,682","870","-305","950","-40","45","-1,076","-407","-311","1,031","-2","-43","-34","50","0","0","-4"
"2","Portland Gnashers","4,322","3,585","780","-285","890","-50","25","-1,101","-434","-253","1,212","0","-25","-26","10","0","0","-6"
"3","Taking the Parrot for a Walk","4,003","3,470","740","-315","780","-50","25","-1,021","-426","-316","1,155","-1","-42","-34","40","0","0","-2"
"4","The Great Colorado FLOOD 2013","3,958","3,429","880","-260","710","-70","45","-1,014","-418","-345","1,044","-4","-51","-44","40","20","0","-4"
"5","Chris Davis K's again","3,942","3,539","780","-320","680","-75","40","-1,018","-404","-373","1,148","-4","-45","-42","40","0","0","-4"
"6","The Loners, Dottie, The Rebels","3,897","3,495","750","-340","800","-50","20","-1,055","-399","-344","1,089","-2","-51","-42","30","0","0","-4"
"7","Yu Kidding Me, Right?","3,734","3,439","680","-320","760","-65","15","-1,013","-415","-294","1,058","-2","-64","-48","10","0","0","-7"
"8","Ronnie WOOOS","3,586","3,432","630","-365","840","-55","25","-1,127","-489","-302","1,039","-1","-25","-36","30","0","0","-10"
"9","Oconomowoc Millers","3,583","3,484","740","-315","490","-70","35","-1,076","-456","-288","1,095","-4","-27","-32","10","0","0","-3"
"10","Cap Anson's Colts","3,542","3,261","610","-345","840","-40","35","-1,001","-447","-285","959","-5","-47","-32","40","0","0","-1"
"11","Soler Power","3,501","3,426","630","-305","740","-55","20","-1,081","-419","-341","945","-3","-37","-33","20","0","0","-6"
"12","Swinging for Steel","3,262","3,284","640","-300","560","-55","15","-1,047","-418","-290","897","-2","-28","-29","20","20","0","-5"

"Standings - Statistics - Hitting"
"Rk","Team","FPts","GP","H","R","2B","3B","HR","RBI","BB","SO","SB","CS","HBP","SH","SF","GIDP","CYC","E"
"1","The Loners, Dottie, The Rebels","3,952","","1,672","819","327","33","207","777","716","1,125","113","52","78","13","47","144","0","89"
"2","Ronnie WOOOS","3,945","","1,622","842","313","38","188","807","616","1,079","158","51","48","18","48","121","0","74"
"3","Chris Davis K's again","3,867","","1,670","882","338","35","208","845","518","1,184","120","38","63","8","55","138","0","86"
"4","Portland Gnashers","3,815","","1,703","868","345","41","182","756","556","1,118","98","44","56","24","60","136","0","79"
"5","Urine, You're Out!!","3,717","","1,623","874","289","35","221","775","649","1,268","73","30","72","10","42","117","0","81"
"6","Taking the Parrot for a Walk","3,663","","1,616","788","322","30","180","749","577","1,088","100","31","62","21","52","128","0","77"
"7","Yu Kidding Me, Right?","3,467","","1,563","795","346","22","165","730","568","1,171","112","43","63","13","41","120","0","81"
"8","The Great Colorado FLOOD 2013","3,461","","1,517","775","305","26","218","841","616","1,389","122","34","70","10","56","146","0","110"
"9","Cap Anson's Colts","3,388","","1,580","747","321","28","131","659","485","1,042","165","47","46","21","46","135","1","77"
"10","Swinging for Steel","3,154","","1,562","736","315","31","159","744","488","1,308","117","42","54","15","52","135","0","100"
"11","Soler Power","3,016","","1,612","688","331","22","121","670","432","1,171","100","39","65","19","52","153","0","97"
"12","Oconomowoc Millers","2,941","","1,468","681","294","25","145","638","472","1,152","88","37","82","14","41","153","0","68"

"Standings - Statistics - Pitching"
"Rk","Team","FPts","GP","IP","W","L","SV","BS","CG","H","ER","BB","K","BK","WP","HB","SHO","NH","PG","E"
"1","Urine, You're Out!!","4,406","","1,227.1","87","61","95","8","9","1,076","407","311","1,031","2","43","34","5","0","0","4"
"2","Portland Gnashers","4,322","","1,195","78","57","89","10","5","1,101","434","253","1,212","0","25","26","1","0","0","6"
"3","Taking the Parrot for a Walk","4,003","","1,156.2","74","63","78","10","5","1,021","426","316","1,155","1","42","34","4","0","0","2"
"4","The Great Colorado FLOOD 2013","3,958","","1,143","88","52","71","14","9","1,014","418","345","1,044","4","51","44","4","1","0","4"
"5","Chris Davis K's again","3,942","","1,179.2","78","64","68","15","8","1,018","404","373","1,148","4","45","42","4","0","0","4"
"6","The Loners, Dottie, The Rebels","3,897","","1,165","75","68","80","10","4","1,055","399","344","1,089","2","51","42","3","0","0","4"
"7","Yu Kidding Me, Right?","3,734","","1,146.1","68","64","76","13","3","1,013","415","294","1,058","2","64","48","1","0","0","7"
"8","Ronnie WOOOS","3,586","","1,144","63","73","84","11","5","1,127","489","302","1,039","1","25","36","3","0","0","10"
"9","Oconomowoc Millers","3,583","","1,161.1","74","63","49","14","7","1,076","456","288","1,095","4","27","32","1","0","0","3"
"10","Cap Anson's Colts","3,542","","1,087","61","69","84","8","7","1,001","447","285","959","5","47","32","4","0","0","1"
"11","Soler Power","3,501","","1,142","63","61","74","11","4","1,081","419","341","945","3","37","33","2","0","0","6"
"12","Swinging for Steel","3,262","","1,094.2","64","60","56","11","3","1,047","418","290","897","2","28","29","2","1","0","5"

"Innings Pitched"
"Rk","FPts","Team","IP"
"1","3,682","Urine, You're Out!!","1,227.1"
"2","3,585","Portland Gnashers","1,195"
"3","3,539","Chris Davis K's again","1,179.2"
"4","3,495","The Loners, Dottie, The Rebels","1,165"
"5","3,484","Oconomowoc Millers","1,161.1"
"6","3,470","Taking the Parrot for a Walk","1,156.2"
"7","3,439","Yu Kidding Me, Right?","1,146.1"
"8","3,432","Ronnie WOOOS","1,144"
"9","3,429","The Great Colorado FLOOD 2013","1,143"
"10","3,426","Soler Power","1,142"
"11","3,284","Swinging for Steel","1,094.2"
"12","3,261","Cap Anson's Colts","1,087"

"Wins"
"Rk","FPts","Team","W"
"1","880","The Great Colorado FLOOD 2013","88"
"2","870","Urine, You're Out!!","87"
"3","780","Chris Davis K's again","78"
"3","780","Portland Gnashers","78"
"5","750","The Loners, Dottie, The Rebels","75"
"6","740","Oconomowoc Millers","74"
"6","740","Taking the Parrot for a Walk","74"
"8","680","Yu Kidding Me, Right?","68"
"9","640","Swinging for Steel","64"
"10","630","Ronnie WOOOS","63"
"10","630","Soler Power","63"
"12","610","Cap Anson's Colts","61"

"Losses"
"Rk","FPts","Team","L"
"1","-260","The Great Colorado FLOOD 2013","52"
"2","-285","Portland Gnashers","57"
"3","-300","Swinging for Steel","60"
"4","-305","Soler Power","61"
"4","-305","Urine, You're Out!!","61"
"6","-315","Oconomowoc Millers","63"
"6","-315","Taking the Parrot for a Walk","63"
"8","-320","Chris Davis K's again","64"
"8","-320","Yu Kidding Me, Right?","64"
"10","-340","The Loners, Dottie, The Rebels","68"
"11","-345","Cap Anson's Colts","69"
"12","-365","Ronnie WOOOS","73"

"Saves"
"Rk","FPts","Team","SV"
"1","950","Urine, You're Out!!","95"
"2","890","Portland Gnashers","89"
"3","840","Cap Anson's Colts","84"
"3","840","Ronnie WOOOS","84"
"5","800","The Loners, Dottie, The Rebels","80"
"6","780","Taking the Parrot for a Walk","78"
"7","760","Yu Kidding Me, Right?","76"
"8","740","Soler Power","74"
"9","710","The Great Colorado FLOOD 2013","71"
"10","680","Chris Davis K's again","68"
"11","560","Swinging for Steel","56"
"12","490","Oconomowoc Millers","49"

"Blown Saves"
"Rk","FPts","Team","BS"
"1","-40","Cap Anson's Colts","8"
"1","-40","Urine, You're Out!!","8"
"3","-50","Portland Gnashers","10"
"3","-50","Taking the Parrot for a Walk","10"
"3","-50","The Loners, Dottie, The Rebels","10"
"6","-55","Ronnie WOOOS","11"
"6","-55","Soler Power","11"
"6","-55","Swinging for Steel","11"
"9","-65","Yu Kidding Me, Right?","13"
"10","-70","Oconomowoc Millers","14"
"10","-70","The Great Colorado FLOOD 2013","14"
"12","-75","Chris Davis K's again","15"

"Complete Games"
"Rk","FPts","Team","CG"
"1","45","The Great Colorado FLOOD 2013","9"
"1","45","Urine, You're Out!!","9"
"3","40","Chris Davis K's again","8"
"4","35","Cap Anson's Colts","7"
"4","35","Oconomowoc Millers","7"
"6","25","Portland Gnashers","5"
"6","25","Ronnie WOOOS","5"
"6","25","Taking the Parrot for a Walk","5"
"9","20","Soler Power","4"
"9","20","The Loners, Dottie, The Rebels","4"
"11","15","Swinging for Steel","3"
"11","15","Yu Kidding Me, Right?","3"

"Hits Allowed"
"Rk","FPts","Team","H"
"1","-1,001","Cap Anson's Colts","1,001"
"2","-1,013","Yu Kidding Me, Right?","1,013"
"3","-1,014","The Great Colorado FLOOD 2013","1,014"
"4","-1,018","Chris Davis K's again","1,018"
"5","-1,021","Taking the Parrot for a Walk","1,021"
"6","-1,047","Swinging for Steel","1,047"
"7","-1,055","The Loners, Dottie, The Rebels","1,055"
"8","-1,076","Oconomowoc Millers","1,076"
"8","-1,076","Urine, You're Out!!","1,076"
"10","-1,081","Soler Power","1,081"
"11","-1,101","Portland Gnashers","1,101"
"12","-1,127","Ronnie WOOOS","1,127"

"Earned Runs Allowed"
"Rk","FPts","Team","ER"
"1","-399","The Loners, Dottie, The Rebels","399"
"2","-404","Chris Davis K's again","404"
"3","-407","Urine, You're Out!!","407"
"4","-415","Yu Kidding Me, Right?","415"
"5","-418","Swinging for Steel","418"
"5","-418","The Great Colorado FLOOD 2013","418"
"7","-419","Soler Power","419"
"8","-426","Taking the Parrot for a Walk","426"
"9","-434","Portland Gnashers","434"
"10","-447","Cap Anson's Colts","447"
"11","-456","Oconomowoc Millers","456"
"12","-489","Ronnie WOOOS","489"

"Walks Allowed"
"Rk","FPts","Team","BB"
"1","-253","Portland Gnashers","253"
"2","-285","Cap Anson's Colts","285"
"3","-288","Oconomowoc Millers","288"
"4","-290","Swinging for Steel","290"
"5","-294","Yu Kidding Me, Right?","294"
"6","-302","Ronnie WOOOS","302"
"7","-311","Urine, You're Out!!","311"
"8","-316","Taking the Parrot for a Walk","316"
"9","-341","Soler Power","341"
"10","-344","The Loners, Dottie, The Rebels","344"
"11","-345","The Great Colorado FLOOD 2013","345"
"12","-373","Chris Davis K's again","373"

"Strikeouts Pitched"
"Rk","FPts","Team","K"
"1","1,212","Portland Gnashers","1,212"
"2","1,155","Taking the Parrot for a Walk","1,155"
"3","1,148","Chris Davis K's again","1,148"
"4","1,095","Oconomowoc Millers","1,095"
"5","1,089","The Loners, Dottie, The Rebels","1,089"
"6","1,058","Yu Kidding Me, Right?","1,058"
"7","1,044","The Great Colorado FLOOD 2013","1,044"
"8","1,039","Ronnie WOOOS","1,039"
"9","1,031","Urine, You're Out!!","1,031"
"10","959","Cap Anson's Colts","959"
"11","945","Soler Power","945"
"12","897","Swinging for Steel","897"

"Balks"
"Rk","FPts","Team","BK"
"1","0","Portland Gnashers","0"
"2","-1","Ronnie WOOOS","1"
"2","-1","Taking the Parrot for a Walk","1"
"4","-2","Swinging for Steel","2"
"4","-2","The Loners, Dottie, The Rebels","2"
"4","-2","Urine, You're Out!!","2"
"4","-2","Yu Kidding Me, Right?","2"
"8","-3","Soler Power","3"
"9","-4","Chris Davis K's again","4"
"9","-4","Oconomowoc Millers","4"
"9","-4","The Great Colorado FLOOD 2013","4"
"12","-5","Cap Anson's Colts","5"

"Wild Pitches"
"Rk","FPts","Team","WP"
"1","-25","Portland Gnashers","25"
"1","-25","Ronnie WOOOS","25"
"3","-27","Oconomowoc Millers","27"
"4","-28","Swinging for Steel","28"
"5","-37","Soler Power","37"
"6","-42","Taking the Parrot for a Walk","42"
"7","-43","Urine, You're Out!!","43"
"8","-45","Chris Davis K's again","45"
"9","-47","Cap Anson's Colts","47"
"10","-51","The Great Colorado FLOOD 2013","51"
"10","-51","The Loners, Dottie, The Rebels","51"
"12","-64","Yu Kidding Me, Right?","64"

"Hit Batsmen"
"Rk","FPts","Team","HB"
"1","-26","Portland Gnashers","26"
"2","-29","Swinging for Steel","29"
"3","-32","Cap Anson's Colts","32"
"3","-32","Oconomowoc Millers","32"
"5","-33","Soler Power","33"
"6","-34","Taking the Parrot for a Walk","34"
"6","-34","Urine, You're Out!!","34"
"8","-36","Ronnie WOOOS","36"
"9","-42","Chris Davis K's again","42"
"9","-42","The Loners, Dottie, The Rebels","42"
"11","-44","The Great Colorado FLOOD 2013","44"
"12","-48","Yu Kidding Me, Right?","48"

"Shutouts"
"Rk","FPts","Team","SHO"
"1","50","Urine, You're Out!!","5"
"2","40","Cap Anson's Colts","4"
"2","40","Chris Davis K's again","4"
"2","40","Taking the Parrot for a Walk","4"
"2","40","The Great Colorado FLOOD 2013","4"
"6","30","Ronnie WOOOS","3"
"6","30","The Loners, Dottie, The Rebels","3"
"8","20","Soler Power","2"
