"Standings"
"Rk","Team","FPts","FP/G","GP","Hit","Pit","WW","PBL"
"1","Edmund Madison Muskies","8,710","4.57","1906","4,639","4,071","7","0"
"2","Ronnie WOOOS","8,623","4.52","1907","4,197","4,426","11","87"
"3","Hakuna Machado","8,255","4.36","1894","4,163","4,092","2","455"
"4","Mad Mad Minions","7,886","4.13","1908","3,919","3,967","1","824"
"5","El Hombre","7,685","4.11","1871","4,086","3,599","12","1,025"
"6","Portland Gnashers","7,512","3.91","1919","4,401","3,111","10","1,198"
"7","The Jesus Lizard","7,429","3.95","1882","3,710","3,719","9","1,281"
"8","Fort Collins Micro-Brewers","7,416","3.99","1858","4,390","3,026","5","1,294"
"9","Urine, You're Out!!","7,217","3.87","1866","3,700","3,517","4","1,493"
"10","Hector Villanueva Fan Club","6,917","3.86","1793","3,652","3,265","8","1,793"
"11","Oconomowoc Millers","6,795","3.78","1796","3,591","3,204","6","1,915"
"12","Goldschmidt Happens","6,610","3.49","1894","3,530","3,080","3","2,100"

"Standings - Points - Hitting"
"Rk","Team","FPts","H","R","2B","3B","HR","RBI","BB","SO","SB","CS","HBP","SH","SF","GIDP","CYC","E","AOF"
"1","Edmund Madison Muskies","4,639","1,709","1,038","348","58","975","963","737","-1,319","186","-25","94","5","52","-127","0","-86","31"
"2","Portland Gnashers","4,401","1,600","1,022","322","70","1,017","935","720","-1,359","166","-26","85","3","42","-131","0","-84","19"
"3","Fort Collins Micro-Brewers","4,390","1,641","1,008","316","60","1,029","956","667","-1,400","180","-31","69","3","39","-104","0","-72","29"
"4","Ronnie WOOOS","4,197","1,657","969","356","42","861","917","672","-1,380","186","-38","75","7","48","-113","5","-99","32"
"5","Hakuna Machado","4,163","1,606","971","332","56","969","971","679","-1,458","152","-26","69","7","51","-150","0","-87","21"
"6","El Hombre","4,086","1,591","910","320","50","864","892","600","-1,294","204","-25","70","7","49","-112","5","-77","32"
"7","Mad Mad Minions","3,919","1,611","916","329","72","810","908","611","-1,387","158","-23","62","7","54","-141","0","-91","23"
"8","The Jesus Lizard","3,710","1,534","857","317","80","762","845","630","-1,423","208","-32","66","5","45","-111","0","-99","26"
"9","Urine, You're Out!!","3,700","1,612","920","354","56","762","830","506","-1,432","214","-33","76","10","34","-140","5","-98","24"
"10","Hector Villanueva Fan Club","3,652","1,460","848","256","32","876","845","597","-1,312","166","-27","56","1","38","-116","5","-85","12"
"11","Oconomowoc Millers","3,591","1,527","840","326","60","711","801","480","-1,254","170","-25","73","5","36","-116","0","-74","31"
"12","Goldschmidt Happens","3,530","1,488","889","314","62","822","833","563","-1,613","236","-53","97","14","39","-108","0","-91","38"

"Standings - Points - Pitching"
"Rk","Team","FPts","IP","W","L","SV","BS","CG","H","ER","BB","K","BK","WP","HB","SHO","NH","PG","E"
"1","Ronnie WOOOS","4,426","3,368","840","-255","820","-45","35","-966","-395","-250","1,271","-4","-24","-38","50","20","0","-1"
"2","Hakuna Machado","4,092","3,430","870","-270","640","-80","15","-998","-479","-297","1,341","-7","-40","-49","20","0","0","-4"
"3","Edmund Madison Muskies","4,071","3,464","910","-240","500","-65","10","-963","-462","-372","1,361","-5","-26","-36","0","0","0","-5"
"4","Mad Mad Minions","3,967","3,331","790","-245","760","-70","0","-1,019","-471","-313","1,277","0","-34","-33","0","0","0","-6"
"5","The Jesus Lizard","3,719","3,222","700","-235","660","-40","10","-948","-444","-317","1,184","-4","-36","-50","20","0","0","-3"
"6","El Hombre","3,599","3,307","800","-220","600","-60","5","-1,044","-466","-300","1,044","-5","-28","-36","10","0","0","-8"
"7","Urine, You're Out!!","3,517","3,157","660","-290","710","-50","10","-952","-466","-331","1,129","-6","-35","-35","20","0","0","-4"
"8","Hector Villanueva Fan Club","3,265","3,196","740","-265","470","-50","5","-963","-437","-389","1,033","-3","-21","-56","10","0","0","-5"
"9","Oconomowoc Millers","3,204","3,041","630","-265","670","-40","0","-967","-456","-336","1,019","-1","-47","-40","0","0","0","-4"
"10","Portland Gnashers","3,111","3,095","550","-325","540","-40","0","-903","-460","-346","1,077","-3","-32","-38","0","0","0","-4"
"11","Goldschmidt Happens","3,080","2,999","630","-340","710","-80","15","-1,019","-482","-299","1,008","-3","-33","-45","20","0","0","-1"
"12","Fort Collins Micro-Brewers","3,026","3,152","560","-300","410","-55","15","-1,018","-514","-285","1,158","-5","-34","-52","0","0","0","-6"

"Standings - Statistics - Hitting"
"Rk","Team","FPts","GP","H","R","2B","3B","HR","RBI","BB","SO","SB","CS","HBP","SH","SF","GIDP","CYC","E","AOF"
"1","Edmund Madison Muskies","4,639","","1,709","1,038","348","29","325","963","737","1,319","93","25","94","5","52","127","0","86","31"
"2","Portland Gnashers","4,401","","1,600","1,022","322","35","339","935","720","1,359","83","26","85","3","42","131","0","84","19"
"3","Fort Collins Micro-Brewers","4,390","","1,641","1,008","316","30","343","956","667","1,400","90","31","69","3","39","104","0","72","29"
"4","Ronnie WOOOS","4,197","","1,657","969","356","21","287","917","672","1,380","93","38","75","7","48","113","1","99","32"
"5","Hakuna Machado","4,163","","1,606","971","332","28","323","971","679","1,458","76","26","69","7","51","150","0","87","21"
"6","El Hombre","4,086","","1,591","910","320","25","288","892","600","1,294","102","25","70","7","49","112","1","77","32"
"7","Mad Mad Minions","3,919","","1,611","916","329","36","270","908","611","1,387","79","23","62","7","54","141","0","91","23"
"8","The Jesus Lizard","3,710","","1,534","857","317","40","254","845","630","1,423","104","32","66","5","45","111","0","99","26"
"9","Urine, You're Out!!","3,700","","1,612","920","354","28","254","830","506","1,432","107","33","76","10","34","140","1","98","24"
"10","Hector Villanueva Fan Club","3,652","","1,460","848","256","16","292","845","597","1,312","83","27","56","1","38","116","1","85","12"
"11","Oconomowoc Millers","3,591","","1,527","840","326","30","237","801","480","1,254","85","25","73","5","36","116","0","74","31"
"12","Goldschmidt Happens","3,530","","1,488","889","314","31","274","833","563","1,613","118","53","97","14","39","108","0","91","38"

"Standings - Statistics - Pitching"
"Rk","Team","FPts","GP","IP","W","L","SV","BS","CG","H","ER","BB","K","BK","WP","HB","SHO","NH","PG","E"
"1","Ronnie WOOOS","4,426","","1,122.2","84","51","82","9","7","966","395","250","1,271","4","24","38","5","1","0","1"
"2","Hakuna Machado","4,092","","1,143.1","87","54","64","16","3","998","479","297","1,341","7","40","49","2","0","0","4"
"3","Edmund Madison Muskies","4,071","","1,154.2","91","48","50","13","2","963","462","372","1,361","5","26","36","0","0","0","5"
"4","Mad Mad Minions","3,967","","1,110.1","79","49","76","14","0","1,019","471","313","1,277","0","34","33","0","0","0","6"
"5","The Jesus Lizard","3,719","","1,074","70","47","66","8","2","948","444","317","1,184","4","36","50","2","0","0","3"
"6","El Hombre","3,599","","1,102.1","80","44","60","12","1","1,044","466","300","1,044","5","28","36","1","0","0","8"
"7","Urine, You're Out!!","3,517","","1,052.1","66","58","71","10","2","952","466","331","1,129","6","35","35","2","0","0","4"
"8","Hector Villanueva Fan Club","3,265","","1,065.1","74","53","47","10","1","963","437","389","1,033","3","21","56","1","0","0","5"
"9","Oconomowoc Millers","3,204","","1,013.2","63","53","67","8","0","967","456","336","1,019","1","47","40","0","0","0","4"
"10","Portland Gnashers","3,111","","1,031.2","55","65","54","8","0","903","460","346","1,077","3","32","38","0","0","0","4"
"11","Goldschmidt Happens","3,080","","999.2","63","68","71","16","3","1,019","482","299","1,008","3","33","45","2","0","0","1"
"12","Fort Collins Micro-Brewers","3,026","","1,050.2","56","60","41","11","3","1,018","514","285","1,158","5","34","52","0","0","0","6"

"Innings Pitched"
"Rk","FPts","Team","IP"
"1","3,464","Edmund Madison Muskies","1,154.2"
"2","3,430","Hakuna Machado","1,143.1"
"3","3,368","Ronnie WOOOS","1,122.2"
"4","3,331","Mad Mad Minions","1,110.1"
"5","3,307","El Hombre","1,102.1"
"6","3,222","The Jesus Lizard","1,074"
"7","3,196","Hector Villanueva Fan Club","1,065.1"
"8","3,157","Urine, You're Out!!","1,052.1"
"9","3,152","Fort Collins Micro-Brewers","1,050.2"
"10","3,095","Portland Gnashers","1,031.2"
"11","3,041","Oconomowoc Millers","1,013.2"
"12","2,999","Goldschmidt Happens","999.2"

"Wins"
"Rk","FPts","Team","W"
"1","910","Edmund Madison Muskies","91"
"2","870","Hakuna Machado","87"
"3","840","Ronnie WOOOS","84"
"4","800","El Hombre","80"
"5","790","Mad Mad Minions","79"
"6","740","Hector Villanueva Fan Club","74"
"7","700","The Jesus Lizard","70"
"8","660","Urine, You're Out!!","66"
"9","630","Goldschmidt Happens","63"
"9","630","Oconomowoc Millers","63"
"11","560","Fort Collins Micro-Brewers","56"
"12","550","Portland Gnashers","55"

"Losses"
"Rk","FPts","Team","L"
"1","-220","El Hombre","44"
"2","-235","The Jesus Lizard","47"
"3","-240","Edmund Madison Muskies","48"
"4","-245","Mad Mad Minions","49"
"5","-255","Ronnie WOOOS","51"
"6","-265","Hector Villanueva Fan Club","53"
"6","-265","Oconomowoc Millers","53"
"8","-270","Hakuna Machado","54"
"9","-290","Urine, You're Out!!","58"
"10","-300","Fort Collins Micro-Brewers","60"
"11","-325","Portland Gnashers","65"
"12","-340","Goldschmidt Happens","68"

"Saves"
"Rk","FPts","Team","SV"
"1","820","Ronnie WOOOS","82"
"2","760","Mad Mad Minions","76"
"3","710","Goldschmidt Happens","71"
"3","710","Urine, You're Out!!","71"
"5","670","Oconomowoc Millers","67"
"6","660","The Jesus Lizard","66"
"7","640","Hakuna Machado","64"
"8","600","El Hombre","60"
"9","540","Portland Gnashers","54"
"10","500","Edmund Madison Muskies","50"
"11","470","Hector Villanueva Fan Club","47"
"12","410","Fort Collins Micro-Brewers","41"

"Blown Saves"
"Rk","FPts","Team","BS"
"1","-40","Oconomowoc Millers","8"
"1","-40","Portland Gnashers","8"
"1","-40","The Jesus Lizard","8"
"4","-45","Ronnie WOOOS","9"
"5","-50","Hector Villanueva Fan Club","10"
"5","-50","Urine, You're Out!!","10"
"7","-55","Fort Collins Micro-Brewers","11"
"8","-60","El Hombre","12"
"9","-65","Edmund Madison Muskies","13"
"10","-70","Mad Mad Minions","14"
"11","-80","Goldschmidt Happens","16"
"11","-80","Hakuna Machado","16"

"Complete Games"
"Rk","FPts","Team","CG"
"1","35","Ronnie WOOOS","7"
"2","15","Fort Collins Micro-Brewers","3"
"2","15","Goldschmidt Happens","3"
"2","15","Hakuna Machado","3"
"5","10","Edmund Madison Muskies","2"
"5","10","The Jesus Lizard","2"
"5","10","Urine, You're Out!!","2"
"8","5","El Hombre","1"
"8","5","Hector Villanueva Fan Club","1"
"10","0","Mad Mad Minions","0"
"10","0","Oconomowoc Millers","0"
"10","0","Portland Gnashers","0"

"Hits Allowed"
"Rk","FPts","Team","H"
"1","-903","Portland Gnashers","903"
"2","-948","The Jesus Lizard","948"
"3","-952","Urine, You're Out!!","952"
"4","-963","Edmund Madison Muskies","963"
"4","-963","Hector Villanueva Fan Club","963"
"6","-966","Ronnie WOOOS","966"
"7","-967","Oconomowoc Millers","967"
"8","-998","Hakuna Machado","998"
"9","-1,018","Fort Collins Micro-Brewers","1,018"
"10","-1,019","Goldschmidt Happens","1,019"
"10","-1,019","Mad Mad Minions","1,019"
"12","-1,044","El Hombre","1,044"

"Earned Runs Allowed"
"Rk","FPts","Team","ER"
"1","-395","Ronnie WOOOS","395"
"2","-437","Hector Villanueva Fan Club","437"
"3","-444","The Jesus Lizard","444"
"4","-456","Oconomowoc Millers","456"
"5","-460","Portland Gnashers","460"
"6","-462","Edmund Madison Muskies","462"
"7","-466","El Hombre","466"
"7","-466","Urine, You're Out!!","466"
"9","-471","Mad Mad Minions","471"
"10","-479","Hakuna Machado","479"
"11","-482","Goldschmidt Happens","482"
"12","-514","Fort Collins Micro-Brewers","514"

"Walks Allowed"
"Rk","FPts","Team","BB"
"1","-250","Ronnie WOOOS","250"
"2","-285","Fort Collins Micro-Brewers","285"
"3","-297","Hakuna Machado","297"
"4","-299","Goldschmidt Happens","299"
"5","-300","El Hombre","300"
"6","-313","Mad Mad Minions","313"
"7","-317","The Jesus Lizard","317"
"8","-331","Urine, You're Out!!","331"
"9","-336","Oconomowoc Millers","336"
"10","-346","Portland Gnashers","346"
"11","-372","Edmund Madison Muskies","372"
"12","-389","Hector Villanueva Fan Club","389"

"Strikeouts Pitched"
"Rk","FPts","Team","K"
"1","1,361","Edmund Madison Muskies","1,361"
"2","1,341","Hakuna Machado","1,341"
"3","1,277","Mad Mad Minions","1,277"
"4","1,271","Ronnie WOOOS","1,271"
"5","1,184","The Jesus Lizard","1,184"
"6","1,158","Fort Collins Micro-Brewers","1,158"
"7","1,129","Urine, You're Out!!","1,129"
"8","1,077","Portland Gnashers","1,077"
"9","1,044","El Hombre","1,044"
"10","1,033","Hector Villanueva Fan Club","1,033"
"11","1,019","Oconomowoc Millers","1,019"
"12","1,008","Goldschmidt Happens","1,008"

"Balks"
"Rk","FPts","Team","BK"
"1","0","Mad Mad Minions","0"
"2","-1","Oconomowoc Millers","1"
"3","-3","Goldschmidt Happens","3"
"3","-3","Hector Villanueva Fan Club","3"
"3","-3","Portland Gnashers","3"
"6","-4","Ronnie WOOOS","4"
"6","-4","The Jesus Lizard","4"
"8","-5","Edmund Madison Muskies","5"
"8","-5","El Hombre","5"
"8","-5","Fort Collins Micro-Brewers","5"
"11","-6","Urine, You're Out!!","6"
"12","-7","Hakuna Machado","7"

"Wild Pitches"
"Rk","FPts","Team","WP"
"1","-21","Hector Villanueva Fan Club","21"
"2","-24","Ronnie WOOOS","24"
"3","-26","Edmund Madison Muskies","26"
"4","-28","El Hombre","28"
"5","-32","Portland Gnashers","32"
"6","-33","Goldschmidt Happens","33"
"7","-34","Fort Collins Micro-Brewers","34"
"7","-34","Mad Mad Minions","34"
"9","-35","Urine, You're Out!!","35"
"10","-36","The Jesus Lizard","36"
"11","-40","Hakuna Machado","40"
"12","-47","Oconomowoc Millers","47"

"Hit Batsmen"
"Rk","FPts","Team","HB"
"1","-33","Mad Mad Minions","33"
"2","-35","Urine, You're Out!!","35"
"3","-36","Edmund Madison Muskies","36"
"3","-36","El Hombre","36"
"5","-38","Portland Gnashers","38"
"5","-38","Ronnie WOOOS","38"
"7","-40","Oconomowoc Millers","40"
"8","-45","Goldschmidt Happens","45"
"9","-49","Hakuna Machado","49"
"10","-50","The Jesus Lizard","50"
"11","-52","Fort Collins Micro-Brewers","52"
"12","-56","Hector Villanueva Fan Club","56"

"Shutouts"
"Rk","FPts","Team","SHO"
"1","50","Ronnie WOOOS","5"
"2","20","Goldschmidt Happens","2"
"2","20","Hakuna Machado","2"
"2","20","The Jesus Lizard","2"
"2","20","Urine, You're Out!!","2"
"6","10","El Hombre","1"
"6","10","Hector Villanueva Fan Club","1"
"8","0","Edmund Madison Muskies","0"
"8","0","Fort Collins Micro-Brewers","0"
"8","0","Mad Mad Minions","0"
"8","0","Oconomowoc Millers","0"
"8","0","Portland Gnashers","0"

"No Hitters"
"Rk","FPts","Team","NH"
"1","20","Ronnie WOOOS","1"
"2","0","Edmund Madison Muskies","0"
"2","0","El Hombre","0"
"2","0","Fort Collins Micro-Brewers","0"
