"Standings"
"Rk","Team","FPts","FP/G","GP","Hit","Pit","WW","PBL"
"1","The Mamas and Milt Pappas","7,988","4.14","1929","4,066","3,922","12","0"
"2","Portland Gnashers","7,889","4.09","1927","4,064","3,825","10","99"
"3","Seattle Steelhead","7,858","4.08","1926","4,278","3,580","6","130"
"4","Ronnie WOOOS","7,573","3.98","1903","4,302","3,271","11","415"
"5","Going, Going, Gonzaga","7,513","3.91","1922","3,822","3,691","7","475"
"6","Norwich DeSilva","7,248","3.91","1856","4,065","3,183","5","740"
"7","Big Bad Wolf(e)","7,016","3.73","1879","3,699","3,317","3","972"
"8","Hakuna Matata","6,971","3.64","1915","3,297","3,674","4","1,017"
"9","Mad Mad Minions","6,848","3.72","1843","3,460","3,388","1","1,140"
"10","Tough Break Thompson","6,535","3.44","1902","3,244","3,291","9","1,453"
"11","Yoshida's Island","6,521","3.39","1921","3,793","2,728","2","1,467"
"12","Urine, You're Out!!","6,407","3.7","1730","3,158","3,249","8","1,581"

"Standings - Points - Hitting"
"Rk","Team","FPts","H","R","2B","3B","HR","RBI","BB","SO","SB","CS","HBP","SH","SF","GIDP","CYC","E","AOF"
"1","Ronnie WOOOS","4,302","1,668","904","323","62","789","917","655","-1,305","356","-51","76","6","53","-121","0","-51","21"
"2","Seattle Steelhead","4,278","1,609","960","323","78","846","966","643","-1,413","344","-29","71","6","42","-130","0","-61","23"
"3","The Mamas and Milt Pappas","4,066","1,657","942","315","60","678","808","633","-1,301","336","-32","99","5","55","-152","5","-75","33"
"4","Norwich DeSilva","4,065","1,582","954","316","48","927","874","619","-1,517","358","-38","74","3","39","-130","5","-84","35"
"5","Portland Gnashers","4,064","1,536","933","309","58","840","924","743","-1,515","340","-41","51","6","48","-123","5","-86","36"
"6","Going, Going, Gonzaga","3,822","1,592","888","330","40","792","888","631","-1,443","198","-22","63","1","43","-129","0","-76","26"
"7","Yoshida's Island","3,793","1,607","886","336","60","672","793","543","-1,336","300","-34","89","10","51","-155","0","-60","31"
"8","Big Bad Wolf(e)","3,699","1,543","878","331","54","630","765","558","-1,333","346","-32","93","10","41","-144","0","-61","20"
"9","Mad Mad Minions","3,460","1,414","795","289","40","687","785","618","-1,353","216","-23","91","3","51","-118","0","-58","23"
"10","Hakuna Matata","3,297","1,548","784","293","46","603","759","545","-1,390","188","-36","80","9","37","-114","5","-74","14"
"11","Tough Break Thompson","3,244","1,434","774","298","36","762","827","564","-1,581","190","-23","80","5","44","-137","0","-69","40"
"12","Urine, You're Out!!","3,158","1,362","743","280","50","582","748","535","-1,352","222","-26","94","5","48","-120","5","-45","27"

"Standings - Points - Pitching"
"Rk","Team","FPts","IP","W","L","SV","BS","CG","H","ER","BB","K","BK","WP","HB","SHO","NH","PG","E"
"1","The Mamas and Milt Pappas","3,922","3,389","850","-275","550","-50","25","-928","-391","-326","1,129","-7","-35","-51","30","20","0","-8"
"2","Portland Gnashers","3,825","3,150","850","-270","760","-70","10","-902","-451","-353","1,214","-9","-40","-52","0","0","0","-12"
"3","Going, Going, Gonzaga","3,691","3,242","740","-240","630","-85","20","-924","-435","-286","1,080","-3","-23","-37","20","0","0","-8"
"4","Hakuna Matata","3,674","3,152","830","-270","710","-45","0","-921","-412","-346","1,094","-5","-57","-48","0","0","0","-8"
"5","Seattle Steelhead","3,580","3,235","730","-300","580","-55","15","-993","-445","-300","1,179","-4","-27","-42","10","0","0","-3"
"6","Mad Mad Minions","3,388","3,034","640","-320","810","-80","5","-906","-441","-318","1,035","-1","-35","-40","10","0","0","-5"
"7","Big Bad Wolf(e)","3,317","3,059","590","-275","690","-50","15","-983","-456","-276","1,064","-10","-31","-42","30","0","0","-8"
"8","Tough Break Thompson","3,291","3,113","670","-365","700","-65","0","-1,003","-496","-341","1,167","-3","-37","-43","0","0","0","-6"
"9","Ronnie WOOOS","3,271","3,097","690","-320","540","-50","10","-885","-440","-376","1,078","-7","-48","-33","20","0","0","-5"
"10","Urine, You're Out!!","3,249","2,817","580","-220","640","-60","5","-790","-361","-277","960","0","-15","-35","10","0","0","-5"
"11","Norwich DeSilva","3,183","3,154","650","-275","360","-50","20","-947","-435","-326","1,058","-5","-33","-33","30","20","0","-5"
"12","Yoshida's Island","2,728","2,992","480","-300","600","-60","0","-982","-543","-324","949","-4","-20","-56","0","0","0","-4"

"Standings - Statistics - Hitting"
"Rk","Team","FPts","GP","H","R","2B","3B","HR","RBI","BB","SO","SB","CS","HBP","SH","SF","GIDP","CYC","E","AOF"
"1","Ronnie WOOOS","4,302","","1,668","904","323","31","263","917","655","1,305","178","51","76","6","53","121","0","51","21"
"2","Seattle Steelhead","4,278","","1,609","960","323","39","282","966","643","1,413","172","29","71","6","42","130","0","61","23"
"3","The Mamas and Milt Pappas","4,066","","1,657","942","315","30","226","808","633","1,301","168","32","99","5","55","152","1","75","33"
"4","Norwich DeSilva","4,065","","1,582","954","316","24","309","874","619","1,517","179","38","74","3","39","130","1","84","35"
"5","Portland Gnashers","4,064","","1,536","933","309","29","280","924","743","1,515","170","41","51","6","48","123","1","86","36"
"6","Going, Going, Gonzaga","3,822","","1,592","888","330","20","264","888","631","1,443","99","22","63","1","43","129","0","76","26"
"7","Yoshida's Island","3,793","","1,607","886","336","30","224","793","543","1,336","150","34","89","10","51","155","0","60","31"
"8","Big Bad Wolf(e)","3,699","","1,543","878","331","27","210","765","558","1,333","173","32","93","10","41","144","0","61","20"
"9","Mad Mad Minions","3,460","","1,414","795","289","20","229","785","618","1,353","108","23","91","3","51","118","0","58","23"
"10","Hakuna Matata","3,297","","1,548","784","293","23","201","759","545","1,390","94","36","80","9","37","114","1","74","14"
"11","Tough Break Thompson","3,244","","1,434","774","298","18","254","827","564","1,581","95","23","80","5","44","137","0","69","40"
"12","Urine, You're Out!!","3,158","","1,362","743","280","25","194","748","535","1,352","111","26","94","5","48","120","1","45","27"

"Standings - Statistics - Pitching"
"Rk","Team","FPts","GP","IP","W","L","SV","BS","CG","H","ER","BB","K","BK","WP","HB","SHO","NH","PG","E"
"1","The Mamas and Milt Pappas","3,922","","1,129.2","85","55","55","10","5","928","391","326","1,129","7","35","51","3","1","0","8"
"2","Portland Gnashers","3,825","","1,050","85","54","76","14","2","902","451","353","1,214","9","40","52","0","0","0","12"
"3","Going, Going, Gonzaga","3,691","","1,080.2","74","48","63","17","4","924","435","286","1,080","3","23","37","2","0","0","8"
"4","Hakuna Matata","3,674","","1,050.2","83","54","71","9","0","921","412","346","1,094","5","57","48","0","0","0","8"
"5","Seattle Steelhead","3,580","","1,078.1","73","60","58","11","3","993","445","300","1,179","4","27","42","1","0","0","3"
"6","Mad Mad Minions","3,388","","1,011.1","64","64","81","16","1","906","441","318","1,035","1","35","40","1","0","0","5"
"7","Big Bad Wolf(e)","3,317","","1,019.2","59","55","69","10","3","983","456","276","1,064","10","31","42","3","0","0","8"
"8","Tough Break Thompson","3,291","","1,037.2","67","73","70","13","0","1,003","496","341","1,167","3","37","43","0","0","0","6"
"9","Ronnie WOOOS","3,271","","1,032.1","69","64","54","10","2","885","440","376","1,078","7","48","33","2","0","0","5"
"10","Urine, You're Out!!","3,249","","939","58","44","64","12","1","790","361","277","960","0","15","35","1","0","0","5"
"11","Norwich DeSilva","3,183","","1,051.1","65","55","36","10","4","947","435","326","1,058","5","33","33","3","1","0","5"
"12","Yoshida's Island","2,728","","997.1","48","60","60","12","0","982","543","324","949","4","20","56","0","0","0","4"

"Innings Pitched"
"Rk","FPts","Team","IP"
"1","3,389","The Mamas and Milt Pappas","1,129.2"
"2","3,242","Going, Going, Gonzaga","1,080.2"
"3","3,235","Seattle Steelhead","1,078.1"
"4","3,154","Norwich DeSilva","1,051.1"
"5","3,152","Hakuna Matata","1,050.2"
"6","3,150","Portland Gnashers","1,050"
"7","3,113","Tough Break Thompson","1,037.2"
"8","3,097","Ronnie WOOOS","1,032.1"
"9","3,059","Big Bad Wolf(e)","1,019.2"
"10","3,034","Mad Mad Minions","1,011.1"
"11","2,992","Yoshida's Island","997.1"
"12","2,817","Urine, You're Out!!","939"

"Wins"
"Rk","FPts","Team","W"
"1","850","Portland Gnashers","85"
"1","850","The Mamas and Milt Pappas","85"
"3","830","Hakuna Matata","83"
"4","740","Going, Going, Gonzaga","74"
"5","730","Seattle Steelhead","73"
"6","690","Ronnie WOOOS","69"
"7","670","Tough Break Thompson","67"
"8","650","Norwich DeSilva","65"
"9","640","Mad Mad Minions","64"
"10","590","Big Bad Wolf(e)","59"
"11","580","Urine, You're Out!!","58"
"12","480","Yoshida's Island","48"

"Losses"
"Rk","FPts","Team","L"
"1","-220","Urine, You're Out!!","44"
"2","-240","Going, Going, Gonzaga","48"
"3","-270","Hakuna Matata","54"
"3","-270","Portland Gnashers","54"
"5","-275","Big Bad Wolf(e)","55"
"5","-275","Norwich DeSilva","55"
"5","-275","The Mamas and Milt Pappas","55"
"8","-300","Seattle Steelhead","60"
"8","-300","Yoshida's Island","60"
"10","-320","Mad Mad Minions","64"
"10","-320","Ronnie WOOOS","64"
"12","-365","Tough Break Thompson","73"

"Saves"
"Rk","FPts","Team","SV"
"1","810","Mad Mad Minions","81"
"2","760","Portland Gnashers","76"
"3","710","Hakuna Matata","71"
"4","700","Tough Break Thompson","70"
"5","690","Big Bad Wolf(e)","69"
"6","640","Urine, You're Out!!","64"
"7","630","Going, Going, Gonzaga","63"
"8","600","Yoshida's Island","60"
"9","580","Seattle Steelhead","58"
"10","550","The Mamas and Milt Pappas","55"
"11","540","Ronnie WOOOS","54"
"12","360","Norwich DeSilva","36"

"Blown Saves"
"Rk","FPts","Team","BS"
"1","-45","Hakuna Matata","9"
"2","-50","Big Bad Wolf(e)","10"
"2","-50","Norwich DeSilva","10"
"2","-50","Ronnie WOOOS","10"
"2","-50","The Mamas and Milt Pappas","10"
"6","-55","Seattle Steelhead","11"
"7","-60","Urine, You're Out!!","12"
"7","-60","Yoshida's Island","12"
"9","-65","Tough Break Thompson","13"
"10","-70","Portland Gnashers","14"
"11","-80","Mad Mad Minions","16"
"12","-85","Going, Going, Gonzaga","17"

"Complete Games"
"Rk","FPts","Team","CG"
"1","25","The Mamas and Milt Pappas","5"
"2","20","Going, Going, Gonzaga","4"
"2","20","Norwich DeSilva","4"
"4","15","Big Bad Wolf(e)","3"
"4","15","Seattle Steelhead","3"
"6","10","Portland Gnashers","2"
"6","10","Ronnie WOOOS","2"
"8","5","Mad Mad Minions","1"
"8","5","Urine, You're Out!!","1"
"10","0","Tough Break Thompson","0"
"10","0","Hakuna Matata","0"
"10","0","Yoshida's Island","0"

"Hits Allowed"
"Rk","FPts","Team","H"
"1","-790","Urine, You're Out!!","790"
"2","-885","Ronnie WOOOS","885"
"3","-902","Portland Gnashers","902"
"4","-906","Mad Mad Minions","906"
"5","-921","Hakuna Matata","921"
"6","-924","Going, Going, Gonzaga","924"
"7","-928","The Mamas and Milt Pappas","928"
"8","-947","Norwich DeSilva","947"
"9","-982","Yoshida's Island","982"
"10","-983","Big Bad Wolf(e)","983"
"11","-993","Seattle Steelhead","993"
"12","-1,003","Tough Break Thompson","1,003"

"Earned Runs Allowed"
"Rk","FPts","Team","ER"
"1","-361","Urine, You're Out!!","361"
"2","-391","The Mamas and Milt Pappas","391"
"3","-412","Hakuna Matata","412"
"4","-435","Going, Going, Gonzaga","435"
"4","-435","Norwich DeSilva","435"
"6","-440","Ronnie WOOOS","440"
"7","-441","Mad Mad Minions","441"
"8","-445","Seattle Steelhead","445"
"9","-451","Portland Gnashers","451"
"10","-456","Big Bad Wolf(e)","456"
"11","-496","Tough Break Thompson","496"
"12","-543","Yoshida's Island","543"

"Walks Allowed"
"Rk","FPts","Team","BB"
"1","-276","Big Bad Wolf(e)","276"
"2","-277","Urine, You're Out!!","277"
"3","-286","Going, Going, Gonzaga","286"
"4","-300","Seattle Steelhead","300"
"5","-318","Mad Mad Minions","318"
"6","-324","Yoshida's Island","324"
"7","-326","Norwich DeSilva","326"
"7","-326","The Mamas and Milt Pappas","326"
"9","-341","Tough Break Thompson","341"
"10","-346","Hakuna Matata","346"
"11","-353","Portland Gnashers","353"
"12","-376","Ronnie WOOOS","376"

"Strikeouts Pitched"
"Rk","FPts","Team","K"
"1","1,214","Portland Gnashers","1,214"
"2","1,179","Seattle Steelhead","1,179"
"3","1,167","Tough Break Thompson","1,167"
"4","1,129","The Mamas and Milt Pappas","1,129"
"5","1,094","Hakuna Matata","1,094"
"6","1,080","Going, Going, Gonzaga","1,080"
"7","1,078","Ronnie WOOOS","1,078"
"8","1,064","Big Bad Wolf(e)","1,064"
"9","1,058","Norwich DeSilva","1,058"
"10","1,035","Mad Mad Minions","1,035"
"11","960","Urine, You're Out!!","960"
"12","949","Yoshida's Island","949"

"Balks"
"Rk","FPts","Team","BK"
"1","0","Urine, You're Out!!","0"
"2","-1","Mad Mad Minions","1"
"3","-3","Going, Going, Gonzaga","3"
"3","-3","Tough Break Thompson","3"
"5","-4","Seattle Steelhead","4"
"5","-4","Yoshida's Island","4"
"7","-5","Hakuna Matata","5"
"7","-5","Norwich DeSilva","5"
"9","-7","Ronnie WOOOS","7"
"9","-7","The Mamas and Milt Pappas","7"
"11","-9","Portland Gnashers","9"
"12","-10","Big Bad Wolf(e)","10"

"Wild Pitches"
"Rk","FPts","Team","WP"
"1","-15","Urine, You're Out!!","15"
"2","-20","Yoshida's Island","20"
"3","-23","Going, Going, Gonzaga","23"
"4","-27","Seattle Steelhead","27"
"5","-31","Big Bad Wolf(e)","31"
"6","-33","Norwich DeSilva","33"
"7","-35","Mad Mad Minions","35"
"7","-35","The Mamas and Milt Pappas","35"
"9","-37","Tough Break Thompson","37"
"10","-40","Portland Gnashers","40"
"11","-48","Ronnie WOOOS","48"
"12","-57","Hakuna Matata","57"

"Hit Batsmen"
"Rk","FPts","Team","HB"
"1","-33","Norwich DeSilva","33"
"1","-33","Ronnie WOOOS","33"
"3","-35","Urine, You're Out!!","35"
"4","-37","Going, Going, Gonzaga","37"
"5","-40","Mad Mad Minions","40"
"6","-42","Big Bad Wolf(e)","42"
"6","-42","Seattle Steelhead","42"
"8","-43","Tough Break Thompson","43"
"9","-48","Hakuna Matata","48"
"10","-51","The Mamas and Milt Pappas","51"
"11","-52","Portland Gnashers","52"
"12","-56","Yoshida's Island","56"

"Shutouts"
"Rk","FPts","Team","SHO"
"1","30","Big Bad Wolf(e)","3"
"1","30","Norwich DeSilva","3"
"1","30","The Mamas and Milt Pappas","3"
"4","20","Going, Going, Gonzaga","2"
"4","20","Ronnie WOOOS","2"
"6","10","Mad Mad Minions","1"
"6","10","Seattle Steelhead","1"
"6","10","Urine, You're Out!!","1"
"9","0","Tough Break Thompson","0"
"9","0","Hakuna Matata","0"
"9","0","Portland Gnashers","0"
"9","0","Yoshida's Island","0"

"No Hitters"
"Rk","FPts","Team","NH"
"1","20","Norwich DeSilva","1"
"1","20","The Mamas and Milt Pappas","1"
