"Standings"
"Rk","Team","FPts","FP/G","GP","Hit","Pit","WW","PBL"
"1","Hakuna Matata","8,120","4.22","1923","4,456","3,664","11","0"
"2","Seattle Steelhead","7,739","4.02","1923","3,742","3,997","10","381"
"3","Portland Gnashers","7,736","4.03","1920","3,874","3,862","8","384"
"4","Gelof My Lawn!","7,625","3.97","1922","3,709","3,916","2","495"
"5","Urine, You're Out!!","7,488","3.9","1920","3,516","3,972","1","632"
"6","Going, Going, Gonzaga","7,287","3.79","1922","3,808","3,479","3","833"
"7","Ronnie WOOOS","6,965","3.62","1922","3,513","3,452","12","1,155"
"8","The Don Slaught Onslaught","6,843","3.61","1895","3,608","3,235","5","1,277"
"9","The Two-Fisted Sloppers","6,744","3.51","1923","3,358","3,386","9","1,376"
"10","Mad Mad Minions","6,567","3.54","1853","3,465","3,102","7","1,553"
"11","Big Bad Wolf(e)","6,044","3.41","1775","3,047","2,997","4","2,076"
"12","Norwich DeSilva","5,886","3.25","1811","3,210","2,676","6","2,234"

"Standings - Points - Hitting"
"Rk","Team","FPts","H","R","2B","3B","HR","RBI","BB","SO","SB","CS","HBP","SH","SF","GIDP","CYC","E","AOF"
"1","Hakuna Matata","4,456","1,662","976","321","44","858","937","664","-1,289","316","-32","95","13","52","-124","0","-62","25"
"2","Portland Gnashers","3,874","1,511","895","327","58","873","902","591","-1,437","272","-35","63","6","50","-138","0","-90","26"
"3","Going, Going, Gonzaga","3,808","1,620","857","282","62","744","872","564","-1,415","322","-42","63","6","50","-122","0","-75","20"
"4","Seattle Steelhead","3,742","1,568","859","324","62","729","827","581","-1,415","274","-40","68","9","46","-116","5","-65","26"
"5","Gelof My Lawn!","3,709","1,584","876","287","96","687","785","588","-1,456","344","-48","77","6","52","-118","0","-78","27"
"6","The Don Slaught Onslaught","3,608","1,571","818","285","62","600","750","576","-1,262","262","-38","81","9","47","-96","0","-75","18"
"7","Urine, You're Out!!","3,516","1,491","837","342","58","687","810","654","-1,522","242","-25","67","3","42","-127","0","-71","28"
"8","Ronnie WOOOS","3,513","1,527","813","302","38","639","827","611","-1,306","154","-27","66","7","48","-136","0","-73","23"
"9","Mad Mad Minions","3,465","1,449","804","287","22","717","809","545","-1,386","262","-30","76","9","67","-123","0","-67","24"
"10","The Two-Fisted Sloppers","3,358","1,420","782","269","48","651","753","563","-1,430","362","-45","77","7","42","-96","5","-79","29"
"11","Norwich DeSilva","3,210","1,437","764","282","50","651","767","507","-1,448","306","-40","67","7","41","-112","0","-82","13"
"12","Big Bad Wolf(e)","3,047","1,345","758","280","36","570","707","543","-1,390","268","-24","82","11","29","-109","0","-83","24"

"Standings - Points - Pitching"
"Rk","Team","FPts","IP","W","L","SV","BS","CG","H","ER","BB","K","BK","WP","HB","SHO","NH","PG","E"
"1","Seattle Steelhead","3,997","3,308","890","-290","690","-55","10","-920","-396","-252","1,085","-1","-19","-44","0","0","0","-9"
"2","Urine, You're Out!!","3,972","3,250","800","-250","730","-55","10","-812","-360","-356","1,091","-7","-48","-45","10","20","0","-6"
"3","Gelof My Lawn!","3,916","3,229","830","-265","670","-70","10","-862","-394","-283","1,124","-6","-26","-35","0","0","0","-6"
"4","Portland Gnashers","3,862","3,181","860","-240","620","-80","5","-886","-385","-311","1,143","-8","-22","-42","10","20","0","-3"
"5","Hakuna Matata","3,664","3,161","630","-270","720","-30","20","-884","-383","-294","1,047","-4","-25","-38","20","0","0","-6"
"6","Going, Going, Gonzaga","3,479","3,179","710","-295","680","-65","10","-961","-414","-299","982","-3","-28","-28","20","0","0","-9"
"7","Ronnie WOOOS","3,452","3,175","750","-285","480","-55","10","-881","-412","-347","1,095","-10","-41","-35","10","0","0","-2"
"8","The Two-Fisted Sloppers","3,386","3,127","560","-350","790","-50","0","-954","-473","-303","1,113","-7","-20","-41","0","0","0","-6"
"9","The Don Slaught Onslaught","3,235","3,077","630","-300","480","-40","10","-858","-403","-353","1,089","-1","-38","-51","0","0","0","-7"
"10","Mad Mad Minions","3,102","3,150","610","-355","610","-55","10","-1,002","-503","-345","1,048","-4","-27","-47","20","0","0","-8"
"11","Big Bad Wolf(e)","2,997","2,989","640","-315","500","-55","0","-907","-453","-303","991","-3","-27","-47","0","0","0","-13"
"12","Norwich DeSilva","2,676","2,956","680","-315","390","-55","5","-994","-493","-326","914","-5","-41","-44","10","0","0","-6"

"Standings - Statistics - Hitting"
"Rk","Team","FPts","GP","H","R","2B","3B","HR","RBI","BB","SO","SB","CS","HBP","SH","SF","GIDP","CYC","E","AOF"
"1","Hakuna Matata","4,456","","1,662","976","321","22","286","937","664","1,289","158","32","95","13","52","124","0","62","25"
"2","Portland Gnashers","3,874","","1,511","895","327","29","291","902","591","1,437","136","35","63","6","50","138","0","90","26"
"3","Going, Going, Gonzaga","3,808","","1,620","857","282","31","248","872","564","1,415","161","42","63","6","50","122","0","75","20"
"4","Seattle Steelhead","3,742","","1,568","859","324","31","243","827","581","1,415","137","40","68","9","46","116","1","65","26"
"5","Gelof My Lawn!","3,709","","1,584","876","287","48","229","785","588","1,456","172","48","77","6","52","118","0","78","27"
"6","The Don Slaught Onslaught","3,608","","1,571","818","285","31","200","750","576","1,262","131","38","81","9","47","96","0","75","18"
"7","Urine, You're Out!!","3,516","","1,491","837","342","29","229","810","654","1,522","121","25","67","3","42","127","0","71","28"
"8","Ronnie WOOOS","3,513","","1,527","813","302","19","213","827","611","1,306","77","27","66","7","48","136","0","73","23"
"9","Mad Mad Minions","3,465","","1,449","804","287","11","239","809","545","1,386","131","30","76","9","67","123","0","67","24"
"10","The Two-Fisted Sloppers","3,358","","1,420","782","269","24","217","753","563","1,430","181","45","77","7","42","96","1","79","29"
"11","Norwich DeSilva","3,210","","1,437","764","282","25","217","767","507","1,448","153","40","67","7","41","112","0","82","13"
"12","Big Bad Wolf(e)","3,047","","1,345","758","280","18","190","707","543","1,390","134","24","82","11","29","109","0","83","24"

"Standings - Statistics - Pitching"
"Rk","Team","FPts","GP","IP","W","L","SV","BS","CG","H","ER","BB","K","BK","WP","HB","SHO","NH","PG","E"
"1","Seattle Steelhead","3,997","","1,102.2","89","58","69","11","2","920","396","252","1,085","1","19","44","0","0","0","9"
"2","Urine, You're Out!!","3,972","","1,083.1","80","50","73","11","2","812","360","356","1,091","7","48","45","1","1","0","6"
"3","Gelof My Lawn!","3,916","","1,076.1","83","53","67","14","2","862","394","283","1,124","6","26","35","0","0","0","6"
"4","Portland Gnashers","3,862","","1,060.1","86","48","62","16","1","886","385","311","1,143","8","22","42","1","1","0","3"
"5","Hakuna Matata","3,664","","1,053.2","63","54","72","6","4","884","383","294","1,047","4","25","38","2","0","0","6"
"6","Going, Going, Gonzaga","3,479","","1,059.2","71","59","68","13","2","961","414","299","982","3","28","28","2","0","0","9"
"7","Ronnie WOOOS","3,452","","1,058.1","75","57","48","11","2","881","412","347","1,095","10","41","35","1","0","0","2"
"8","The Two-Fisted Sloppers","3,386","","1,042.1","56","70","79","10","0","954","473","303","1,113","7","20","41","0","0","0","6"
"9","The Don Slaught Onslaught","3,235","","1,025.2","63","60","48","8","2","858","403","353","1,089","1","38","51","0","0","0","7"
"10","Mad Mad Minions","3,102","","1,050","61","71","61","11","2","1,002","503","345","1,048","4","27","47","2","0","0","8"
"11","Big Bad Wolf(e)","2,997","","996.1","64","63","50","11","0","907","453","303","991","3","27","47","0","0","0","13"
"12","Norwich DeSilva","2,676","","985.1","68","63","39","11","1","994","493","326","914","5","41","44","1","0","0","6"

"Innings Pitched"
"Rk","FPts","Team","IP"
"1","3,308","Seattle Steelhead","1,102.2"
"2","3,250","Urine, You're Out!!","1,083.1"
"3","3,229","Gelof My Lawn!","1,076.1"
"4","3,181","Portland Gnashers","1,060.1"
"5","3,179","Going, Going, Gonzaga","1,059.2"
"6","3,175","Ronnie WOOOS","1,058.1"
"7","3,161","Hakuna Matata","1,053.2"
"8","3,150","Mad Mad Minions","1,050"
"9","3,127","The Two-Fisted Sloppers","1,042.1"
"10","3,077","The Don Slaught Onslaught","1,025.2"
"11","2,989","Big Bad Wolf(e)","996.1"
"12","2,956","Norwich DeSilva","985.1"

"Wins"
"Rk","FPts","Team","W"
"1","890","Seattle Steelhead","89"
"2","860","Portland Gnashers","86"
"3","830","Gelof My Lawn!","83"
"4","800","Urine, You're Out!!","80"
"5","750","Ronnie WOOOS","75"
"6","710","Going, Going, Gonzaga","71"
"7","680","Norwich DeSilva","68"
"8","640","Big Bad Wolf(e)","64"
"9","630","Hakuna Matata","63"
"9","630","The Don Slaught Onslaught","63"
"11","610","Mad Mad Minions","61"
"12","560","The Two-Fisted Sloppers","56"

"Losses"
"Rk","FPts","Team","L"
"1","-240","Portland Gnashers","48"
"2","-250","Urine, You're Out!!","50"
"3","-265","Gelof My Lawn!","53"
"4","-270","Hakuna Matata","54"
"5","-285","Ronnie WOOOS","57"
"6","-290","Seattle Steelhead","58"
"7","-295","Going, Going, Gonzaga","59"
"8","-300","The Don Slaught Onslaught","60"
"9","-315","Big Bad Wolf(e)","63"
"9","-315","Norwich DeSilva","63"
"11","-350","The Two-Fisted Sloppers","70"
"12","-355","Mad Mad Minions","71"

"Saves"
"Rk","FPts","Team","SV"
"1","790","The Two-Fisted Sloppers","79"
"2","730","Urine, You're Out!!","73"
"3","720","Hakuna Matata","72"
"4","690","Seattle Steelhead","69"
"5","680","Going, Going, Gonzaga","68"
"6","670","Gelof My Lawn!","67"
"7","620","Portland Gnashers","62"
"8","610","Mad Mad Minions","61"
"9","500","Big Bad Wolf(e)","50"
"10","480","Ronnie WOOOS","48"
"10","480","The Don Slaught Onslaught","48"
"12","390","Norwich DeSilva","39"

"Blown Saves"
"Rk","FPts","Team","BS"
"1","-30","Hakuna Matata","6"
"2","-40","The Don Slaught Onslaught","8"
"3","-50","The Two-Fisted Sloppers","10"
"4","-55","Big Bad Wolf(e)","11"
"4","-55","Mad Mad Minions","11"
"4","-55","Norwich DeSilva","11"
"4","-55","Ronnie WOOOS","11"
"4","-55","Seattle Steelhead","11"
"4","-55","Urine, You're Out!!","11"
"10","-65","Going, Going, Gonzaga","13"
"11","-70","Gelof My Lawn!","14"
"12","-80","Portland Gnashers","16"

"Complete Games"
"Rk","FPts","Team","CG"
"1","20","Hakuna Matata","4"
"2","10","Gelof My Lawn!","2"
"2","10","Going, Going, Gonzaga","2"
"2","10","Mad Mad Minions","2"
"2","10","Ronnie WOOOS","2"
"2","10","Seattle Steelhead","2"
"2","10","The Don Slaught Onslaught","2"
"2","10","Urine, You're Out!!","2"
"9","5","Norwich DeSilva","1"
"9","5","Portland Gnashers","1"
"11","0","Big Bad Wolf(e)","0"
"11","0","The Two-Fisted Sloppers","0"

"Hits Allowed"
"Rk","FPts","Team","H"
"1","-812","Urine, You're Out!!","812"
"2","-858","The Don Slaught Onslaught","858"
"3","-862","Gelof My Lawn!","862"
"4","-881","Ronnie WOOOS","881"
"5","-884","Hakuna Matata","884"
"6","-886","Portland Gnashers","886"
"7","-907","Big Bad Wolf(e)","907"
"8","-920","Seattle Steelhead","920"
"9","-954","The Two-Fisted Sloppers","954"
"10","-961","Going, Going, Gonzaga","961"
"11","-994","Norwich DeSilva","994"
"12","-1,002","Mad Mad Minions","1,002"

"Earned Runs Allowed"
"Rk","FPts","Team","ER"
"1","-360","Urine, You're Out!!","360"
"2","-383","Hakuna Matata","383"
"3","-385","Portland Gnashers","385"
"4","-394","Gelof My Lawn!","394"
"5","-396","Seattle Steelhead","396"
"6","-403","The Don Slaught Onslaught","403"
"7","-412","Ronnie WOOOS","412"
"8","-414","Going, Going, Gonzaga","414"
"9","-453","Big Bad Wolf(e)","453"
"10","-473","The Two-Fisted Sloppers","473"
"11","-493","Norwich DeSilva","493"
"12","-503","Mad Mad Minions","503"

"Walks Allowed"
"Rk","FPts","Team","BB"
"1","-252","Seattle Steelhead","252"
"2","-283","Gelof My Lawn!","283"
"3","-294","Hakuna Matata","294"
"4","-299","Going, Going, Gonzaga","299"
"5","-303","Big Bad Wolf(e)","303"
"5","-303","The Two-Fisted Sloppers","303"
"7","-311","Portland Gnashers","311"
"8","-326","Norwich DeSilva","326"
"9","-345","Mad Mad Minions","345"
"10","-347","Ronnie WOOOS","347"
"11","-353","The Don Slaught Onslaught","353"
"12","-356","Urine, You're Out!!","356"

"Strikeouts Pitched"
"Rk","FPts","Team","K"
"1","1,143","Portland Gnashers","1,143"
"2","1,124","Gelof My Lawn!","1,124"
"3","1,113","The Two-Fisted Sloppers","1,113"
"4","1,095","Ronnie WOOOS","1,095"
"5","1,091","Urine, You're Out!!","1,091"
"6","1,089","The Don Slaught Onslaught","1,089"
"7","1,085","Seattle Steelhead","1,085"
"8","1,048","Mad Mad Minions","1,048"
"9","1,047","Hakuna Matata","1,047"
"10","991","Big Bad Wolf(e)","991"
"11","982","Going, Going, Gonzaga","982"
"12","914","Norwich DeSilva","914"

"Balks"
"Rk","FPts","Team","BK"
"1","-1","Seattle Steelhead","1"
"1","-1","The Don Slaught Onslaught","1"
"3","-3","Big Bad Wolf(e)","3"
"3","-3","Going, Going, Gonzaga","3"
"5","-4","Hakuna Matata","4"
"5","-4","Mad Mad Minions","4"
"7","-5","Norwich DeSilva","5"
"8","-6","Gelof My Lawn!","6"
"9","-7","The Two-Fisted Sloppers","7"
"9","-7","Urine, You're Out!!","7"
"11","-8","Portland Gnashers","8"
"12","-10","Ronnie WOOOS","10"

"Wild Pitches"
"Rk","FPts","Team","WP"
"1","-19","Seattle Steelhead","19"
"2","-20","The Two-Fisted Sloppers","20"
"3","-22","Portland Gnashers","22"
"4","-25","Hakuna Matata","25"
"5","-26","Gelof My Lawn!","26"
"6","-27","Big Bad Wolf(e)","27"
"6","-27","Mad Mad Minions","27"
"8","-28","Going, Going, Gonzaga","28"
"9","-38","The Don Slaught Onslaught","38"
"10","-41","Norwich DeSilva","41"
"10","-41","Ronnie WOOOS","41"
"12","-48","Urine, You're Out!!","48"

"Hit Batsmen"
"Rk","FPts","Team","HB"
"1","-28","Going, Going, Gonzaga","28"
"2","-35","Gelof My Lawn!","35"
"2","-35","Ronnie WOOOS","35"
"4","-38","Hakuna Matata","38"
"5","-41","The Two-Fisted Sloppers","41"
"6","-42","Portland Gnashers","42"
"7","-44","Norwich DeSilva","44"
"7","-44","Seattle Steelhead","44"
"9","-45","Urine, You're Out!!","45"
"10","-47","Big Bad Wolf(e)","47"
"10","-47","Mad Mad Minions","47"
"12","-51","The Don Slaught Onslaught","51"

"Shutouts"
"Rk","FPts","Team","SHO"
"1","20","Going, Going, Gonzaga","2"
"1","20","Hakuna Matata","2"
"1","20","Mad Mad Minions","2"
"4","10","Norwich DeSilva","1"
"4","10","Portland Gnashers","1"
"4","10","Ronnie WOOOS","1"
"4","10","Urine, You're Out!!","1"
"8","0","Big Bad Wolf(e)","0"
"8","0","Gelof My Lawn!","0"
"8","0","Seattle Steelhead","0"
"8","0","The Don Slaught Onslaught","0"
"8","0","The Two-Fisted Sloppers","0"

"No Hitters"
"Rk","FPts","Team","NH"
