"Standings"
"Rk","Team","FPts","FP/G","GP","Hit","Pit","WW","PBL"
"1","The Two-Fisted Sloppers","8,001","4.16","1922","4,180","3,821","9","0"
"2","Ronnie WOOOS","7,854","4.09","1922","4,397","3,457","11","147"
"3","The Don Slaught Onslaught","7,836","4.1","1912","4,024","3,812","10","165"
"4","Gelof My Lawn!","7,159","3.76","1905","3,611","3,548","7","842"
"5","Mad Mad Minions","7,101","3.75","1892","3,740","3,361","8","900"
"6","Hakuna Matata","7,078","3.69","1916","3,793","3,285","6","923"
"7","Seattle Steelhead","7,075","3.69","1915","3,487","3,588","5","926"
"8","Going, Going, Gonzaga","6,973","3.63","1919","3,701","3,272","3","1,028"
"9","Portland Gnashers","6,727","3.5","1922","3,291","3,436","12","1,274"
"10","Norwich DeSilva","6,621","3.45","1917","3,870","2,751","2","1,380"
"11","Big Bad Wolf(e)","6,464","3.72","1737","3,254","3,210","4","1,537"
"12","Urine, You're Out!!","6,139","3.57","1718","2,895","3,244","1","1,862"

"Standings - Points - Hitting"
"Rk","Team","FPts","H","R","2B","3B","HR","RBI","BB","SO","SB","CS","HBP","SH","SF","GIDP","CYC","E","AOF"
"1","Ronnie WOOOS","4,397","1,651","986","297","42","750","819","726","-1,254","424","-46","65","12","58","-112","0","-52","31"
"2","The Two-Fisted Sloppers","4,180","1,571","901","286","44","831","860","651","-1,312","404","-44","86","6","48","-105","0","-75","28"
"3","The Don Slaught Onslaught","4,024","1,590","873","313","44","696","859","728","-1,252","220","-31","74","13","53","-111","0","-62","17"
"4","Norwich DeSilva","3,870","1,575","847","312","46","801","852","544","-1,324","312","-51","55","16","55","-129","0","-62","21"
"5","Hakuna Matata","3,793","1,555","905","298","66","744","866","664","-1,442","208","-42","58","4","42","-103","0","-60","30"
"6","Mad Mad Minions","3,740","1,508","848","278","40","717","782","576","-1,253","292","-25","86","4","50","-106","5","-68","6"
"7","Going, Going, Gonzaga","3,701","1,490","877","322","66","780","828","607","-1,576","366","-40","81","7","49","-108","0","-74","26"
"8","Gelof My Lawn!","3,611","1,525","841","329","68","813","860","549","-1,513","224","-31","74","8","51","-128","0","-82","23"
"9","Seattle Steelhead","3,487","1,517","846","310","38","771","851","590","-1,630","288","-39","84","5","50","-144","0","-75","25"
"10","Portland Gnashers","3,291","1,466","819","261","44","735","799","600","-1,613","266","-33","70","6","39","-119","0","-71","22"
"11","Big Bad Wolf(e)","3,254","1,414","742","287","62","504","711","546","-1,186","248","-37","50","8","52","-97","0","-67","17"
"12","Urine, You're Out!!","2,895","1,320","688","259","26","540","674","485","-1,196","150","-28","62","6","44","-103","0","-52","20"

"Standings - Points - Pitching"
"Rk","Team","FPts","IP","W","L","SV","BS","CG","H","ER","BB","K","BK","WP","HB","SHO","NH","PG","E"
"1","The Two-Fisted Sloppers","3,821","3,183","820","-245","650","-60","5","-892","-409","-340","1,206","-5","-30","-53","0","0","0","-9"
"2","The Don Slaught Onslaught","3,812","3,146","760","-250","620","-40","10","-885","-382","-305","1,198","-5","-37","-36","20","0","0","-2"
"3","Seattle Steelhead","3,588","3,139","740","-280","720","-55","10","-949","-451","-307","1,075","-4","-25","-39","20","0","0","-6"
"4","Gelof My Lawn!","3,548","3,195","620","-250","650","-45","5","-894","-390","-305","1,038","-11","-26","-41","10","0","0","-8"
"5","Ronnie WOOOS","3,457","3,187","760","-345","670","-65","0","-904","-469","-360","1,058","-1","-35","-33","0","0","0","-6"
"6","Portland Gnashers","3,436","3,150","720","-315","560","-85","20","-864","-426","-331","1,103","-4","-34","-50","0","0","0","-8"
"7","Mad Mad Minions","3,361","3,123","690","-320","540","-80","10","-864","-378","-354","1,064","-4","-27","-40","10","0","0","-9"
"8","Hakuna Matata","3,285","3,070","730","-280","500","-40","5","-884","-421","-304","992","-5","-38","-47","10","0","0","-3"
"9","Going, Going, Gonzaga","3,272","3,061","680","-245","580","-45","0","-904","-401","-344","967","-2","-34","-35","0","0","0","-6"
"10","Urine, You're Out!!","3,244","2,783","590","-275","710","-50","20","-786","-368","-322","1,004","-5","-36","-34","20","0","0","-7"
"11","Big Bad Wolf(e)","3,210","3,201","730","-300","270","-35","5","-965","-400","-317","1,079","-2","-23","-34","10","0","0","-9"
"12","Norwich DeSilva","2,751","3,005","590","-320","350","-50","0","-894","-449","-355","950","-2","-23","-47","0","0","0","-4"

"Standings - Statistics - Hitting"
"Rk","Team","FPts","GP","H","R","2B","3B","HR","RBI","BB","SO","SB","CS","HBP","SH","SF","GIDP","CYC","E","AOF"
"1","Ronnie WOOOS","4,397","","1,651","986","297","21","250","819","726","1,254","212","46","65","12","58","112","0","52","31"
"2","The Two-Fisted Sloppers","4,180","","1,571","901","286","22","277","860","651","1,312","202","44","86","6","48","105","0","75","28"
"3","The Don Slaught Onslaught","4,024","","1,590","873","313","22","232","859","728","1,252","110","31","74","13","53","111","0","62","17"
"4","Norwich DeSilva","3,870","","1,575","847","312","23","267","852","544","1,324","156","51","55","16","55","129","0","62","21"
"5","Hakuna Matata","3,793","","1,555","905","298","33","248","866","664","1,442","104","42","58","4","42","103","0","60","30"
"6","Mad Mad Minions","3,740","","1,508","848","278","20","239","782","576","1,253","146","25","86","4","50","106","1","68","6"
"7","Going, Going, Gonzaga","3,701","","1,490","877","322","33","260","828","607","1,576","183","40","81","7","49","108","0","74","26"
"8","Gelof My Lawn!","3,611","","1,525","841","329","34","271","860","549","1,513","112","31","74","8","51","128","0","82","23"
"9","Seattle Steelhead","3,487","","1,517","846","310","19","257","851","590","1,630","144","39","84","5","50","144","0","75","25"
"10","Portland Gnashers","3,291","","1,466","819","261","22","245","799","600","1,613","133","33","70","6","39","119","0","71","22"
"11","Big Bad Wolf(e)","3,254","","1,414","742","287","31","168","711","546","1,186","124","37","50","8","52","97","0","67","17"
"12","Urine, You're Out!!","2,895","","1,320","688","259","13","180","674","485","1,196","75","28","62","6","44","103","0","52","20"

"Standings - Statistics - Pitching"
"Rk","Team","FPts","GP","IP","W","L","SV","BS","CG","H","ER","BB","K","BK","WP","HB","SHO","NH","PG","E"
"1","The Two-Fisted Sloppers","3,821","","1,061","82","49","65","12","1","892","409","340","1,206","5","30","53","0","0","0","9"
"2","The Don Slaught Onslaught","3,812","","1,048.2","76","50","62","8","2","885","382","305","1,198","5","37","36","2","0","0","2"
"3","Seattle Steelhead","3,588","","1,046.1","74","56","72","11","2","949","451","307","1,075","4","25","39","2","0","0","6"
"4","Gelof My Lawn!","3,548","","1,065","62","50","65","9","1","894","390","305","1,038","11","26","41","1","0","0","8"
"5","Ronnie WOOOS","3,457","","1,062.1","76","69","67","13","0","904","469","360","1,058","1","35","33","0","0","0","6"
"6","Portland Gnashers","3,436","","1,050","72","63","56","17","4","864","426","331","1,103","4","34","50","0","0","0","8"
"7","Mad Mad Minions","3,361","","1,041","69","64","54","16","2","864","378","354","1,064","4","27","40","1","0","0","9"
"8","Hakuna Matata","3,285","","1,023.1","73","56","50","8","1","884","421","304","992","5","38","47","1","0","0","3"
"9","Going, Going, Gonzaga","3,272","","1,020.1","68","49","58","9","0","904","401","344","967","2","34","35","0","0","0","6"
"10","Urine, You're Out!!","3,244","","927.2","59","55","71","10","4","786","368","322","1,004","5","36","34","2","0","0","7"
"11","Big Bad Wolf(e)","3,210","","1,067","73","60","27","7","1","965","400","317","1,079","2","23","34","1","0","0","9"
"12","Norwich DeSilva","2,751","","1,001.2","59","64","35","10","0","894","449","355","950","2","23","47","0","0","0","4"

"Innings Pitched"
"Rk","FPts","Team","IP"
"1","3,201","Big Bad Wolf(e)","1,067"
"2","3,195","Gelof My Lawn!","1,065"
"3","3,187","Ronnie WOOOS","1,062.1"
"4","3,183","The Two-Fisted Sloppers","1,061"
"5","3,150","Portland Gnashers","1,050"
"6","3,146","The Don Slaught Onslaught","1,048.2"
"7","3,139","Seattle Steelhead","1,046.1"
"8","3,123","Mad Mad Minions","1,041"
"9","3,070","Hakuna Matata","1,023.1"
"10","3,061","Going, Going, Gonzaga","1,020.1"
"11","3,005","Norwich DeSilva","1,001.2"
"12","2,783","Urine, You're Out!!","927.2"

"Wins"
"Rk","FPts","Team","W"
"1","820","The Two-Fisted Sloppers","82"
"2","760","Ronnie WOOOS","76"
"2","760","The Don Slaught Onslaught","76"
"4","740","Seattle Steelhead","74"
"5","730","Big Bad Wolf(e)","73"
"5","730","Hakuna Matata","73"
"7","720","Portland Gnashers","72"
"8","690","Mad Mad Minions","69"
"9","680","Going, Going, Gonzaga","68"
"10","620","Gelof My Lawn!","62"
"11","590","Norwich DeSilva","59"
"11","590","Urine, You're Out!!","59"

"Losses"
"Rk","FPts","Team","L"
"1","-245","Going, Going, Gonzaga","49"
"1","-245","The Two-Fisted Sloppers","49"
"3","-250","Gelof My Lawn!","50"
"3","-250","The Don Slaught Onslaught","50"
"5","-275","Urine, You're Out!!","55"
"6","-280","Hakuna Matata","56"
"6","-280","Seattle Steelhead","56"
"8","-300","Big Bad Wolf(e)","60"
"9","-315","Portland Gnashers","63"
"10","-320","Mad Mad Minions","64"
"10","-320","Norwich DeSilva","64"
"12","-345","Ronnie WOOOS","69"

"Saves"
"Rk","FPts","Team","SV"
"1","720","Seattle Steelhead","72"
"2","710","Urine, You're Out!!","71"
"3","670","Ronnie WOOOS","67"
"4","650","Gelof My Lawn!","65"
"4","650","The Two-Fisted Sloppers","65"
"6","620","The Don Slaught Onslaught","62"
"7","580","Going, Going, Gonzaga","58"
"8","560","Portland Gnashers","56"
"9","540","Mad Mad Minions","54"
"10","500","Hakuna Matata","50"
"11","350","Norwich DeSilva","35"
"12","270","Big Bad Wolf(e)","27"

"Blown Saves"
"Rk","FPts","Team","BS"
"1","-35","Big Bad Wolf(e)","7"
"2","-40","Hakuna Matata","8"
"2","-40","The Don Slaught Onslaught","8"
"4","-45","Gelof My Lawn!","9"
"4","-45","Going, Going, Gonzaga","9"
"6","-50","Norwich DeSilva","10"
"6","-50","Urine, You're Out!!","10"
"8","-55","Seattle Steelhead","11"
"9","-60","The Two-Fisted Sloppers","12"
"10","-65","Ronnie WOOOS","13"
"11","-80","Mad Mad Minions","16"
"12","-85","Portland Gnashers","17"

"Complete Games"
"Rk","FPts","Team","CG"
"1","20","Portland Gnashers","4"
"1","20","Urine, You're Out!!","4"
"3","10","Mad Mad Minions","2"
"3","10","Seattle Steelhead","2"
"3","10","The Don Slaught Onslaught","2"
"6","5","Big Bad Wolf(e)","1"
"6","5","Gelof My Lawn!","1"
"6","5","Hakuna Matata","1"
"6","5","The Two-Fisted Sloppers","1"
"10","0","Going, Going, Gonzaga","0"
"10","0","Norwich DeSilva","0"
"10","0","Ronnie WOOOS","0"

"Hits Allowed"
"Rk","FPts","Team","H"
"1","-786","Urine, You're Out!!","786"
"2","-864","Mad Mad Minions","864"
"2","-864","Portland Gnashers","864"
"4","-884","Hakuna Matata","884"
"5","-885","The Don Slaught Onslaught","885"
"6","-892","The Two-Fisted Sloppers","892"
"7","-894","Gelof My Lawn!","894"
"7","-894","Norwich DeSilva","894"
"9","-904","Going, Going, Gonzaga","904"
"9","-904","Ronnie WOOOS","904"
"11","-949","Seattle Steelhead","949"
"12","-965","Big Bad Wolf(e)","965"

"Earned Runs Allowed"
"Rk","FPts","Team","ER"
"1","-368","Urine, You're Out!!","368"
"2","-378","Mad Mad Minions","378"
"3","-382","The Don Slaught Onslaught","382"
"4","-390","Gelof My Lawn!","390"
"5","-400","Big Bad Wolf(e)","400"
"6","-401","Going, Going, Gonzaga","401"
"7","-409","The Two-Fisted Sloppers","409"
"8","-421","Hakuna Matata","421"
"9","-426","Portland Gnashers","426"
"10","-449","Norwich DeSilva","449"
"11","-451","Seattle Steelhead","451"
"12","-469","Ronnie WOOOS","469"

"Walks Allowed"
"Rk","FPts","Team","BB"
"1","-304","Hakuna Matata","304"
"2","-305","Gelof My Lawn!","305"
"2","-305","The Don Slaught Onslaught","305"
"4","-307","Seattle Steelhead","307"
"5","-317","Big Bad Wolf(e)","317"
"6","-322","Urine, You're Out!!","322"
"7","-331","Portland Gnashers","331"
"8","-340","The Two-Fisted Sloppers","340"
"9","-344","Going, Going, Gonzaga","344"
"10","-354","Mad Mad Minions","354"
"11","-355","Norwich DeSilva","355"
"12","-360","Ronnie WOOOS","360"

"Strikeouts Pitched"
"Rk","FPts","Team","K"
"1","1,206","The Two-Fisted Sloppers","1,206"
"2","1,198","The Don Slaught Onslaught","1,198"
"3","1,103","Portland Gnashers","1,103"
"4","1,079","Big Bad Wolf(e)","1,079"
"5","1,075","Seattle Steelhead","1,075"
"6","1,064","Mad Mad Minions","1,064"
"7","1,058","Ronnie WOOOS","1,058"
"8","1,038","Gelof My Lawn!","1,038"
"9","1,004","Urine, You're Out!!","1,004"
"10","992","Hakuna Matata","992"
"11","967","Going, Going, Gonzaga","967"
"12","950","Norwich DeSilva","950"

"Balks"
"Rk","FPts","Team","BK"
"1","-1","Ronnie WOOOS","1"
"2","-2","Big Bad Wolf(e)","2"
"2","-2","Going, Going, Gonzaga","2"
"2","-2","Norwich DeSilva","2"
"5","-4","Mad Mad Minions","4"
"5","-4","Portland Gnashers","4"
"5","-4","Seattle Steelhead","4"
"8","-5","Hakuna Matata","5"
"8","-5","The Don Slaught Onslaught","5"
"8","-5","The Two-Fisted Sloppers","5"
"8","-5","Urine, You're Out!!","5"
"12","-11","Gelof My Lawn!","11"

"Wild Pitches"
"Rk","FPts","Team","WP"
"1","-23","Big Bad Wolf(e)","23"
"1","-23","Norwich DeSilva","23"
"3","-25","Seattle Steelhead","25"
"4","-26","Gelof My Lawn!","26"
"5","-27","Mad Mad Minions","27"
"6","-30","The Two-Fisted Sloppers","30"
"7","-34","Going, Going, Gonzaga","34"
"7","-34","Portland Gnashers","34"
"9","-35","Ronnie WOOOS","35"
"10","-36","Urine, You're Out!!","36"
"11","-37","The Don Slaught Onslaught","37"
"12","-38","Hakuna Matata","38"

"Hit Batsmen"
"Rk","FPts","Team","HB"
"1","-33","Ronnie WOOOS","33"
"2","-34","Big Bad Wolf(e)","34"
"2","-34","Urine, You're Out!!","34"
"4","-35","Going, Going, Gonzaga","35"
"5","-36","The Don Slaught Onslaught","36"
"6","-39","Seattle Steelhead","39"
"7","-40","Mad Mad Minions","40"
"8","-41","Gelof My Lawn!","41"
"9","-47","Hakuna Matata","47"
"9","-47","Norwich DeSilva","47"
"11","-50","Portland Gnashers","50"
"12","-53","The Two-Fisted Sloppers","53"

"Shutouts"
"Rk","FPts","Team","SHO"
"1","20","Seattle Steelhead","2"
"1","20","The Don Slaught Onslaught","2"
"1","20","Urine, You're Out!!","2"
"4","10","Big Bad Wolf(e)","1"
"4","10","Gelof My Lawn!","1"
"4","10","Hakuna Matata","1"
"4","10","Mad Mad Minions","1"
"8","0","Going, Going, Gonzaga","0"
"8","0","Norwich DeSilva","0"
"8","0","Portland Gnashers","0"
"8","0","Ronnie WOOOS","0"
"8","0","The Two-Fisted Sloppers","0"

"No Hitters"
"Rk","FPts","Team","NH"
