"Standings"
"Rk","Team","FPts","FP/G","GP","Hit","Pit","WW","PBL"
"1","Urine, You're Out!!","8,206","4.27","1921","3,800","4,406","3","0"
"2","Bozeman L'Espresso Messo","8,029","4.24","1895","4,131","3,898","5","177"
"3","Nashotah Millers","7,885","4.19","1881","4,110","3,775","12","321"
"4","Revenant Expansion Team","7,761","4.11","1887","4,033","3,728","4","445"
"5","Portland Gnashers","7,722","4.08","1892","4,044","3,678","1","484"
"6","Chicagao Swagger","7,710","4.14","1864","4,136","3,574","11","496"
"7","Colorado Crush","7,524","4.02","1873","3,869","3,655","7","682"
"8","Ronnie WOOOS","7,464","3.96","1884","3,632","3,832","10","742"
"9","Ft. Collins Boneheads","7,189","3.92","1834","3,431","3,758","8","1,017"
"10","There Is No Dana, Only Zuul","7,188","3.74","1922","3,982","3,206","9","1,018"
"11","Chicago Gangstas","6,808","3.68","1848","3,527","3,281","6","1,398"
"12","Seattle","6,806","3.74","1822","3,502","3,304","2","1,400"

"Standings - Points - Hitting"
"Rk","Team","FPts","H","R","2B","3B","HR","RBI","BB","SO","SB","CS","HBP","SH","SF","GIDP","CYC","E"
"1","Chicagao Swagger","4,136","1,646","839","330","102","552","787","544","-887","356","-52","53","37","44","-135","0","-80"
"2","Bozeman L'Espresso Messo","4,131","1,606","846","331","60","714","840","671","-1,033","208","-39","74","11","57","-147","5","-73"
"3","Nashotah Millers","4,110","1,664","893","345","90","654","885","681","-1,195","236","-52","56","26","54","-150","0","-77"
"4","Portland Gnashers","4,044","1,635","830","347","66","603","878","597","-1,061","252","-49","63","26","71","-144","0","-70"
"5","Revenant Expansion Team","4,033","1,650","879","346","92","621","805","629","-1,171","352","-64","62","15","53","-119","0","-117"
"6","There Is No Dana, Only Zuul","3,982","1,713","882","329","68","591","831","597","-1,143","226","-51","58","29","56","-119","0","-85"
"7","Colorado Crush","3,869","1,560","827","323","52","717","876","634","-1,269","298","-49","56","12","53","-143","0","-78"
"8","Urine, You're Out!!","3,800","1,634","815","312","38","609","771","632","-1,136","282","-50","53","29","46","-145","0","-90"
"9","Ronnie WOOOS","3,632","1,603","783","320","64","516","765","544","-1,019","190","-44","57","17","54","-137","0","-81"
"10","Chicago Gangstas","3,527","1,493","810","297","38","573","682","556","-992","226","-60","58","19","38","-135","0","-76"
"11","Seattle","3,502","1,487","757","299","74","564","728","550","-1,051","274","-50","48","15","43","-137","0","-99"
"12","Ft. Collins Boneheads","3,431","1,501","769","285","48","570","720","553","-1,185","286","-48","67","26","37","-108","0","-90"

"Standings - Points - Pitching"
"Rk","Team","FPts","IP","W","L","SV","BS","CG","H","ER","BB","K","BK","WP","HB","SHO","NH","PG","E"
"1","Urine, You're Out!!","4,406","3,671","840","-220","710","-75","75","-1,094","-442","-321","1,207","-5","-35","-26","110","20","0","-9"
"2","Bozeman L'Espresso Messo","3,898","3,503","800","-270","730","-70","40","-1,109","-438","-338","1,115","0","-41","-25","10","0","0","-9"
"3","Ronnie WOOOS","3,832","3,421","670","-305","910","-60","55","-1,035","-429","-362","1,023","-1","-54","-22","20","20","0","-19"
"4","Nashotah Millers","3,775","3,459","640","-315","850","-20","60","-1,017","-433","-365","1,002","-9","-34","-44","10","0","0","-9"
"5","Ft. Collins Boneheads","3,758","3,547","670","-350","790","-55","95","-1,098","-484","-345","995","-5","-40","-34","80","0","0","-8"
"6","Revenant Expansion Team","3,728","3,408","710","-240","850","-60","25","-1,034","-429","-337","890","-5","-36","-37","30","0","0","-7"
"7","Portland Gnashers","3,678","3,467","670","-325","820","-60","35","-1,064","-461","-353","994","-2","-36","-36","40","0","0","-11"
"8","Colorado Crush","3,655","3,478","780","-285","560","-80","50","-1,048","-454","-350","1,063","-2","-39","-41","30","0","0","-7"
"9","Chicagao Swagger","3,574","3,501","770","-300","620","-70","25","-1,051","-429","-401","978","-5","-43","-40","30","0","0","-11"
"10","Seattle","3,304","3,462","660","-310","590","-60","35","-1,083","-488","-354","914","-4","-32","-40","30","0","0","-16"
"11","Chicago Gangstas","3,281","3,267","740","-295","650","-80","20","-1,019","-492","-398","990","-3","-60","-49","20","0","0","-10"
"12","There Is No Dana, Only Zuul","3,206","3,339","550","-370","710","-45","25","-1,092","-506","-304","959","-1","-26","-46","30","0","0","-17"

"Standings - Statistics - Hitting"
"Rk","Team","FPts","GP","H","R","2B","3B","HR","RBI","BB","SO","SB","CS","HBP","SH","SF","GIDP","CYC","E"
"1","Chicagao Swagger","4,136","","1,646","839","330","51","184","787","544","887","178","52","53","37","44","135","0","80"
"2","Bozeman L'Espresso Messo","4,131","","1,606","846","331","30","238","840","671","1,033","104","39","74","11","57","147","1","73"
"3","Nashotah Millers","4,110","","1,664","893","345","45","218","885","681","1,195","118","52","56","26","54","150","0","77"
"4","Portland Gnashers","4,044","","1,635","830","347","33","201","878","597","1,061","126","49","63","26","71","144","0","70"
"5","Revenant Expansion Team","4,033","","1,650","879","346","46","207","805","629","1,171","176","64","62","15","53","119","0","117"
"6","There Is No Dana, Only Zuul","3,982","","1,713","882","329","34","197","831","597","1,143","113","51","58","29","56","119","0","85"
"7","Colorado Crush","3,869","","1,560","827","323","26","239","876","634","1,269","149","49","56","12","53","143","0","78"
"8","Urine, You're Out!!","3,800","","1,634","815","312","19","203","771","632","1,136","141","50","53","29","46","145","0","90"
"9","Ronnie WOOOS","3,632","","1,603","783","320","32","172","765","544","1,019","95","44","57","17","54","137","0","81"
"10","Chicago Gangstas","3,527","","1,493","810","297","19","191","682","556","992","113","60","58","19","38","135","0","76"
"11","Seattle","3,502","","1,487","757","299","37","188","728","550","1,051","137","50","48","15","43","137","0","99"
"12","Ft. Collins Boneheads","3,431","","1,501","769","285","24","190","720","553","1,185","143","48","67","26","37","108","0","90"

"Standings - Statistics - Pitching"
"Rk","Team","FPts","GP","IP","W","L","SV","BS","CG","H","ER","BB","K","BK","WP","HB","SHO","NH","PG","E"
"1","Urine, You're Out!!","4,406","","1,223.2","84","44","71","15","15","1,094","442","321","1,207","5","35","26","11","1","0","9"
"2","Bozeman L'Espresso Messo","3,898","","1,167.2","80","54","73","14","8","1,109","438","338","1,115","0","41","25","1","0","0","9"
"3","Ronnie WOOOS","3,832","","1,140.1","67","61","91","12","11","1,035","429","362","1,023","1","54","22","2","1","0","19"
"4","Nashotah Millers","3,775","","1,153","64","63","85","4","12","1,017","433","365","1,002","9","34","44","1","0","0","9"
"5","Ft. Collins Boneheads","3,758","","1,182.1","67","70","79","11","19","1,098","484","345","995","5","40","34","8","0","0","8"
"6","Revenant Expansion Team","3,728","","1,136","71","48","85","12","5","1,034","429","337","890","5","36","37","3","0","0","7"
"7","Portland Gnashers","3,678","","1,155.2","67","65","82","12","7","1,064","461","353","994","2","36","36","4","0","0","11"
"8","Colorado Crush","3,655","","1,159.1","78","57","56","16","10","1,048","454","350","1,063","2","39","41","3","0","0","7"
"9","Chicagao Swagger","3,574","","1,167","77","60","62","14","5","1,051","429","401","978","5","43","40","3","0","0","11"
"10","Seattle","3,304","","1,154","66","62","59","12","7","1,083","488","354","914","4","32","40","3","0","0","16"
"11","Chicago Gangstas","3,281","","1,089","74","59","65","16","4","1,019","492","398","990","3","60","49","2","0","0","10"
"12","There Is No Dana, Only Zuul","3,206","","1,113","55","74","71","9","5","1,092","506","304","959","1","26","46","3","0","0","17"

"Innings Pitched"
"Rk","FPts","Team","IP"
"1","3,671","Urine, You're Out!!","1,223.2"
"2","3,547","Ft. Collins Boneheads","1,182.1"
"3","3,503","Bozeman L'Espresso Messo","1,167.2"
"4","3,501","Chicagao Swagger","1,167"
"5","3,478","Colorado Crush","1,159.1"
"6","3,467","Portland Gnashers","1,155.2"
"7","3,462","Seattle","1,154"
"8","3,459","Nashotah Millers","1,153"
"9","3,421","Ronnie WOOOS","1,140.1"
"10","3,408","Revenant Expansion Team","1,136"
"11","3,339","There Is No Dana, Only Zuul","1,113"
"12","3,267","Chicago Gangstas","1,089"

"Wins"
"Rk","FPts","Team","W"
"1","840","Urine, You're Out!!","84"
"2","800","Bozeman L'Espresso Messo","80"
"3","780","Colorado Crush","78"
"4","770","Chicagao Swagger","77"
"5","740","Chicago Gangstas","74"
"6","710","Revenant Expansion Team","71"
"7","670","Ft. Collins Boneheads","67"
"7","670","Portland Gnashers","67"
"7","670","Ronnie WOOOS","67"
"10","660","Seattle","66"
"11","640","Nashotah Millers","64"
"12","550","There Is No Dana, Only Zuul","55"

"Losses"
"Rk","FPts","Team","L"
"1","-220","Urine, You're Out!!","44"
"2","-240","Revenant Expansion Team","48"
"3","-270","Bozeman L'Espresso Messo","54"
"4","-285","Colorado Crush","57"
"5","-295","Chicago Gangstas","59"
"6","-300","Chicagao Swagger","60"
"7","-305","Ronnie WOOOS","61"
"8","-310","Seattle","62"
"9","-315","Nashotah Millers","63"
"10","-325","Portland Gnashers","65"
"11","-350","Ft. Collins Boneheads","70"
"12","-370","There Is No Dana, Only Zuul","74"

"Saves"
"Rk","FPts","Team","SV"
"1","910","Ronnie WOOOS","91"
"2","850","Nashotah Millers","85"
"2","850","Revenant Expansion Team","85"
"4","820","Portland Gnashers","82"
"5","790","Ft. Collins Boneheads","79"
"6","730","Bozeman L'Espresso Messo","73"
"7","710","There Is No Dana, Only Zuul","71"
"7","710","Urine, You're Out!!","71"
"9","650","Chicago Gangstas","65"
"10","620","Chicagao Swagger","62"
"11","590","Seattle","59"
"12","560","Colorado Crush","56"

"Blown Saves"
"Rk","FPts","Team","BS"
"1","-20","Nashotah Millers","4"
"2","-45","There Is No Dana, Only Zuul","9"
"3","-55","Ft. Collins Boneheads","11"
"4","-60","Portland Gnashers","12"
"4","-60","Revenant Expansion Team","12"
"4","-60","Ronnie WOOOS","12"
"4","-60","Seattle","12"
"8","-70","Bozeman L'Espresso Messo","14"
"8","-70","Chicagao Swagger","14"
"10","-75","Urine, You're Out!!","15"
"11","-80","Chicago Gangstas","16"
"11","-80","Colorado Crush","16"

"Complete Games"
"Rk","FPts","Team","CG"
"1","95","Ft. Collins Boneheads","19"
"2","75","Urine, You're Out!!","15"
"3","60","Nashotah Millers","12"
"4","55","Ronnie WOOOS","11"
"5","50","Colorado Crush","10"
"6","40","Bozeman L'Espresso Messo","8"
"7","35","Portland Gnashers","7"
"7","35","Seattle","7"
"9","25","Chicagao Swagger","5"
"9","25","Revenant Expansion Team","5"
"9","25","There Is No Dana, Only Zuul","5"
"12","20","Chicago Gangstas","4"

"Hits Allowed"
"Rk","FPts","Team","H"
"1","-1,017","Nashotah Millers","1,017"
"2","-1,019","Chicago Gangstas","1,019"
"3","-1,034","Revenant Expansion Team","1,034"
"4","-1,035","Ronnie WOOOS","1,035"
"5","-1,048","Colorado Crush","1,048"
"6","-1,051","Chicagao Swagger","1,051"
"7","-1,064","Portland Gnashers","1,064"
"8","-1,083","Seattle","1,083"
"9","-1,092","There Is No Dana, Only Zuul","1,092"
"10","-1,094","Urine, You're Out!!","1,094"
"11","-1,098","Ft. Collins Boneheads","1,098"
"12","-1,109","Bozeman L'Espresso Messo","1,109"

"Earned Runs Allowed"
"Rk","FPts","Team","ER"
"1","-429","Chicagao Swagger","429"
"1","-429","Revenant Expansion Team","429"
"1","-429","Ronnie WOOOS","429"
"4","-433","Nashotah Millers","433"
"5","-438","Bozeman L'Espresso Messo","438"
"6","-442","Urine, You're Out!!","442"
"7","-454","Colorado Crush","454"
"8","-461","Portland Gnashers","461"
"9","-484","Ft. Collins Boneheads","484"
"10","-488","Seattle","488"
"11","-492","Chicago Gangstas","492"
"12","-506","There Is No Dana, Only Zuul","506"

"Walks Allowed"
"Rk","FPts","Team","BB"
"1","-304","There Is No Dana, Only Zuul","304"
"2","-321","Urine, You're Out!!","321"
"3","-337","Revenant Expansion Team","337"
"4","-338","Bozeman L'Espresso Messo","338"
"5","-345","Ft. Collins Boneheads","345"
"6","-350","Colorado Crush","350"
"7","-353","Portland Gnashers","353"
"8","-354","Seattle","354"
"9","-362","Ronnie WOOOS","362"
"10","-365","Nashotah Millers","365"
"11","-398","Chicago Gangstas","398"
"12","-401","Chicagao Swagger","401"

"Strikeouts Pitched"
"Rk","FPts","Team","K"
"1","1,207","Urine, You're Out!!","1,207"
"2","1,115","Bozeman L'Espresso Messo","1,115"
"3","1,063","Colorado Crush","1,063"
"4","1,023","Ronnie WOOOS","1,023"
"5","1,002","Nashotah Millers","1,002"
"6","995","Ft. Collins Boneheads","995"
"7","994","Portland Gnashers","994"
"8","990","Chicago Gangstas","990"
"9","978","Chicagao Swagger","978"
"10","959","There Is No Dana, Only Zuul","959"
"11","914","Seattle","914"
"12","890","Revenant Expansion Team","890"

"Balks"
"Rk","FPts","Team","BK"
"1","0","Bozeman L'Espresso Messo","0"
"2","-1","Ronnie WOOOS","1"
"2","-1","There Is No Dana, Only Zuul","1"
"4","-2","Colorado Crush","2"
"4","-2","Portland Gnashers","2"
"6","-3","Chicago Gangstas","3"
"7","-4","Seattle","4"
"8","-5","Chicagao Swagger","5"
"8","-5","Ft. Collins Boneheads","5"
"8","-5","Revenant Expansion Team","5"
"8","-5","Urine, You're Out!!","5"
"12","-9","Nashotah Millers","9"

"Wild Pitches"
"Rk","FPts","Team","WP"
"1","-26","There Is No Dana, Only Zuul","26"
"2","-32","Seattle","32"
"3","-34","Nashotah Millers","34"
"4","-35","Urine, You're Out!!","35"
"5","-36","Portland Gnashers","36"
"5","-36","Revenant Expansion Team","36"
"7","-39","Colorado Crush","39"
"8","-40","Ft. Collins Boneheads","40"
"9","-41","Bozeman L'Espresso Messo","41"
"10","-43","Chicagao Swagger","43"
"11","-54","Ronnie WOOOS","54"
"12","-60","Chicago Gangstas","60"

"Hit Batsmen"
"Rk","FPts","Team","HB"
"1","-22","Ronnie WOOOS","22"
"2","-25","Bozeman L'Espresso Messo","25"
"3","-26","Urine, You're Out!!","26"
"4","-34","Ft. Collins Boneheads","34"
"5","-36","Portland Gnashers","36"
"6","-37","Revenant Expansion Team","37"
"7","-40","Chicagao Swagger","40"
"7","-40","Seattle","40"
"9","-41","Colorado Crush","41"
"10","-44","Nashotah Millers","44"
"11","-46","There Is No Dana, Only Zuul","46"
"12","-49","Chicago Gangstas","49"

"Shutouts"
"Rk","FPts","Team","SHO"
"1","110","Urine, You're Out!!","11"
"2","80","Ft. Collins Boneheads","8"
"3","40","Portland Gnashers","4"
"4","30","Chicagao Swagger","3"
"4","30","Colorado Crush","3"
"4","30","Revenant Expansion Team","3"
"4","30","Seattle","3"
"4","30","There Is No Dana, Only Zuul","3"
"9","20","Chicago Gangstas","2"
"9","20","Ronnie WOOOS","2"
"11","10","Bozeman L'Espresso Messo","1"
"11","10","Nashotah Millers","1"

"No Hitters"
"Rk","FPts","Team","NH"
