"Standings"
"Rk","Team","FPts","FP/G","GP","Hit","Pit","WW","PBL"
"1","Portland Gnashers","8,235","4.3","1913","3,821","4,414","11","0"
"2","Derek Jeter Gift Baskets","7,998","4.21","1902","3,964","4,034","12","237"
"3","Washington U.L.'s","7,935","4.16","1906","4,283","3,652","3","300"
"4","Cranky Greinkes","7,865","4.14","1900","3,727","4,138","4","370"
"5","Samardzija's Mullet","7,680","4.04","1902","3,826","3,854","7","555"
"6","Ronnie WOOOS","7,632","3.97","1921","3,915","3,717","5","603"
"7","Chicago Swagger","7,464","3.93","1901","4,138","3,326","10","771"
"8","Nashotah Millers","7,406","3.9","1901","3,755","3,651","1","829"
"9","Colorado Crush","7,274","3.84","1892","3,977","3,297","8","961"
"10","Swinging for Steel","7,133","3.73","1914","3,785","3,348","6","1,102"
"11","Urine, You're Out!!","7,087","3.69","1922","3,799","3,288","9","1,148"
"12","German Red Sox","6,687","3.59","1864","3,466","3,221","2","1,548"

"Standings - Points - Hitting"
"Rk","Team","FPts","H","R","2B","3B","HR","RBI","BB","SO","SB","CS","HBP","SH","SF","GIDP","CYC","E"
"1","Washington U.L.'s","4,283","1,700","889","309","80","750","858","647","-1,078","272","-55","70","13","56","-136","0","-92"
"2","Chicago Swagger","4,138","1,747","922","373","62","732","845","633","-1,217","226","-38","51","17","43","-174","0","-84"
"3","Colorado Crush","3,977","1,634","893","291","78","741","834","561","-1,167","254","-37","65","17","32","-136","0","-83"
"4","Derek Jeter Gift Baskets","3,964","1,687","859","364","84","537","782","568","-1,112","302","-48","66","31","47","-133","0","-70"
"5","Ronnie WOOOS","3,915","1,642","856","324","66","705","879","545","-1,225","260","-41","40","8","59","-144","10","-69"
"6","Samardzija's Mullet","3,826","1,557","851","350","78","660","816","584","-1,209","244","-44","64","17","58","-123","0","-77"
"7","Portland Gnashers","3,821","1,610","794","307","52","543","796","566","-986","230","-36","63","31","61","-129","0","-81"
"8","Urine, You're Out!!","3,799","1,602","817","284","54","642","768","576","-1,181","350","-46","55","26","44","-114","0","-78"
"9","Swinging for Steel","3,785","1,579","854","308","54","801","894","552","-1,352","262","-42","59","4","58","-141","0","-105"
"10","Nashotah Millers","3,755","1,652","855","325","74","591","802","600","-1,202","242","-50","48","14","46","-157","0","-85"
"11","Cranky Greinkes","3,727","1,561","864","304","58","789","853","577","-1,400","210","-23","49","14","53","-108","5","-79"
"12","German Red Sox","3,466","1,514","817","262","70","528","758","619","-1,170","176","-33","65","13","45","-120","0","-78"

"Standings - Points - Pitching"
"Rk","Team","FPts","IP","W","L","SV","BS","CG","H","ER","BB","K","BK","WP","HB","SHO","NH","PG","E"
"1","Portland Gnashers","4,414","3,425","900","-215","890","-30","45","-988","-385","-311","1,097","-3","-31","-30","40","20","0","-10"
"2","Cranky Greinkes","4,138","3,605","720","-310","860","-85","55","-1,097","-481","-313","1,168","-4","-42","-41","60","20","30","-7"
"3","Derek Jeter Gift Baskets","4,034","3,488","820","-250","720","-40","40","-1,060","-415","-306","1,093","-9","-37","-36","40","0","0","-14"
"4","Samardzija's Mullet","3,854","3,350","660","-275","880","-55","60","-989","-461","-360","1,054","-1","-37","-25","60","0","0","-7"
"5","Ronnie WOOOS","3,717","3,453","870","-290","680","-80","30","-1,029","-481","-371","981","-2","-34","-41","40","0","0","-9"
"6","Washington U.L.'s","3,652","3,409","710","-315","880","-55","25","-1,032","-484","-371","952","-3","-38","-37","20","0","0","-9"
"7","Nashotah Millers","3,651","3,407","720","-320","820","-75","5","-1,082","-461","-304","1,020","-6","-23","-42","0","0","0","-8"
"8","Swinging for Steel","3,348","3,386","720","-365","590","-70","40","-1,060","-519","-424","1,019","-2","-50","-37","60","40","30","-10"
"9","Chicago Swagger","3,326","3,252","670","-315","750","-40","15","-1,074","-485","-340","938","-3","-28","-26","20","0","0","-8"
"10","Colorado Crush","3,297","3,331","620","-355","640","-80","20","-1,068","-473","-292","1,001","-4","-24","-28","20","0","0","-11"
"11","Urine, You're Out!!","3,288","3,508","590","-400","650","-60","40","-1,140","-527","-336","1,035","-3","-34","-35","20","0","0","-20"
"12","German Red Sox","3,221","3,375","720","-320","530","-45","20","-1,113","-462","-327","917","-1","-33","-42","20","0","0","-18"

"Standings - Statistics - Hitting"
"Rk","Team","FPts","GP","H","R","2B","3B","HR","RBI","BB","SO","SB","CS","HBP","SH","SF","GIDP","CYC","E"
"1","Washington U.L.'s","4,283","","1,700","889","309","40","250","858","647","1,078","136","55","70","13","56","136","0","92"
"2","Chicago Swagger","4,138","","1,747","922","373","31","244","845","633","1,217","113","38","51","17","43","174","0","84"
"3","Colorado Crush","3,977","","1,634","893","291","39","247","834","561","1,167","127","37","65","17","32","136","0","83"
"4","Derek Jeter Gift Baskets","3,964","","1,687","859","364","42","179","782","568","1,112","151","48","66","31","47","133","0","70"
"5","Ronnie WOOOS","3,915","","1,642","856","324","33","235","879","545","1,225","130","41","40","8","59","144","2","69"
"6","Samardzija's Mullet","3,826","","1,557","851","350","39","220","816","584","1,209","122","44","64","17","58","123","0","77"
"7","Portland Gnashers","3,821","","1,610","794","307","26","181","796","566","986","115","36","63","31","61","129","0","81"
"8","Urine, You're Out!!","3,799","","1,602","817","284","27","214","768","576","1,181","175","46","55","26","44","114","0","78"
"9","Swinging for Steel","3,785","","1,579","854","308","27","267","894","552","1,352","131","42","59","4","58","141","0","105"
"10","Nashotah Millers","3,755","","1,652","855","325","37","197","802","600","1,202","121","50","48","14","46","157","0","85"
"11","Cranky Greinkes","3,727","","1,561","864","304","29","263","853","577","1,400","105","23","49","14","53","108","1","79"
"12","German Red Sox","3,466","","1,514","817","262","35","176","758","619","1,170","88","33","65","13","45","120","0","78"

"Standings - Statistics - Pitching"
"Rk","Team","FPts","GP","IP","W","L","SV","BS","CG","H","ER","BB","K","BK","WP","HB","SHO","NH","PG","E"
"1","Portland Gnashers","4,414","","1,141.2","90","43","89","6","9","988","385","311","1,097","3","31","30","4","1","0","10"
"2","Cranky Greinkes","4,138","","1,201.2","72","62","86","17","11","1,097","481","313","1,168","4","42","41","6","1","1","7"
"3","Derek Jeter Gift Baskets","4,034","","1,162.2","82","50","72","8","8","1,060","415","306","1,093","9","37","36","4","0","0","14"
"4","Samardzija's Mullet","3,854","","1,116.2","66","55","88","11","12","989","461","360","1,054","1","37","25","6","0","0","7"
"5","Ronnie WOOOS","3,717","","1,151","87","58","68","16","6","1,029","481","371","981","2","34","41","4","0","0","9"
"6","Washington U.L.'s","3,652","","1,136.1","71","63","88","11","5","1,032","484","371","952","3","38","37","2","0","0","9"
"7","Nashotah Millers","3,651","","1,135.2","72","64","82","15","1","1,082","461","304","1,020","6","23","42","0","0","0","8"
"8","Swinging for Steel","3,348","","1,128.2","72","73","59","14","8","1,060","519","424","1,019","2","50","37","6","2","1","10"
"9","Chicago Swagger","3,326","","1,084","67","63","75","8","3","1,074","485","340","938","3","28","26","2","0","0","8"
"10","Colorado Crush","3,297","","1,110.1","62","71","64","16","4","1,068","473","292","1,001","4","24","28","2","0","0","11"
"11","Urine, You're Out!!","3,288","","1,169.1","59","80","65","12","8","1,140","527","336","1,035","3","34","35","2","0","0","20"
"12","German Red Sox","3,221","","1,125","72","64","53","9","4","1,113","462","327","917","1","33","42","2","0","0","18"

"Innings Pitched"
"Rk","FPts","Team","IP"
"1","3,605","Cranky Greinkes","1,201.2"
"2","3,508","Urine, You're Out!!","1,169.1"
"3","3,488","Derek Jeter Gift Baskets","1,162.2"
"4","3,453","Ronnie WOOOS","1,151"
"5","3,425","Portland Gnashers","1,141.2"
"6","3,409","Washington U.L.'s","1,136.1"
"7","3,407","Nashotah Millers","1,135.2"
"8","3,386","Swinging for Steel","1,128.2"
"9","3,375","German Red Sox","1,125"
"10","3,350","Samardzija's Mullet","1,116.2"
"11","3,331","Colorado Crush","1,110.1"
"12","3,252","Chicago Swagger","1,084"

"Wins"
"Rk","FPts","Team","W"
"1","900","Portland Gnashers","90"
"2","870","Ronnie WOOOS","87"
"3","820","Derek Jeter Gift Baskets","82"
"4","720","Cranky Greinkes","72"
"4","720","German Red Sox","72"
"4","720","Nashotah Millers","72"
"4","720","Swinging for Steel","72"
"8","710","Washington U.L.'s","71"
"9","670","Chicago Swagger","67"
"10","660","Samardzija's Mullet","66"
"11","620","Colorado Crush","62"
"12","590","Urine, You're Out!!","59"

"Losses"
"Rk","FPts","Team","L"
"1","-215","Portland Gnashers","43"
"2","-250","Derek Jeter Gift Baskets","50"
"3","-275","Samardzija's Mullet","55"
"4","-290","Ronnie WOOOS","58"
"5","-310","Cranky Greinkes","62"
"6","-315","Chicago Swagger","63"
"6","-315","Washington U.L.'s","63"
"8","-320","German Red Sox","64"
"8","-320","Nashotah Millers","64"
"10","-355","Colorado Crush","71"
"11","-365","Swinging for Steel","73"
"12","-400","Urine, You're Out!!","80"

"Saves"
"Rk","FPts","Team","SV"
"1","890","Portland Gnashers","89"
"2","880","Samardzija's Mullet","88"
"2","880","Washington U.L.'s","88"
"4","860","Cranky Greinkes","86"
"5","820","Nashotah Millers","82"
"6","750","Chicago Swagger","75"
"7","720","Derek Jeter Gift Baskets","72"
"8","680","Ronnie WOOOS","68"
"9","650","Urine, You're Out!!","65"
"10","640","Colorado Crush","64"
"11","590","Swinging for Steel","59"
"12","530","German Red Sox","53"

"Blown Saves"
"Rk","FPts","Team","BS"
"1","-30","Portland Gnashers","6"
"2","-40","Chicago Swagger","8"
"2","-40","Derek Jeter Gift Baskets","8"
"4","-45","German Red Sox","9"
"5","-55","Samardzija's Mullet","11"
"5","-55","Washington U.L.'s","11"
"7","-60","Urine, You're Out!!","12"
"8","-70","Swinging for Steel","14"
"9","-75","Nashotah Millers","15"
"10","-80","Colorado Crush","16"
"10","-80","Ronnie WOOOS","16"
"12","-85","Cranky Greinkes","17"

"Complete Games"
"Rk","FPts","Team","CG"
"1","60","Samardzija's Mullet","12"
"2","55","Cranky Greinkes","11"
"3","45","Portland Gnashers","9"
"4","40","Derek Jeter Gift Baskets","8"
"4","40","Swinging for Steel","8"
"4","40","Urine, You're Out!!","8"
"7","30","Ronnie WOOOS","6"
"8","25","Washington U.L.'s","5"
"9","20","Colorado Crush","4"
"9","20","German Red Sox","4"
"11","15","Chicago Swagger","3"
"12","5","Nashotah Millers","1"

"Hits Allowed"
"Rk","FPts","Team","H"
"1","-988","Portland Gnashers","988"
"2","-989","Samardzija's Mullet","989"
"3","-1,029","Ronnie WOOOS","1,029"
"4","-1,032","Washington U.L.'s","1,032"
"5","-1,060","Derek Jeter Gift Baskets","1,060"
"5","-1,060","Swinging for Steel","1,060"
"7","-1,068","Colorado Crush","1,068"
"8","-1,074","Chicago Swagger","1,074"
"9","-1,082","Nashotah Millers","1,082"
"10","-1,097","Cranky Greinkes","1,097"
"11","-1,113","German Red Sox","1,113"
"12","-1,140","Urine, You're Out!!","1,140"

"Earned Runs Allowed"
"Rk","FPts","Team","ER"
"1","-385","Portland Gnashers","385"
"2","-415","Derek Jeter Gift Baskets","415"
"3","-461","Nashotah Millers","461"
"3","-461","Samardzija's Mullet","461"
"5","-462","German Red Sox","462"
"6","-473","Colorado Crush","473"
"7","-481","Cranky Greinkes","481"
"7","-481","Ronnie WOOOS","481"
"9","-484","Washington U.L.'s","484"
"10","-485","Chicago Swagger","485"
"11","-519","Swinging for Steel","519"
"12","-527","Urine, You're Out!!","527"

"Walks Allowed"
"Rk","FPts","Team","BB"
"1","-292","Colorado Crush","292"
"2","-304","Nashotah Millers","304"
"3","-306","Derek Jeter Gift Baskets","306"
"4","-311","Portland Gnashers","311"
"5","-313","Cranky Greinkes","313"
"6","-327","German Red Sox","327"
"7","-336","Urine, You're Out!!","336"
"8","-340","Chicago Swagger","340"
"9","-360","Samardzija's Mullet","360"
"10","-371","Ronnie WOOOS","371"
"10","-371","Washington U.L.'s","371"
"12","-424","Swinging for Steel","424"

"Strikeouts Pitched"
"Rk","FPts","Team","K"
"1","1,168","Cranky Greinkes","1,168"
"2","1,097","Portland Gnashers","1,097"
"3","1,093","Derek Jeter Gift Baskets","1,093"
"4","1,054","Samardzija's Mullet","1,054"
"5","1,035","Urine, You're Out!!","1,035"
"6","1,020","Nashotah Millers","1,020"
"7","1,019","Swinging for Steel","1,019"
"8","1,001","Colorado Crush","1,001"
"9","981","Ronnie WOOOS","981"
"10","952","Washington U.L.'s","952"
"11","938","Chicago Swagger","938"
"12","917","German Red Sox","917"

"Balks"
"Rk","FPts","Team","BK"
"1","-1","German Red Sox","1"
"1","-1","Samardzija's Mullet","1"
"3","-2","Ronnie WOOOS","2"
"3","-2","Swinging for Steel","2"
"5","-3","Chicago Swagger","3"
"5","-3","Portland Gnashers","3"
"5","-3","Urine, You're Out!!","3"
"5","-3","Washington U.L.'s","3"
"9","-4","Colorado Crush","4"
"9","-4","Cranky Greinkes","4"
"11","-6","Nashotah Millers","6"
"12","-9","Derek Jeter Gift Baskets","9"

"Wild Pitches"
"Rk","FPts","Team","WP"
"1","-23","Nashotah Millers","23"
"2","-24","Colorado Crush","24"
"3","-28","Chicago Swagger","28"
"4","-31","Portland Gnashers","31"
"5","-33","German Red Sox","33"
"6","-34","Ronnie WOOOS","34"
"6","-34","Urine, You're Out!!","34"
"8","-37","Derek Jeter Gift Baskets","37"
"8","-37","Samardzija's Mullet","37"
"10","-38","Washington U.L.'s","38"
"11","-42","Cranky Greinkes","42"
"12","-50","Swinging for Steel","50"

"Hit Batsmen"
"Rk","FPts","Team","HB"
"1","-25","Samardzija's Mullet","25"
"2","-26","Chicago Swagger","26"
"3","-28","Colorado Crush","28"
"4","-30","Portland Gnashers","30"
"5","-35","Urine, You're Out!!","35"
"6","-36","Derek Jeter Gift Baskets","36"
"7","-37","Swinging for Steel","37"
"7","-37","Washington U.L.'s","37"
"9","-41","Cranky Greinkes","41"
"9","-41","Ronnie WOOOS","41"
"11","-42","German Red Sox","42"
"11","-42","Nashotah Millers","42"

"Shutouts"
"Rk","FPts","Team","SHO"
"1","60","Cranky Greinkes","6"
"1","60","Samardzija's Mullet","6"
"1","60","Swinging for Steel","6"
"4","40","Derek Jeter Gift Baskets","4"
"4","40","Portland Gnashers","4"
"4","40","Ronnie WOOOS","4"
"7","20","Chicago Swagger","2"
"7","20","Colorado Crush","2"
"7","20","German Red Sox","2"
"7","20","Urine, You're Out!!","2"
"7","20","Washington U.L.'s","2"
"12","0","Nashotah Millers","0"

"No Hitters"
"Rk","FPts","Team","NH"
"1","40","Swinging for Steel","2"
"2","20","Cranky Greinkes","1"
"2","20","Portland Gnashers","1"
"4","0","Chicago Swagger","0"
