"Standings"
"Rk","Team","FPts","FP/G","GP","Hit","Pit","WW","PBL"
"1","Chris Davis K's","8,087","4.26","1898","4,201","3,886","6","0"
"2","Urine, You're Out!!","8,019","4.17","1922","3,845","4,174","3","68"
"3","Cranky Greinkes","7,781","4.09","1903","3,632","4,149","1","306"
"4","Washington U.L.'s","7,721","4.07","1896","3,776","3,945","4","366"
"5","The Great Colorado FLOOD 2013","7,520","3.98","1890","3,794","3,726","7","567"
"6","Portland Gnashers","7,496","3.9","1922","3,513","3,983","9","591"
"7","Nashotah Millers","7,371","4.1","1796","3,456","3,915","8","716"
"8","Ronnie WOOOS","7,217","3.77","1916","3,496","3,721","11","870"
"9","Swinging for Steel","7,084","3.73","1898","3,531","3,553","5","1,003"
"10","Cap Anson's Colts","7,045","3.76","1876","3,529","3,516","12","1,042"
"11","The Loners, Dottie, The Rebels","7,018","3.68","1908","3,565","3,453","10","1,069"
"12","El Hombre","6,986","3.7","1890","3,421","3,565","2","1,101"

"Standings - Points - Hitting"
"Rk","Team","FPts","H","R","2B","3B","HR","RBI","BB","SO","SB","CS","HBP","SH","SF","GIDP","CYC","E"
"1","Chris Davis K's","4,201","1,711","867","355","48","792","911","679","-1,243","224","-37","43","9","38","-129","0","-67"
"2","Urine, You're Out!!","3,845","1,637","875","324","64","654","853","626","-1,250","184","-26","66","12","53","-153","0","-74"
"3","The Great Colorado FLOOD 2013","3,794","1,622","831","324","78","513","758","602","-1,192","340","-49","70","28","67","-115","5","-88"
"4","Washington U.L.'s","3,776","1,629","828","333","56","546","721","625","-1,103","276","-64","60","24","52","-122","0","-85"
"5","Cranky Greinkes","3,632","1,627","775","326","74","573","735","595","-1,236","308","-46","50","16","42","-123","0","-84"
"6","The Loners, Dottie, The Rebels","3,565","1,634","779","284","60","552","722","511","-1,076","258","-43","56","15","47","-158","0","-76"
"7","Swinging for Steel","3,531","1,632","826","361","46","618","803","579","-1,353","188","-38","65","18","45","-168","0","-91"
"8","Cap Anson's Colts","3,529","1,646","779","309","60","498","740","539","-1,133","216","-40","56","23","42","-130","0","-76"
"9","Portland Gnashers","3,513","1,616","759","311","50","540","776","565","-1,087","150","-25","44","21","48","-176","0","-79"
"10","Ronnie WOOOS","3,496","1,613","769","326","58","549","774","511","-1,117","158","-36","57","9","62","-146","0","-91"
"11","Nashotah Millers","3,456","1,501","776","297","40","582","706","620","-1,157","162","-28","78","22","39","-115","0","-67"
"12","El Hombre","3,421","1,610","805","321","42","552","753","454","-1,266","280","-42","50","31","53","-148","5","-79"

"Standings - Points - Pitching"
"Rk","Team","FPts","IP","W","L","SV","BS","CG","H","ER","BB","K","BK","WP","HB","SHO","NH","PG","E"
"1","Urine, You're Out!!","4,174","3,601","690","-265","870","-40","35","-1,111","-440","-280","1,154","-2","-38","-28","30","0","0","-2"
"2","Cranky Greinkes","4,149","3,464","760","-255","930","-55","30","-1,035","-427","-315","1,114","-3","-45","-48","20","20","0","-6"
"3","Portland Gnashers","3,983","3,553","640","-250","840","-40","40","-1,106","-437","-262","1,039","-3","-28","-30","30","0","0","-3"
"4","Washington U.L.'s","3,945","3,480","810","-280","750","-45","35","-1,058","-439","-307","1,031","-3","-38","-26","40","0","0","-5"
"5","Nashotah Millers","3,915","3,457","770","-290","670","-65","55","-1,002","-400","-379","1,117","-4","-38","-41","70","0","0","-5"
"6","Chris Davis K's","3,886","3,484","730","-290","840","-55","30","-1,042","-463","-325","1,036","-4","-32","-31","10","0","0","-2"
"7","The Great Colorado FLOOD 2013","3,726","3,460","640","-295","750","-65","30","-1,039","-399","-313","1,009","-3","-43","-26","30","0","0","-10"
"8","Ronnie WOOOS","3,721","3,375","690","-315","830","-70","25","-995","-433","-393","1,077","-2","-37","-42","20","0","0","-9"
"9","El Hombre","3,565","3,362","730","-325","850","-45","20","-1,066","-494","-391","994","-6","-45","-51","20","20","0","-8"
"10","Swinging for Steel","3,553","3,433","600","-320","850","-55","15","-1,101","-494","-325","985","-1","-29","-30","30","0","0","-5"
"11","Cap Anson's Colts","3,516","3,353","710","-295","700","-90","30","-1,024","-457","-388","1,025","-3","-36","-36","30","0","0","-3"
"12","The Loners, Dottie, The Rebels","3,453","3,378","790","-320","650","-55","25","-1,068","-473","-339","936","-3","-40","-44","20","0","0","-4"

"Standings - Statistics - Hitting"
"Rk","Team","FPts","GP","H","R","2B","3B","HR","RBI","BB","SO","SB","CS","HBP","SH","SF","GIDP","CYC","E"
"1","Chris Davis K's","4,201","","1,711","867","355","24","264","911","679","1,243","112","37","43","9","38","129","0","67"
"2","Urine, You're Out!!","3,845","","1,637","875","324","32","218","853","626","1,250","92","26","66","12","53","153","0","74"
"3","The Great Colorado FLOOD 2013","3,794","","1,622","831","324","39","171","758","602","1,192","170","49","70","28","67","115","1","88"
"4","Washington U.L.'s","3,776","","1,629","828","333","28","182","721","625","1,103","138","64","60","24","52","122","0","85"
"5","Cranky Greinkes","3,632","","1,627","775","326","37","191","735","595","1,236","154","46","50","16","42","123","0","84"
"6","The Loners, Dottie, The Rebels","3,565","","1,634","779","284","30","184","722","511","1,076","129","43","56","15","47","158","0","76"
"7","Swinging for Steel","3,531","","1,632","826","361","23","206","803","579","1,353","94","38","65","18","45","168","0","91"
"8","Cap Anson's Colts","3,529","","1,646","779","309","30","166","740","539","1,133","108","40","56","23","42","130","0","76"
"9","Portland Gnashers","3,513","","1,616","759","311","25","180","776","565","1,087","75","25","44","21","48","176","0","79"
"10","Ronnie WOOOS","3,496","","1,613","769","326","29","183","774","511","1,117","79","36","57","9","62","146","0","91"
"11","Nashotah Millers","3,456","","1,501","776","297","20","194","706","620","1,157","81","28","78","22","39","115","0","67"
"12","El Hombre","3,421","","1,610","805","321","21","184","753","454","1,266","140","42","50","31","53","148","1","79"

"Standings - Statistics - Pitching"
"Rk","Team","FPts","GP","IP","W","L","SV","BS","CG","H","ER","BB","K","BK","WP","HB","SHO","NH","PG","E"
"1","Urine, You're Out!!","4,174","","1,200.1","69","53","87","8","7","1,111","440","280","1,154","2","38","28","3","0","0","2"
"2","Cranky Greinkes","4,149","","1,154.2","76","51","93","11","6","1,035","427","315","1,114","3","45","48","2","1","0","6"
"3","Portland Gnashers","3,983","","1,184.1","64","50","84","8","8","1,106","437","262","1,039","3","28","30","3","0","0","3"
"4","Washington U.L.'s","3,945","","1,160","81","56","75","9","7","1,058","439","307","1,031","3","38","26","4","0","0","5"
"5","Nashotah Millers","3,915","","1,152.1","77","58","67","13","11","1,002","400","379","1,117","4","38","41","7","0","0","5"
"6","Chris Davis K's","3,886","","1,161.1","73","58","84","11","6","1,042","463","325","1,036","4","32","31","1","0","0","2"
"7","The Great Colorado FLOOD 2013","3,726","","1,153.1","64","59","75","13","6","1,039","399","313","1,009","3","43","26","3","0","0","10"
"8","Ronnie WOOOS","3,721","","1,125","69","63","83","14","5","995","433","393","1,077","2","37","42","2","0","0","9"
"9","El Hombre","3,565","","1,120.2","73","65","85","9","4","1,066","494","391","994","6","45","51","2","1","0","8"
"10","Swinging for Steel","3,553","","1,144.1","60","64","85","11","3","1,101","494","325","985","1","29","30","3","0","0","5"
"11","Cap Anson's Colts","3,516","","1,117.2","71","59","70","18","6","1,024","457","388","1,025","3","36","36","3","0","0","3"
"12","The Loners, Dottie, The Rebels","3,453","","1,126","79","64","65","11","5","1,068","473","339","936","3","40","44","2","0","0","4"

"Innings Pitched"
"Rk","FPts","Team","IP"
"1","3,601","Urine, You're Out!!","1,200.1"
"2","3,553","Portland Gnashers","1,184.1"
"3","3,484","Chris Davis K's","1,161.1"
"4","3,480","Washington U.L.'s","1,160"
"5","3,464","Cranky Greinkes","1,154.2"
"6","3,460","The Great Colorado FLOOD 2013","1,153.1"
"7","3,457","Nashotah Millers","1,152.1"
"8","3,433","Swinging for Steel","1,144.1"
"9","3,378","The Loners, Dottie, The Rebels","1,126"
"10","3,375","Ronnie WOOOS","1,125"
"11","3,362","El Hombre","1,120.2"
"12","3,353","Cap Anson's Colts","1,117.2"

"Wins"
"Rk","FPts","Team","W"
"1","810","Washington U.L.'s","81"
"2","790","The Loners, Dottie, The Rebels","79"
"3","770","Nashotah Millers","77"
"4","760","Cranky Greinkes","76"
"5","730","Chris Davis K's","73"
"5","730","El Hombre","73"
"7","710","Cap Anson's Colts","71"
"8","690","Ronnie WOOOS","69"
"8","690","Urine, You're Out!!","69"
"10","640","Portland Gnashers","64"
"10","640","The Great Colorado FLOOD 2013","64"
"12","600","Swinging for Steel","60"

"Losses"
"Rk","FPts","Team","L"
"1","-250","Portland Gnashers","50"
"2","-255","Cranky Greinkes","51"
"3","-265","Urine, You're Out!!","53"
"4","-280","Washington U.L.'s","56"
"5","-290","Chris Davis K's","58"
"5","-290","Nashotah Millers","58"
"7","-295","Cap Anson's Colts","59"
"7","-295","The Great Colorado FLOOD 2013","59"
"9","-315","Ronnie WOOOS","63"
"10","-320","Swinging for Steel","64"
"10","-320","The Loners, Dottie, The Rebels","64"
"12","-325","El Hombre","65"

"Saves"
"Rk","FPts","Team","SV"
"1","930","Cranky Greinkes","93"
"2","870","Urine, You're Out!!","87"
"3","850","El Hombre","85"
"3","850","Swinging for Steel","85"
"5","840","Chris Davis K's","84"
"5","840","Portland Gnashers","84"
"7","830","Ronnie WOOOS","83"
"8","750","The Great Colorado FLOOD 2013","75"
"8","750","Washington U.L.'s","75"
"10","700","Cap Anson's Colts","70"
"11","670","Nashotah Millers","67"
"12","650","The Loners, Dottie, The Rebels","65"

"Blown Saves"
"Rk","FPts","Team","BS"
"1","-40","Portland Gnashers","8"
"1","-40","Urine, You're Out!!","8"
"3","-45","El Hombre","9"
"3","-45","Washington U.L.'s","9"
"5","-55","Chris Davis K's","11"
"5","-55","Cranky Greinkes","11"
"5","-55","Swinging for Steel","11"
"5","-55","The Loners, Dottie, The Rebels","11"
"9","-65","Nashotah Millers","13"
"9","-65","The Great Colorado FLOOD 2013","13"
"11","-70","Ronnie WOOOS","14"
"12","-90","Cap Anson's Colts","18"

"Complete Games"
"Rk","FPts","Team","CG"
"1","55","Nashotah Millers","11"
"2","40","Portland Gnashers","8"
"3","35","Urine, You're Out!!","7"
"3","35","Washington U.L.'s","7"
"5","30","Cap Anson's Colts","6"
"5","30","Chris Davis K's","6"
"5","30","Cranky Greinkes","6"
"5","30","The Great Colorado FLOOD 2013","6"
"9","25","Ronnie WOOOS","5"
"9","25","The Loners, Dottie, The Rebels","5"
"11","20","El Hombre","4"
"12","15","Swinging for Steel","3"

"Hits Allowed"
"Rk","FPts","Team","H"
"1","-995","Ronnie WOOOS","995"
"2","-1,002","Nashotah Millers","1,002"
"3","-1,024","Cap Anson's Colts","1,024"
"4","-1,035","Cranky Greinkes","1,035"
"5","-1,039","The Great Colorado FLOOD 2013","1,039"
"6","-1,042","Chris Davis K's","1,042"
"7","-1,058","Washington U.L.'s","1,058"
"8","-1,066","El Hombre","1,066"
"9","-1,068","The Loners, Dottie, The Rebels","1,068"
"10","-1,101","Swinging for Steel","1,101"
"11","-1,106","Portland Gnashers","1,106"
"12","-1,111","Urine, You're Out!!","1,111"

"Earned Runs Allowed"
"Rk","FPts","Team","ER"
"1","-399","The Great Colorado FLOOD 2013","399"
"2","-400","Nashotah Millers","400"
"3","-427","Cranky Greinkes","427"
"4","-433","Ronnie WOOOS","433"
"5","-437","Portland Gnashers","437"
"6","-439","Washington U.L.'s","439"
"7","-440","Urine, You're Out!!","440"
"8","-457","Cap Anson's Colts","457"
"9","-463","Chris Davis K's","463"
"10","-473","The Loners, Dottie, The Rebels","473"
"11","-494","El Hombre","494"
"11","-494","Swinging for Steel","494"

"Walks Allowed"
"Rk","FPts","Team","BB"
"1","-262","Portland Gnashers","262"
"2","-280","Urine, You're Out!!","280"
"3","-307","Washington U.L.'s","307"
"4","-313","The Great Colorado FLOOD 2013","313"
"5","-315","Cranky Greinkes","315"
"6","-325","Chris Davis K's","325"
"6","-325","Swinging for Steel","325"
"8","-339","The Loners, Dottie, The Rebels","339"
"9","-379","Nashotah Millers","379"
"10","-388","Cap Anson's Colts","388"
"11","-391","El Hombre","391"
"12","-393","Ronnie WOOOS","393"

"Strikeouts Pitched"
"Rk","FPts","Team","K"
"1","1,154","Urine, You're Out!!","1,154"
"2","1,117","Nashotah Millers","1,117"
"3","1,114","Cranky Greinkes","1,114"
"4","1,077","Ronnie WOOOS","1,077"
"5","1,039","Portland Gnashers","1,039"
"6","1,036","Chris Davis K's","1,036"
"7","1,031","Washington U.L.'s","1,031"
"8","1,025","Cap Anson's Colts","1,025"
"9","1,009","The Great Colorado FLOOD 2013","1,009"
"10","994","El Hombre","994"
"11","985","Swinging for Steel","985"
"12","936","The Loners, Dottie, The Rebels","936"

"Balks"
"Rk","FPts","Team","BK"
"1","-1","Swinging for Steel","1"
"2","-2","Ronnie WOOOS","2"
"2","-2","Urine, You're Out!!","2"
"4","-3","Cap Anson's Colts","3"
"4","-3","Cranky Greinkes","3"
"4","-3","Portland Gnashers","3"
"4","-3","The Great Colorado FLOOD 2013","3"
"4","-3","The Loners, Dottie, The Rebels","3"
"4","-3","Washington U.L.'s","3"
"10","-4","Chris Davis K's","4"
"10","-4","Nashotah Millers","4"
"12","-6","El Hombre","6"

"Wild Pitches"
"Rk","FPts","Team","WP"
"1","-28","Portland Gnashers","28"
"2","-29","Swinging for Steel","29"
"3","-32","Chris Davis K's","32"
"4","-36","Cap Anson's Colts","36"
"5","-37","Ronnie WOOOS","37"
"6","-38","Nashotah Millers","38"
"6","-38","Urine, You're Out!!","38"
"6","-38","Washington U.L.'s","38"
"9","-40","The Loners, Dottie, The Rebels","40"
"10","-43","The Great Colorado FLOOD 2013","43"
"11","-45","Cranky Greinkes","45"
"11","-45","El Hombre","45"

"Hit Batsmen"
"Rk","FPts","Team","HB"
"1","-26","The Great Colorado FLOOD 2013","26"
"1","-26","Washington U.L.'s","26"
"3","-28","Urine, You're Out!!","28"
"4","-30","Portland Gnashers","30"
"4","-30","Swinging for Steel","30"
"6","-31","Chris Davis K's","31"
"7","-36","Cap Anson's Colts","36"
"8","-41","Nashotah Millers","41"
"9","-42","Ronnie WOOOS","42"
"10","-44","The Loners, Dottie, The Rebels","44"
"11","-48","Cranky Greinkes","48"
"12","-51","El Hombre","51"

"Shutouts"
"Rk","FPts","Team","SHO"
"1","70","Nashotah Millers","7"
"2","40","Washington U.L.'s","4"
"3","30","Cap Anson's Colts","3"
"3","30","Portland Gnashers","3"
"3","30","Swinging for Steel","3"
"3","30","The Great Colorado FLOOD 2013","3"
"3","30","Urine, You're Out!!","3"
"8","20","Cranky Greinkes","2"
"8","20","El Hombre","2"
"8","20","Ronnie WOOOS","2"
"8","20","The Loners, Dottie, The Rebels","2"
"12","10","Chris Davis K's","1"

"No Hitters"
"Rk","FPts","Team","NH"
