"Standings"
"Rk","Team","FPts","FP/G","GP","Hit","Pit","WW","PBL"
"1","Portland Gnashers","8,255","4.33","1905","3,863","4,392","12","0"
"2","Urine, You're Out!!","8,157","4.24","1922","3,918","4,239","10","98"
"3","I Did It All For The Mookie","8,043","4.22","1907","3,921","4,122","6","212"
"4","Spitting Minions","7,908","4.14","1910","3,578","4,330","1","347"
"5","Don't mess with the bull","7,623","4.05","1883","3,937","3,686","5","632"
"6","Ronnie WOOOS","7,534","3.97","1898","3,787","3,747","11","721"
"7","XXXXX","7,482","3.98","1878","3,604","3,878","2","773"
"8","Cap Anson's Colts","7,258","3.88","1873","3,415","3,843","4","997"
"9","Klubot 5000","7,033","3.69","1906","3,594","3,439","9","1,222"
"10","The Loners, Dottie, The Rebels","6,966","3.71","1879","3,406","3,560","3","1,289"
"11","Swinging for Steel","6,893","3.64","1893","3,583","3,310","8","1,362"
"12","Oconomowoc Millers","6,098","3.57","1708","3,149","2,949","7","2,157"

"Standings - Points - Hitting"
"Rk","Team","FPts","H","R","2B","3B","HR","RBI","BB","SO","SB","CS","HBP","SH","SF","GIDP","CYC","E","AOF"
"1","Don't mess with the bull","3,937","1,612","863","313","68","618","771","708","-1,193","312","-54","50","10","48","-146","0","-69","26"
"2","I Did It All For The Mookie","3,921","1,668","876","326","72","741","826","580","-1,255","158","-27","55","6","48","-130","0","-56","33"
"3","Urine, You're Out!!","3,918","1,678","855","335","70","642","822","558","-1,193","232","-41","76","10","56","-151","5","-66","30"
"4","Portland Gnashers","3,863","1,601","820","304","66","636","807","636","-1,138","222","-40","65","15","43","-125","0","-83","34"
"5","Ronnie WOOOS","3,787","1,692","826","321","54","639","819","583","-1,223","210","-42","47","8","53","-144","0","-89","33"
"6","XXXXX","3,604","1,481","795","309","42","816","827","593","-1,299","148","-38","64","6","52","-157","0","-73","38"
"7","Klubot 5000","3,594","1,560","813","320","72","582","818","584","-1,224","166","-27","74","16","62","-161","0","-90","29"
"8","Swinging for Steel","3,583","1,601","873","301","76","600","752","561","-1,312","262","-49","66","16","41","-141","0","-89","25"
"9","Spitting Minions","3,578","1,562","785","304","62","648","809","437","-1,193","246","-47","54","20","53","-160","0","-56","54"
"10","Cap Anson's Colts","3,415","1,619","754","311","66","513","715","485","-1,195","284","-55","55","16","51","-141","5","-95","27"
"11","The Loners, Dottie, The Rebels","3,406","1,465","808","302","64","588","727","575","-1,245","212","-49","77","9","37","-124","0","-80","40"
"12","Oconomowoc Millers","3,149","1,428","696","275","58","489","682","467","-1,012","138","-29","57","24","54","-122","0","-78","22"

"Standings - Points - Pitching"
"Rk","Team","FPts","IP","W","L","SV","BS","CG","H","ER","BB","K","BK","WP","HB","SHO","NH","PG","E"
"1","Portland Gnashers","4,392","3,539","840","-275","860","-50","40","-1,056","-400","-289","1,182","-3","-33","-39","40","40","0","-4"
"2","Spitting Minions","4,330","3,531","860","-265","920","-30","40","-1,028","-402","-293","1,060","-1","-41","-53","40","0","0","-8"
"3","Urine, You're Out!!","4,239","3,418","800","-285","840","-55","15","-967","-431","-294","1,262","-1","-39","-33","10","0","0","-1"
"4","I Did It All For The Mookie","4,122","3,572","810","-285","760","-55","45","-1,053","-435","-304","1,099","-5","-45","-28","50","0","0","-4"
"5","XXXXX","3,878","3,455","680","-310","590","-45","40","-997","-362","-325","1,188","-8","-51","-27","60","0","0","-10"
"6","Cap Anson's Colts","3,843","3,356","710","-230","670","-35","25","-981","-403","-321","1,075","-5","-31","-38","40","20","0","-9"
"7","Ronnie WOOOS","3,747","3,395","760","-305","910","-65","25","-1,108","-453","-300","955","-1","-38","-34","10","0","0","-4"
"8","Don't mess with the bull","3,686","3,395","710","-300","740","-50","20","-1,044","-458","-327","1,048","-5","-39","-39","20","20","0","-5"
"9","The Loners, Dottie, The Rebels","3,560","3,291","630","-325","750","-20","15","-967","-443","-331","1,026","-4","-37","-29","10","0","0","-6"
"10","Klubot 5000","3,439","3,446","670","-350","630","-70","25","-1,070","-487","-319","1,034","-2","-25","-48","10","0","0","-5"
"11","Swinging for Steel","3,310","3,358","660","-340","700","-55","25","-1,100","-509","-326","953","-4","-43","-38","30","0","0","-1"
"12","Oconomowoc Millers","2,949","3,019","530","-325","790","-40","5","-986","-496","-359","909","-2","-49","-46","0","0","0","-1"

"Standings - Statistics - Hitting"
"Rk","Team","FPts","GP","H","R","2B","3B","HR","RBI","BB","SO","SB","CS","HBP","SH","SF","GIDP","CYC","E","AOF"
"1","Don't mess with the bull","3,937","","1,612","863","313","34","206","771","708","1,193","156","54","50","10","48","146","0","69","26"
"2","I Did It All For The Mookie","3,921","","1,668","876","326","36","247","826","580","1,255","79","27","55","6","48","130","0","56","33"
"3","Urine, You're Out!!","3,918","","1,678","855","335","35","214","822","558","1,193","116","41","76","10","56","151","1","66","30"
"4","Portland Gnashers","3,863","","1,601","820","304","33","212","807","636","1,138","111","40","65","15","43","125","0","83","34"
"5","Ronnie WOOOS","3,787","","1,692","826","321","27","213","819","583","1,223","105","42","47","8","53","144","0","89","33"
"6","XXXXX","3,604","","1,481","795","309","21","272","827","593","1,299","74","38","64","6","52","157","0","73","38"
"7","Klubot 5000","3,594","","1,560","813","320","36","194","818","584","1,224","83","27","74","16","62","161","0","90","29"
"8","Swinging for Steel","3,583","","1,601","873","301","38","200","752","561","1,312","131","49","66","16","41","141","0","89","25"
"9","Spitting Minions","3,578","","1,562","785","304","31","216","809","437","1,193","123","47","54","20","53","160","0","56","54"
"10","Cap Anson's Colts","3,415","","1,619","754","311","33","171","715","485","1,195","142","55","55","16","51","141","1","95","27"
"11","The Loners, Dottie, The Rebels","3,406","","1,465","808","302","32","196","727","575","1,245","106","49","77","9","37","124","0","80","40"
"12","Oconomowoc Millers","3,149","","1,428","696","275","29","163","682","467","1,012","69","29","57","24","54","122","0","78","22"

"Standings - Statistics - Pitching"
"Rk","Team","FPts","GP","IP","W","L","SV","BS","CG","H","ER","BB","K","BK","WP","HB","SHO","NH","PG","E"
"1","Portland Gnashers","4,392","","1,179.2","84","55","86","10","8","1,056","400","289","1,182","3","33","39","4","2","0","4"
"2","Spitting Minions","4,330","","1,177","86","53","92","6","8","1,028","402","293","1,060","1","41","53","4","0","0","8"
"3","Urine, You're Out!!","4,239","","1,139.1","80","57","84","11","3","967","431","294","1,262","1","39","33","1","0","0","1"
"4","I Did It All For The Mookie","4,122","","1,190.2","81","57","76","11","9","1,053","435","304","1,099","5","45","28","5","0","0","4"
"5","XXXXX","3,878","","1,151.2","68","62","59","9","8","997","362","325","1,188","8","51","27","6","0","0","10"
"6","Cap Anson's Colts","3,843","","1,118.2","71","46","67","7","5","981","403","321","1,075","5","31","38","4","1","0","9"
"7","Ronnie WOOOS","3,747","","1,131.2","76","61","91","13","5","1,108","453","300","955","1","38","34","1","0","0","4"
"8","Don't mess with the bull","3,686","","1,131.2","71","60","74","10","4","1,044","458","327","1,048","5","39","39","2","1","0","5"
"9","The Loners, Dottie, The Rebels","3,560","","1,097","63","65","75","4","3","967","443","331","1,026","4","37","29","1","0","0","6"
"10","Klubot 5000","3,439","","1,148.2","67","70","63","14","5","1,070","487","319","1,034","2","25","48","1","0","0","5"
"11","Swinging for Steel","3,310","","1,119.1","66","68","70","11","5","1,100","509","326","953","4","43","38","3","0","0","1"
"12","Oconomowoc Millers","2,949","","1,006.1","53","65","79","8","1","986","496","359","909","2","49","46","0","0","0","1"

"Innings Pitched"
"Rk","FPts","Team","IP"
"1","3,572","I Did It All For The Mookie","1,190.2"
"2","3,539","Portland Gnashers","1,179.2"
"3","3,531","Spitting Minions","1,177"
"4","3,455","XXXXX","1,151.2"
"5","3,446","Klubot 5000","1,148.2"
"6","3,418","Urine, You're Out!!","1,139.1"
"7","3,395","Ronnie WOOOS","1,131.2"
"8","3,395","Don't mess with the bull","1,131.2"
"9","3,358","Swinging for Steel","1,119.1"
"10","3,356","Cap Anson's Colts","1,118.2"
"11","3,291","The Loners, Dottie, The Rebels","1,097"
"12","3,019","Oconomowoc Millers","1,006.1"

"Wins"
"Rk","FPts","Team","W"
"1","860","Spitting Minions","86"
"2","840","Portland Gnashers","84"
"3","810","I Did It All For The Mookie","81"
"4","800","Urine, You're Out!!","80"
"5","760","Ronnie WOOOS","76"
"6","710","Cap Anson's Colts","71"
"6","710","Don't mess with the bull","71"
"8","680","XXXXX","68"
"9","670","Klubot 5000","67"
"10","660","Swinging for Steel","66"
"11","630","The Loners, Dottie, The Rebels","63"
"12","530","Oconomowoc Millers","53"

"Losses"
"Rk","FPts","Team","L"
"1","-230","Cap Anson's Colts","46"
"2","-265","Spitting Minions","53"
"3","-275","Portland Gnashers","55"
"4","-285","I Did It All For The Mookie","57"
"4","-285","Urine, You're Out!!","57"
"6","-300","Don't mess with the bull","60"
"7","-305","Ronnie WOOOS","61"
"8","-310","XXXXX","62"
"9","-325","Oconomowoc Millers","65"
"9","-325","The Loners, Dottie, The Rebels","65"
"11","-340","Swinging for Steel","68"
"12","-350","Klubot 5000","70"

"Saves"
"Rk","FPts","Team","SV"
"1","920","Spitting Minions","92"
"2","910","Ronnie WOOOS","91"
"3","860","Portland Gnashers","86"
"4","840","Urine, You're Out!!","84"
"5","790","Oconomowoc Millers","79"
"6","760","I Did It All For The Mookie","76"
"7","750","The Loners, Dottie, The Rebels","75"
"8","740","Don't mess with the bull","74"
"9","700","Swinging for Steel","70"
"10","670","Cap Anson's Colts","67"
"11","630","Klubot 5000","63"
"12","590","XXXXX","59"

"Blown Saves"
"Rk","FPts","Team","BS"
"1","-20","The Loners, Dottie, The Rebels","4"
"2","-30","Spitting Minions","6"
"3","-35","Cap Anson's Colts","7"
"4","-40","Oconomowoc Millers","8"
"5","-45","XXXXX","9"
"6","-50","Don't mess with the bull","10"
"6","-50","Portland Gnashers","10"
"8","-55","I Did It All For The Mookie","11"
"8","-55","Swinging for Steel","11"
"8","-55","Urine, You're Out!!","11"
"11","-65","Ronnie WOOOS","13"
"12","-70","Klubot 5000","14"

"Complete Games"
"Rk","FPts","Team","CG"
"1","45","I Did It All For The Mookie","9"
"2","40","Portland Gnashers","8"
"2","40","Spitting Minions","8"
"2","40","XXXXX","8"
"5","25","Cap Anson's Colts","5"
"5","25","Klubot 5000","5"
"5","25","Ronnie WOOOS","5"
"5","25","Swinging for Steel","5"
"9","20","Don't mess with the bull","4"
"10","15","The Loners, Dottie, The Rebels","3"
"10","15","Urine, You're Out!!","3"
"12","5","Oconomowoc Millers","1"

"Hits Allowed"
"Rk","FPts","Team","H"
"1","-967","The Loners, Dottie, The Rebels","967"
"1","-967","Urine, You're Out!!","967"
"3","-981","Cap Anson's Colts","981"
"4","-986","Oconomowoc Millers","986"
"5","-997","XXXXX","997"
"6","-1,028","Spitting Minions","1,028"
"7","-1,044","Don't mess with the bull","1,044"
"8","-1,053","I Did It All For The Mookie","1,053"
"9","-1,056","Portland Gnashers","1,056"
"10","-1,070","Klubot 5000","1,070"
"11","-1,100","Swinging for Steel","1,100"
"12","-1,108","Ronnie WOOOS","1,108"

"Earned Runs Allowed"
"Rk","FPts","Team","ER"
"1","-362","XXXXX","362"
"2","-400","Portland Gnashers","400"
"3","-402","Spitting Minions","402"
"4","-403","Cap Anson's Colts","403"
"5","-431","Urine, You're Out!!","431"
"6","-435","I Did It All For The Mookie","435"
"7","-443","The Loners, Dottie, The Rebels","443"
"8","-453","Ronnie WOOOS","453"
"9","-458","Don't mess with the bull","458"
"10","-487","Klubot 5000","487"
"11","-496","Oconomowoc Millers","496"
"12","-509","Swinging for Steel","509"

"Walks Allowed"
"Rk","FPts","Team","BB"
"1","-289","Portland Gnashers","289"
"2","-293","Spitting Minions","293"
"3","-294","Urine, You're Out!!","294"
"4","-300","Ronnie WOOOS","300"
"5","-304","I Did It All For The Mookie","304"
"6","-319","Klubot 5000","319"
"7","-321","Cap Anson's Colts","321"
"8","-325","XXXXX","325"
"9","-326","Swinging for Steel","326"
"10","-327","Don't mess with the bull","327"
"11","-331","The Loners, Dottie, The Rebels","331"
"12","-359","Oconomowoc Millers","359"

"Strikeouts Pitched"
"Rk","FPts","Team","K"
"1","1,262","Urine, You're Out!!","1,262"
"2","1,188","XXXXX","1,188"
"3","1,182","Portland Gnashers","1,182"
"4","1,099","I Did It All For The Mookie","1,099"
"5","1,075","Cap Anson's Colts","1,075"
"6","1,060","Spitting Minions","1,060"
"7","1,048","Don't mess with the bull","1,048"
"8","1,034","Klubot 5000","1,034"
"9","1,026","The Loners, Dottie, The Rebels","1,026"
"10","955","Ronnie WOOOS","955"
"11","953","Swinging for Steel","953"
"12","909","Oconomowoc Millers","909"

"Balks"
"Rk","FPts","Team","BK"
"1","-1","Ronnie WOOOS","1"
"1","-1","Spitting Minions","1"
"1","-1","Urine, You're Out!!","1"
"4","-2","Klubot 5000","2"
"4","-2","Oconomowoc Millers","2"
"6","-3","Portland Gnashers","3"
"7","-4","Swinging for Steel","4"
"7","-4","The Loners, Dottie, The Rebels","4"
"9","-5","Cap Anson's Colts","5"
"9","-5","Don't mess with the bull","5"
"9","-5","I Did It All For The Mookie","5"
"12","-8","XXXXX","8"

"Wild Pitches"
"Rk","FPts","Team","WP"
"1","-25","Klubot 5000","25"
"2","-31","Cap Anson's Colts","31"
"3","-33","Portland Gnashers","33"
"4","-37","The Loners, Dottie, The Rebels","37"
"5","-38","Ronnie WOOOS","38"
"6","-39","Don't mess with the bull","39"
"6","-39","Urine, You're Out!!","39"
"8","-41","Spitting Minions","41"
"9","-43","Swinging for Steel","43"
"10","-45","I Did It All For The Mookie","45"
"11","-49","Oconomowoc Millers","49"
"12","-51","XXXXX","51"

"Hit Batsmen"
"Rk","FPts","Team","HB"
"1","-27","XXXXX","27"
"2","-28","I Did It All For The Mookie","28"
"3","-29","The Loners, Dottie, The Rebels","29"
"4","-33","Urine, You're Out!!","33"
"5","-34","Ronnie WOOOS","34"
"6","-38","Cap Anson's Colts","38"
"6","-38","Swinging for Steel","38"
"8","-39","Don't mess with the bull","39"
"8","-39","Portland Gnashers","39"
"10","-46","Oconomowoc Millers","46"
"11","-48","Klubot 5000","48"
"12","-53","Spitting Minions","53"

"Shutouts"
"Rk","FPts","Team","SHO"
"1","60","XXXXX","6"
"2","50","I Did It All For The Mookie","5"
"3","40","Cap Anson's Colts","4"
"3","40","Portland Gnashers","4"
"3","40","Spitting Minions","4"
"6","30","Swinging for Steel","3"
"7","20","Don't mess with the bull","2"
"8","10","Klubot 5000","1"
"8","10","Ronnie WOOOS","1"
"8","10","The Loners, Dottie, The Rebels","1"
"8","10","Urine, You're Out!!","1"
"12","0","Oconomowoc Millers","0"

"No Hitters"
"Rk","FPts","Team","NH"
"1","40","Portland Gnashers","2"
"2","20","Cap Anson's Colts","1"
"2","20","Don't mess with the bull","1"
"4","0","I Did It All For The Mookie","0"
"4","0","Klubot 5000","0"
"4","0","Oconomowoc Millers","0"
