"Standings"
"Rk","Team","FPts","FP/G","GP","Hit","Pit","WW","PBL"
"1","Ronnie WOOOS","8,613","4.52","1906","4,231","4,382","6","0"
"2","The Alamo Basements","7,981","4.2","1898","4,270","3,711","8","632"
"3","Urine, You're Out!!","7,896","4.13","1912","3,968","3,928","11","717"
"4","Swinging for Steel","7,769","4.07","1909","3,876","3,893","5","844"
"5","Fort Collins Micro-Brewers","7,537","4.08","1849","3,905","3,632","4","1,076"
"6","Dee's Nuts","7,386","3.85","1919","3,680","3,706","2","1,227"
"7","Edmund Madison Muskies","7,202","3.76","1914","3,795","3,407","7","1,411"
"8","Hakuna Machado","7,192","3.86","1864","4,087","3,105","1","1,421"
"9","Portland Gnashers","7,152","3.89","1840","3,493","3,659","12","1,461"
"10","Mad Mad Minions","7,086","3.69","1918","3,712","3,374","10","1,527"
"11","Oconomowoc Millers","6,674","3.68","1815","3,592","3,082","9","1,939"
"12","Cap Anson's Colts","5,923","3.63","1633","2,834","3,089","3","2,690"

"Standings - Points - Hitting"
"Rk","Team","FPts","H","R","2B","3B","HR","RBI","BB","SO","SB","CS","HBP","SH","SF","GIDP","CYC","E","AOF"
"1","The Alamo Basements","4,270","1,734","950","317","72","792","896","652","-1,231","186","-35","58","1","43","-132","0","-74","41"
"2","Ronnie WOOOS","4,231","1,624","863","358","52","774","982","769","-1,192","110","-25","48","5","59","-167","0","-51","22"
"3","Hakuna Machado","4,087","1,652","895","319","50","813","891","577","-1,263","314","-55","54","4","42","-140","0","-99","33"
"4","Urine, You're Out!!","3,968","1,642","861","292","62","822","930","601","-1,335","208","-37","56","10","48","-149","0","-82","39"
"5","Fort Collins Micro-Brewers","3,905","1,560","853","343","68","750","878","570","-1,349","296","-48","77","16","47","-122","0","-76","42"
"6","Swinging for Steel","3,876","1,584","929","308","64","846","874","653","-1,422","148","-26","72","11","40","-135","0","-81","11"
"7","Edmund Madison Muskies","3,795","1,644","856","312","70","660","815","597","-1,274","200","-46","66","19","48","-120","0","-85","33"
"8","Mad Mad Minions","3,712","1,602","847","309","84","702","828","548","-1,321","240","-49","61","11","52","-130","0","-97","25"
"9","Dee's Nuts","3,680","1,631","837","318","94","624","756","585","-1,312","248","-38","49","8","57","-133","0","-79","35"
"10","Oconomowoc Millers","3,592","1,586","819","305","68","654","791","535","-1,234","108","-29","81","10","55","-115","0","-80","38"
"11","Portland Gnashers","3,493","1,531","829","305","76","633","761","539","-1,299","236","-36","42","24","44","-133","0","-90","31"
"12","Cap Anson's Colts","2,834","1,315","662","240","30","498","619","452","-1,015","154","-25","48","5","33","-131","0","-75","24"

"Standings - Points - Pitching"
"Rk","Team","FPts","IP","W","L","SV","BS","CG","H","ER","BB","K","BK","WP","HB","SHO","NH","PG","E"
"1","Ronnie WOOOS","4,382","3,526","840","-220","890","-35","50","-1,056","-446","-260","1,139","-2","-31","-29","20","0","0","-4"
"2","Urine, You're Out!!","3,928","3,369","640","-275","860","-30","30","-1,041","-412","-298","1,129","-3","-36","-29","30","0","0","-6"
"3","Swinging for Steel","3,893","3,332","850","-300","810","-95","25","-981","-425","-363","1,109","-4","-38","-41","20","0","0","-6"
"4","The Alamo Basements","3,711","3,351","750","-315","690","-45","35","-1,026","-454","-338","1,156","-1","-46","-51","10","0","0","-5"
"5","Dee's Nuts","3,706","3,372","750","-245","610","-35","25","-1,009","-443","-302","1,047","-3","-48","-43","30","0","0","0"
"6","Portland Gnashers","3,659","3,272","660","-255","830","-60","5","-1,004","-454","-312","1,061","-1","-45","-35","0","0","0","-3"
"7","Fort Collins Micro-Brewers","3,632","3,016","680","-275","850","-30","45","-931","-395","-274","980","-6","-42","-22","40","0","0","-4"
"8","Edmund Madison Muskies","3,407","3,320","690","-295","620","-50","20","-1,080","-472","-325","1,059","-5","-45","-35","10","0","0","-5"
"9","Mad Mad Minions","3,374","3,214","610","-360","810","-50","15","-1,010","-452","-364","1,044","-5","-50","-40","20","0","0","-8"
"10","Hakuna Machado","3,105","3,236","670","-360","690","-70","5","-1,037","-487","-408","948","-5","-41","-43","10","0","0","-3"
"11","Cap Anson's Colts","3,089","3,076","700","-265","500","-85","10","-964","-448","-332","948","-5","-48","-34","20","20","0","-4"
"12","Oconomowoc Millers","3,082","3,092","580","-330","650","-50","5","-977","-476","-313","973","-4","-22","-36","0","0","0","-10"

"Standings - Statistics - Hitting"
"Rk","Team","FPts","GP","H","R","2B","3B","HR","RBI","BB","SO","SB","CS","HBP","SH","SF","GIDP","CYC","E","AOF"
"1","The Alamo Basements","4,270","","1,734","950","317","36","264","896","652","1,231","93","35","58","1","43","132","0","74","41"
"2","Ronnie WOOOS","4,231","","1,624","863","358","26","258","982","769","1,192","55","25","48","5","59","167","0","51","22"
"3","Hakuna Machado","4,087","","1,652","895","319","25","271","891","577","1,263","157","55","54","4","42","140","0","99","33"
"4","Urine, You're Out!!","3,968","","1,642","861","292","31","274","930","601","1,335","104","37","56","10","48","149","0","82","39"
"5","Fort Collins Micro-Brewers","3,905","","1,560","853","343","34","250","878","570","1,349","148","48","77","16","47","122","0","76","42"
"6","Swinging for Steel","3,876","","1,584","929","308","32","282","874","653","1,422","74","26","72","11","40","135","0","81","11"
"7","Edmund Madison Muskies","3,795","","1,644","856","312","35","220","815","597","1,274","100","46","66","19","48","120","0","85","33"
"8","Mad Mad Minions","3,712","","1,602","847","309","42","234","828","548","1,321","120","49","61","11","52","130","0","97","25"
"9","Dee's Nuts","3,680","","1,631","837","318","47","208","756","585","1,312","124","38","49","8","57","133","0","79","35"
"10","Oconomowoc Millers","3,592","","1,586","819","305","34","218","791","535","1,234","54","29","81","10","55","115","0","80","38"
"11","Portland Gnashers","3,493","","1,531","829","305","38","211","761","539","1,299","118","36","42","24","44","133","0","90","31"
"12","Cap Anson's Colts","2,834","","1,315","662","240","15","166","619","452","1,015","77","25","48","5","33","131","0","75","24"

"Standings - Statistics - Pitching"
"Rk","Team","FPts","GP","IP","W","L","SV","BS","CG","H","ER","BB","K","BK","WP","HB","SHO","NH","PG","E"
"1","Ronnie WOOOS","4,382","","1,175.1","84","44","89","7","10","1,056","446","260","1,139","2","31","29","2","0","0","4"
"2","Urine, You're Out!!","3,928","","1,123","64","55","86","6","6","1,041","412","298","1,129","3","36","29","3","0","0","6"
"3","Swinging for Steel","3,893","","1,110.2","85","60","81","19","5","981","425","363","1,109","4","38","41","2","0","0","6"
"4","The Alamo Basements","3,711","","1,117","75","63","69","9","7","1,026","454","338","1,156","1","46","51","1","0","0","5"
"5","Dee's Nuts","3,706","","1,124","75","49","61","7","5","1,009","443","302","1,047","3","48","43","3","0","0","0"
"6","Portland Gnashers","3,659","","1,090.2","66","51","83","12","1","1,004","454","312","1,061","1","45","35","0","0","0","3"
"7","Fort Collins Micro-Brewers","3,632","","1,005.1","68","55","85","6","9","931","395","274","980","6","42","22","4","0","0","4"
"8","Edmund Madison Muskies","3,407","","1,106.2","69","59","62","10","4","1,080","472","325","1,059","5","45","35","1","0","0","5"
"9","Mad Mad Minions","3,374","","1,071.1","61","72","81","10","3","1,010","452","364","1,044","5","50","40","2","0","0","8"
"10","Hakuna Machado","3,105","","1,078.2","67","72","69","14","1","1,037","487","408","948","5","41","43","1","0","0","3"
"11","Cap Anson's Colts","3,089","","1,025.1","70","53","50","17","2","964","448","332","948","5","48","34","2","1","0","4"
"12","Oconomowoc Millers","3,082","","1,030.2","58","66","65","10","1","977","476","313","973","4","22","36","0","0","0","10"

"Innings Pitched"
"Rk","FPts","Team","IP"
"1","3,526","Ronnie WOOOS","1,175.1"
"2","3,372","Dee's Nuts","1,124"
"3","3,369","Urine, You're Out!!","1,123"
"4","3,351","The Alamo Basements","1,117"
"5","3,332","Swinging for Steel","1,110.2"
"6","3,320","Edmund Madison Muskies","1,106.2"
"7","3,272","Portland Gnashers","1,090.2"
"8","3,236","Hakuna Machado","1,078.2"
"9","3,214","Mad Mad Minions","1,071.1"
"10","3,092","Oconomowoc Millers","1,030.2"
"11","3,076","Cap Anson's Colts","1,025.1"
"12","3,016","Fort Collins Micro-Brewers","1,005.1"

"Wins"
"Rk","FPts","Team","W"
"1","850","Swinging for Steel","85"
"2","840","Ronnie WOOOS","84"
"3","750","Dee's Nuts","75"
"3","750","The Alamo Basements","75"
"5","700","Cap Anson's Colts","70"
"6","690","Edmund Madison Muskies","69"
"7","680","Fort Collins Micro-Brewers","68"
"8","670","Hakuna Machado","67"
"9","660","Portland Gnashers","66"
"10","640","Urine, You're Out!!","64"
"11","610","Mad Mad Minions","61"
"12","580","Oconomowoc Millers","58"

"Losses"
"Rk","FPts","Team","L"
"1","-220","Ronnie WOOOS","44"
"2","-245","Dee's Nuts","49"
"3","-255","Portland Gnashers","51"
"4","-265","Cap Anson's Colts","53"
"5","-275","Fort Collins Micro-Brewers","55"
"5","-275","Urine, You're Out!!","55"
"7","-295","Edmund Madison Muskies","59"
"8","-300","Swinging for Steel","60"
"9","-315","The Alamo Basements","63"
"10","-330","Oconomowoc Millers","66"
"11","-360","Hakuna Machado","72"
"11","-360","Mad Mad Minions","72"

"Saves"
"Rk","FPts","Team","SV"
"1","890","Ronnie WOOOS","89"
"2","860","Urine, You're Out!!","86"
"3","850","Fort Collins Micro-Brewers","85"
"4","830","Portland Gnashers","83"
"5","810","Mad Mad Minions","81"
"5","810","Swinging for Steel","81"
"7","690","Hakuna Machado","69"
"7","690","The Alamo Basements","69"
"9","650","Oconomowoc Millers","65"
"10","620","Edmund Madison Muskies","62"
"11","610","Dee's Nuts","61"
"12","500","Cap Anson's Colts","50"

"Blown Saves"
"Rk","FPts","Team","BS"
"1","-30","Fort Collins Micro-Brewers","6"
"1","-30","Urine, You're Out!!","6"
"3","-35","Dee's Nuts","7"
"3","-35","Ronnie WOOOS","7"
"5","-45","The Alamo Basements","9"
"6","-50","Edmund Madison Muskies","10"
"6","-50","Mad Mad Minions","10"
"6","-50","Oconomowoc Millers","10"
"9","-60","Portland Gnashers","12"
"10","-70","Hakuna Machado","14"
"11","-85","Cap Anson's Colts","17"
"12","-95","Swinging for Steel","19"

"Complete Games"
"Rk","FPts","Team","CG"
"1","50","Ronnie WOOOS","10"
"2","45","Fort Collins Micro-Brewers","9"
"3","35","The Alamo Basements","7"
"4","30","Urine, You're Out!!","6"
"5","25","Dee's Nuts","5"
"5","25","Swinging for Steel","5"
"7","20","Edmund Madison Muskies","4"
"8","15","Mad Mad Minions","3"
"9","10","Cap Anson's Colts","2"
"10","5","Hakuna Machado","1"
"10","5","Oconomowoc Millers","1"
"10","5","Portland Gnashers","1"

"Hits Allowed"
"Rk","FPts","Team","H"
"1","-931","Fort Collins Micro-Brewers","931"
"2","-964","Cap Anson's Colts","964"
"3","-977","Oconomowoc Millers","977"
"4","-981","Swinging for Steel","981"
"5","-1,004","Portland Gnashers","1,004"
"6","-1,009","Dee's Nuts","1,009"
"7","-1,010","Mad Mad Minions","1,010"
"8","-1,026","The Alamo Basements","1,026"
"9","-1,037","Hakuna Machado","1,037"
"10","-1,041","Urine, You're Out!!","1,041"
"11","-1,056","Ronnie WOOOS","1,056"
"12","-1,080","Edmund Madison Muskies","1,080"

"Earned Runs Allowed"
"Rk","FPts","Team","ER"
"1","-395","Fort Collins Micro-Brewers","395"
"2","-412","Urine, You're Out!!","412"
"3","-425","Swinging for Steel","425"
"4","-443","Dee's Nuts","443"
"5","-446","Ronnie WOOOS","446"
"6","-448","Cap Anson's Colts","448"
"7","-452","Mad Mad Minions","452"
"8","-454","Portland Gnashers","454"
"8","-454","The Alamo Basements","454"
"10","-472","Edmund Madison Muskies","472"
"11","-476","Oconomowoc Millers","476"
"12","-487","Hakuna Machado","487"

"Walks Allowed"
"Rk","FPts","Team","BB"
"1","-260","Ronnie WOOOS","260"
"2","-274","Fort Collins Micro-Brewers","274"
"3","-298","Urine, You're Out!!","298"
"4","-302","Dee's Nuts","302"
"5","-312","Portland Gnashers","312"
"6","-313","Oconomowoc Millers","313"
"7","-325","Edmund Madison Muskies","325"
"8","-332","Cap Anson's Colts","332"
"9","-338","The Alamo Basements","338"
"10","-363","Swinging for Steel","363"
"11","-364","Mad Mad Minions","364"
"12","-408","Hakuna Machado","408"

"Strikeouts Pitched"
"Rk","FPts","Team","K"
"1","1,156","The Alamo Basements","1,156"
"2","1,139","Ronnie WOOOS","1,139"
"3","1,129","Urine, You're Out!!","1,129"
"4","1,109","Swinging for Steel","1,109"
"5","1,061","Portland Gnashers","1,061"
"6","1,059","Edmund Madison Muskies","1,059"
"7","1,047","Dee's Nuts","1,047"
"8","1,044","Mad Mad Minions","1,044"
"9","980","Fort Collins Micro-Brewers","980"
"10","973","Oconomowoc Millers","973"
"11","948","Cap Anson's Colts","948"
"11","948","Hakuna Machado","948"

"Balks"
"Rk","FPts","Team","BK"
"1","-1","Portland Gnashers","1"
"1","-1","The Alamo Basements","1"
"3","-2","Ronnie WOOOS","2"
"4","-3","Dee's Nuts","3"
"4","-3","Urine, You're Out!!","3"
"6","-4","Oconomowoc Millers","4"
"6","-4","Swinging for Steel","4"
"8","-5","Cap Anson's Colts","5"
"8","-5","Edmund Madison Muskies","5"
"8","-5","Hakuna Machado","5"
"8","-5","Mad Mad Minions","5"
"12","-6","Fort Collins Micro-Brewers","6"

"Wild Pitches"
"Rk","FPts","Team","WP"
"1","-22","Oconomowoc Millers","22"
"2","-31","Ronnie WOOOS","31"
"3","-36","Urine, You're Out!!","36"
"4","-38","Swinging for Steel","38"
"5","-41","Hakuna Machado","41"
"6","-42","Fort Collins Micro-Brewers","42"
"7","-45","Edmund Madison Muskies","45"
"7","-45","Portland Gnashers","45"
"9","-46","The Alamo Basements","46"
"10","-48","Cap Anson's Colts","48"
"10","-48","Dee's Nuts","48"
"12","-50","Mad Mad Minions","50"

"Hit Batsmen"
"Rk","FPts","Team","HB"
"1","-22","Fort Collins Micro-Brewers","22"
"2","-29","Ronnie WOOOS","29"
"2","-29","Urine, You're Out!!","29"
"4","-34","Cap Anson's Colts","34"
"5","-35","Edmund Madison Muskies","35"
"5","-35","Portland Gnashers","35"
"7","-36","Oconomowoc Millers","36"
"8","-40","Mad Mad Minions","40"
"9","-41","Swinging for Steel","41"
"10","-43","Dee's Nuts","43"
"10","-43","Hakuna Machado","43"
"12","-51","The Alamo Basements","51"

"Shutouts"
"Rk","FPts","Team","SHO"
"1","40","Fort Collins Micro-Brewers","4"
"2","30","Dee's Nuts","3"
"2","30","Urine, You're Out!!","3"
"4","20","Cap Anson's Colts","2"
"4","20","Mad Mad Minions","2"
"4","20","Ronnie WOOOS","2"
"4","20","Swinging for Steel","2"
"8","10","Edmund Madison Muskies","1"
"8","10","Hakuna Machado","1"
"8","10","The Alamo Basements","1"
"11","0","Oconomowoc Millers","0"
"11","0","Portland Gnashers","0"

"No Hitters"
"Rk","FPts","Team","NH"
"1","20","Cap Anson's Colts","1"
"2","0","Dee's Nuts","0"
"2","0","Edmund Madison Muskies","0"
"2","0","Fort Collins Micro-Brewers","0"
