"Standings"
"Rk","Team","FPts","FP/G","GP","Hit","Pit","WW","PBL"
"1","Mad Mad Minions","8,271","4.39","1886","4,130","4,141","4","0"
"2","Portland Gnashers","8,116","4.31","1884","4,431","3,685","5","155"
"3","Edmund Madison Muskies","8,106","4.26","1901","4,098","4,008","6","165"
"4","Hakuna Machado","7,639","4.18","1829","3,781","3,858","7","632"
"5","Daddy Schwarbucks","7,242","3.85","1879","4,078","3,164","2","1,029"
"6","Urine, You're Out!!","7,205","3.78","1906","3,959","3,246","9","1,066"
"7","Swinging for Steel","7,081","3.75","1890","3,741","3,340","12","1,190"
"8","Goodbye, Pork I Had","7,056","3.7","1905","3,618","3,438","8","1,215"
"9","Oconomowoc Millers","6,826","3.83","1783","3,568","3,258","10","1,445"
"10","Fort Collins Micro-Brewers","6,785","3.75","1807","3,838","2,947","3","1,486"
"11","Ronnie WOOOS","6,617","3.6","1838","3,483","3,134","11","1,654"
"12","Rusty Kuntz FanClub","5,741","3.41","1686","2,982","2,759","1","2,530"

"Standings - Points - Hitting"
"Rk","Team","FPts","H","R","2B","3B","HR","RBI","BB","SO","SB","CS","HBP","SH","SF","GIDP","CYC","E","AOF"
"1","Portland Gnashers","4,431","1,661","999","308","64","843","891","728","-1,216","258","-57","71","7","43","-136","0","-71","38"
"2","Mad Mad Minions","4,130","1,668","891","352","66","801","951","570","-1,191","144","-30","49","9","44","-149","5","-77","27"
"3","Edmund Madison Muskies","4,098","1,629","885","354","54","768","837","736","-1,284","234","-36","58","14","36","-131","0","-76","20"
"4","Daddy Schwarbucks","4,078","1,567","901","298","38","918","893","693","-1,281","162","-30","63","4","43","-153","0","-67","29"
"5","Urine, You're Out!!","3,959","1,665","872","333","54","660","831","595","-1,202","252","-42","66","5","57","-145","5","-79","32"
"6","Fort Collins Micro-Brewers","3,838","1,500","886","276","60","975","916","621","-1,435","156","-23","48","3","43","-137","5","-77","21"
"7","Hakuna Machado","3,781","1,539","834","296","48","642","772","590","-1,123","270","-45","56","8","52","-109","5","-89","35"
"8","Swinging for Steel","3,741","1,559","854","312","38","921","885","577","-1,482","166","-34","77","5","38","-131","5","-80","31"
"9","Goodbye, Pork I Had","3,618","1,532","855","293","68","666","809","591","-1,287","206","-30","58","6","43","-127","0","-101","36"
"10","Oconomowoc Millers","3,568","1,549","793","327","44","624","767","529","-1,157","218","-37","59","9","40","-149","0","-80","32"
"11","Ronnie WOOOS","3,483","1,525","822","343","80","603","771","560","-1,243","160","-38","67","6","40","-155","0","-94","36"
"12","Rusty Kuntz FanClub","2,982","1,280","699","263","44","690","698","536","-1,259","106","-17","72","7","43","-115","0","-84","19"

"Standings - Points - Pitching"
"Rk","Team","FPts","IP","W","L","SV","BS","CG","H","ER","BB","K","BK","WP","HB","SHO","NH","PG","E"
"1","Mad Mad Minions","4,141","3,385","790","-255","750","-50","40","-951","-417","-346","1,266","-4","-52","-42","30","0","0","-3"
"2","Edmund Madison Muskies","4,008","3,401","930","-255","610","-75","40","-1,027","-442","-327","1,209","-4","-37","-43","30","0","0","-2"
"3","Hakuna Machado","3,858","3,172","760","-270","750","-35","10","-937","-433","-306","1,231","0","-48","-35","0","0","0","-1"
"4","Portland Gnashers","3,685","3,170","780","-225","700","-55","10","-985","-452","-323","1,142","-1","-48","-46","20","0","0","-2"
"5","Goodbye, Pork I Had","3,438","3,212","700","-325","660","-65","0","-970","-468","-348","1,119","-3","-33","-37","0","0","0","-4"
"6","Swinging for Steel","3,340","3,267","680","-355","720","-60","20","-1,037","-493","-380","1,055","-4","-38","-52","20","0","0","-3"
"7","Oconomowoc Millers","3,258","3,198","600","-365","830","-100","5","-1,007","-513","-396","1,102","-2","-54","-44","10","0","0","-6"
"8","Urine, You're Out!!","3,246","3,249","670","-330","600","-40","15","-1,039","-493","-318","1,017","-4","-45","-41","10","0","0","-5"
"9","Daddy Schwarbucks","3,164","3,323","690","-330","400","-35","20","-999","-460","-364","1,006","-2","-45","-44","10","0","0","-6"
"10","Ronnie WOOOS","3,134","3,058","570","-335","820","-30","10","-1,034","-504","-347","1,007","-5","-33","-41","0","0","0","-2"
"11","Fort Collins Micro-Brewers","2,947","2,976","710","-270","570","-60","0","-976","-461","-376","897","-3","-28","-30","0","0","0","-2"
"12","Rusty Kuntz FanClub","2,759","2,890","630","-290","510","-50","15","-931","-452","-345","839","-3","-26","-24","0","0","0","-4"

"Standings - Statistics - Hitting"
"Rk","Team","FPts","GP","H","R","2B","3B","HR","RBI","BB","SO","SB","CS","HBP","SH","SF","GIDP","CYC","E","AOF"
"1","Portland Gnashers","4,431","","1,661","999","308","32","281","891","728","1,216","129","57","71","7","43","136","0","71","38"
"2","Mad Mad Minions","4,130","","1,668","891","352","33","267","951","570","1,191","72","30","49","9","44","149","1","77","27"
"3","Edmund Madison Muskies","4,098","","1,629","885","354","27","256","837","736","1,284","117","36","58","14","36","131","0","76","20"
"4","Daddy Schwarbucks","4,078","","1,567","901","298","19","306","893","693","1,281","81","30","63","4","43","153","0","67","29"
"5","Urine, You're Out!!","3,959","","1,665","872","333","27","220","831","595","1,202","126","42","66","5","57","145","1","79","32"
"6","Fort Collins Micro-Brewers","3,838","","1,500","886","276","30","325","916","621","1,435","78","23","48","3","43","137","1","77","21"
"7","Hakuna Machado","3,781","","1,539","834","296","24","214","772","590","1,123","135","45","56","8","52","109","1","89","35"
"8","Swinging for Steel","3,741","","1,559","854","312","19","307","885","577","1,482","83","34","77","5","38","131","1","80","31"
"9","Goodbye, Pork I Had","3,618","","1,532","855","293","34","222","809","591","1,287","103","30","58","6","43","127","0","101","36"
"10","Oconomowoc Millers","3,568","","1,549","793","327","22","208","767","529","1,157","109","37","59","9","40","149","0","80","32"
"11","Ronnie WOOOS","3,483","","1,525","822","343","40","201","771","560","1,243","80","38","67","6","40","155","0","94","36"
"12","Rusty Kuntz FanClub","2,982","","1,280","699","263","22","230","698","536","1,259","53","17","72","7","43","115","0","84","19"

"Standings - Statistics - Pitching"
"Rk","Team","FPts","GP","IP","W","L","SV","BS","CG","H","ER","BB","K","BK","WP","HB","SHO","NH","PG","E"
"1","Mad Mad Minions","4,141","","1,128.1","79","51","75","10","8","951","417","346","1,266","4","52","42","3","0","0","3"
"2","Edmund Madison Muskies","4,008","","1,133.2","93","51","61","15","8","1,027","442","327","1,209","4","37","43","3","0","0","2"
"3","Hakuna Machado","3,858","","1,057.1","76","54","75","7","2","937","433","306","1,231","0","48","35","0","0","0","1"
"4","Portland Gnashers","3,685","","1,056.2","78","45","70","11","2","985","452","323","1,142","1","48","46","2","0","0","2"
"5","Goodbye, Pork I Had","3,438","","1,070.2","70","65","66","13","0","970","468","348","1,119","3","33","37","0","0","0","4"
"6","Swinging for Steel","3,340","","1,089","68","71","72","12","4","1,037","493","380","1,055","4","38","52","2","0","0","3"
"7","Oconomowoc Millers","3,258","","1,066","60","73","83","20","1","1,007","513","396","1,102","2","54","44","1","0","0","6"
"8","Urine, You're Out!!","3,246","","1,083","67","66","60","8","3","1,039","493","318","1,017","4","45","41","1","0","0","5"
"9","Daddy Schwarbucks","3,164","","1,107.2","69","66","40","7","4","999","460","364","1,006","2","45","44","1","0","0","6"
"10","Ronnie WOOOS","3,134","","1,019.1","57","67","82","6","2","1,034","504","347","1,007","5","33","41","0","0","0","2"
"11","Fort Collins Micro-Brewers","2,947","","992","71","54","57","12","0","976","461","376","897","3","28","30","0","0","0","2"
"12","Rusty Kuntz FanClub","2,759","","963.1","63","58","51","10","3","931","452","345","839","3","26","24","0","0","0","4"

"Innings Pitched"
"Rk","FPts","Team","IP"
"1","3,401","Edmund Madison Muskies","1,133.2"
"2","3,385","Mad Mad Minions","1,128.1"
"3","3,323","Daddy Schwarbucks","1,107.2"
"4","3,267","Swinging for Steel","1,089"
"5","3,249","Urine, You're Out!!","1,083"
"6","3,212","Goodbye, Pork I Had","1,070.2"
"7","3,198","Oconomowoc Millers","1,066"
"8","3,172","Hakuna Machado","1,057.1"
"9","3,170","Portland Gnashers","1,056.2"
"10","3,058","Ronnie WOOOS","1,019.1"
"11","2,976","Fort Collins Micro-Brewers","992"
"12","2,890","Rusty Kuntz FanClub","963.1"

"Wins"
"Rk","FPts","Team","W"
"1","930","Edmund Madison Muskies","93"
"2","790","Mad Mad Minions","79"
"3","780","Portland Gnashers","78"
"4","760","Hakuna Machado","76"
"5","710","Fort Collins Micro-Brewers","71"
"6","700","Goodbye, Pork I Had","70"
"7","690","Daddy Schwarbucks","69"
"8","680","Swinging for Steel","68"
"9","670","Urine, You're Out!!","67"
"10","630","Rusty Kuntz FanClub","63"
"11","600","Oconomowoc Millers","60"
"12","570","Ronnie WOOOS","57"

"Losses"
"Rk","FPts","Team","L"
"1","-225","Portland Gnashers","45"
"2","-255","Edmund Madison Muskies","51"
"2","-255","Mad Mad Minions","51"
"4","-270","Fort Collins Micro-Brewers","54"
"4","-270","Hakuna Machado","54"
"6","-290","Rusty Kuntz FanClub","58"
"7","-325","Goodbye, Pork I Had","65"
"8","-330","Daddy Schwarbucks","66"
"8","-330","Urine, You're Out!!","66"
"10","-335","Ronnie WOOOS","67"
"11","-355","Swinging for Steel","71"
"12","-365","Oconomowoc Millers","73"

"Saves"
"Rk","FPts","Team","SV"
"1","830","Oconomowoc Millers","83"
"2","820","Ronnie WOOOS","82"
"3","750","Hakuna Machado","75"
"3","750","Mad Mad Minions","75"
"5","720","Swinging for Steel","72"
"6","700","Portland Gnashers","70"
"7","660","Goodbye, Pork I Had","66"
"8","610","Edmund Madison Muskies","61"
"9","600","Urine, You're Out!!","60"
"10","570","Fort Collins Micro-Brewers","57"
"11","510","Rusty Kuntz FanClub","51"
"12","400","Daddy Schwarbucks","40"

"Blown Saves"
"Rk","FPts","Team","BS"
"1","-30","Ronnie WOOOS","6"
"2","-35","Daddy Schwarbucks","7"
"2","-35","Hakuna Machado","7"
"4","-40","Urine, You're Out!!","8"
"5","-50","Mad Mad Minions","10"
"5","-50","Rusty Kuntz FanClub","10"
"7","-55","Portland Gnashers","11"
"8","-60","Fort Collins Micro-Brewers","12"
"8","-60","Swinging for Steel","12"
"10","-65","Goodbye, Pork I Had","13"
"11","-75","Edmund Madison Muskies","15"
"12","-100","Oconomowoc Millers","20"

"Complete Games"
"Rk","FPts","Team","CG"
"1","40","Edmund Madison Muskies","8"
"1","40","Mad Mad Minions","8"
"3","20","Daddy Schwarbucks","4"
"3","20","Swinging for Steel","4"
"5","15","Rusty Kuntz FanClub","3"
"5","15","Urine, You're Out!!","3"
"7","10","Hakuna Machado","2"
"7","10","Portland Gnashers","2"
"7","10","Ronnie WOOOS","2"
"10","5","Oconomowoc Millers","1"
"11","0","Fort Collins Micro-Brewers","0"
"11","0","Goodbye, Pork I Had","0"

"Hits Allowed"
"Rk","FPts","Team","H"
"1","-931","Rusty Kuntz FanClub","931"
"2","-937","Hakuna Machado","937"
"3","-951","Mad Mad Minions","951"
"4","-970","Goodbye, Pork I Had","970"
"5","-976","Fort Collins Micro-Brewers","976"
"6","-985","Portland Gnashers","985"
"7","-999","Daddy Schwarbucks","999"
"8","-1,007","Oconomowoc Millers","1,007"
"9","-1,027","Edmund Madison Muskies","1,027"
"10","-1,034","Ronnie WOOOS","1,034"
"11","-1,037","Swinging for Steel","1,037"
"12","-1,039","Urine, You're Out!!","1,039"

"Earned Runs Allowed"
"Rk","FPts","Team","ER"
"1","-417","Mad Mad Minions","417"
"2","-433","Hakuna Machado","433"
"3","-442","Edmund Madison Muskies","442"
"4","-452","Portland Gnashers","452"
"4","-452","Rusty Kuntz FanClub","452"
"6","-460","Daddy Schwarbucks","460"
"7","-461","Fort Collins Micro-Brewers","461"
"8","-468","Goodbye, Pork I Had","468"
"9","-493","Swinging for Steel","493"
"9","-493","Urine, You're Out!!","493"
"11","-504","Ronnie WOOOS","504"
"12","-513","Oconomowoc Millers","513"

"Walks Allowed"
"Rk","FPts","Team","BB"
"1","-306","Hakuna Machado","306"
"2","-318","Urine, You're Out!!","318"
"3","-323","Portland Gnashers","323"
"4","-327","Edmund Madison Muskies","327"
"5","-345","Rusty Kuntz FanClub","345"
"6","-346","Mad Mad Minions","346"
"7","-347","Ronnie WOOOS","347"
"8","-348","Goodbye, Pork I Had","348"
"9","-364","Daddy Schwarbucks","364"
"10","-376","Fort Collins Micro-Brewers","376"
"11","-380","Swinging for Steel","380"
"12","-396","Oconomowoc Millers","396"

"Strikeouts Pitched"
"Rk","FPts","Team","K"
"1","1,266","Mad Mad Minions","1,266"
"2","1,231","Hakuna Machado","1,231"
"3","1,209","Edmund Madison Muskies","1,209"
"4","1,142","Portland Gnashers","1,142"
"5","1,119","Goodbye, Pork I Had","1,119"
"6","1,102","Oconomowoc Millers","1,102"
"7","1,055","Swinging for Steel","1,055"
"8","1,017","Urine, You're Out!!","1,017"
"9","1,007","Ronnie WOOOS","1,007"
"10","1,006","Daddy Schwarbucks","1,006"
"11","897","Fort Collins Micro-Brewers","897"
"12","839","Rusty Kuntz FanClub","839"

"Balks"
"Rk","FPts","Team","BK"
"1","0","Hakuna Machado","0"
"2","-1","Portland Gnashers","1"
"3","-2","Daddy Schwarbucks","2"
"3","-2","Oconomowoc Millers","2"
"5","-3","Fort Collins Micro-Brewers","3"
"5","-3","Goodbye, Pork I Had","3"
"5","-3","Rusty Kuntz FanClub","3"
"8","-4","Edmund Madison Muskies","4"
"8","-4","Mad Mad Minions","4"
"8","-4","Swinging for Steel","4"
"8","-4","Urine, You're Out!!","4"
"12","-5","Ronnie WOOOS","5"

"Wild Pitches"
"Rk","FPts","Team","WP"
"1","-26","Rusty Kuntz FanClub","26"
"2","-28","Fort Collins Micro-Brewers","28"
"3","-33","Goodbye, Pork I Had","33"
"3","-33","Ronnie WOOOS","33"
"5","-37","Edmund Madison Muskies","37"
"6","-38","Swinging for Steel","38"
"7","-45","Daddy Schwarbucks","45"
"7","-45","Urine, You're Out!!","45"
"9","-48","Hakuna Machado","48"
"9","-48","Portland Gnashers","48"
"11","-52","Mad Mad Minions","52"
"12","-54","Oconomowoc Millers","54"

"Hit Batsmen"
"Rk","FPts","Team","HB"
"1","-24","Rusty Kuntz FanClub","24"
"2","-30","Fort Collins Micro-Brewers","30"
"3","-35","Hakuna Machado","35"
"4","-37","Goodbye, Pork I Had","37"
"5","-41","Ronnie WOOOS","41"
"5","-41","Urine, You're Out!!","41"
"7","-42","Mad Mad Minions","42"
"8","-43","Edmund Madison Muskies","43"
"9","-44","Daddy Schwarbucks","44"
"9","-44","Oconomowoc Millers","44"
"11","-46","Portland Gnashers","46"
"12","-52","Swinging for Steel","52"

"Shutouts"
"Rk","FPts","Team","SHO"
"1","30","Edmund Madison Muskies","3"
"1","30","Mad Mad Minions","3"
"3","20","Portland Gnashers","2"
"3","20","Swinging for Steel","2"
"5","10","Daddy Schwarbucks","1"
"5","10","Oconomowoc Millers","1"
"5","10","Urine, You're Out!!","1"
"8","0","Fort Collins Micro-Brewers","0"
"8","0","Goodbye, Pork I Had","0"
"8","0","Hakuna Machado","0"
"8","0","Ronnie WOOOS","0"
"8","0","Rusty Kuntz FanClub","0"

"No Hitters"
