"Standings"
"Rk","Team","FPts","FP/G","GP","Hit","Pit","WW","PBL"
"1","Mad Mad Minions","8,012","4.21","1903","4,225","3,787","3","0"
"2","Edmund Madison Muskies","7,940","4.14","1916","4,088","3,852","10","72"
"3","Urine, You're Out!!","7,813","4.11","1902","3,750","4,063","1","199"
"4","Receptionist: Unhappy Medium","7,743","4.02","1928","3,868","3,875","6","269"
"5","Thor-Nados","7,509","3.97","1891","3,656","3,853","9","503"
"6","Ronnie WOOOS","7,213","3.77","1913","3,733","3,480","5","799"
"7","Portland Gnashers","7,049","3.75","1878","3,651","3,398","11","963"
"8","Doolittle Raid","7,029","3.76","1868","3,542","3,487","12","983"
"9","The HAPPening","6,772","3.6","1881","3,781","2,991","2","1,240"
"10","Steve Avery and Me","6,708","3.82","1756","2,987","3,721","4","1,304"
"11","Fort Collins Micro-Brewers","6,484","3.61","1794","3,316","3,168","8","1,528"
"12","Oconomowoc Millers","6,304","3.6","1750","3,174","3,130","7","1,708"

"Standings - Points - Hitting"
"Rk","Team","FPts","H","R","2B","3B","HR","RBI","BB","SO","SB","CS","HBP","SH","SF","GIDP","CYC","E","AOF"
"1","Mad Mad Minions","4,225","1,607","920","327","56","780","884","647","-1,231","306","-49","76","8","56","-107","5","-77","17"
"2","Edmund Madison Muskies","4,088","1,523","906","322","68","831","919","782","-1,383","184","-26","86","8","65","-139","0","-78","20"
"3","Receptionist: Unhappy Medium","3,868","1,558","917","361","38","687","809","751","-1,393","174","-25","87","7","59","-113","0","-75","26"
"4","The HAPPening","3,781","1,620","816","352","58","651","810","586","-1,141","130","-23","70","6","49","-155","0","-69","21"
"5","Urine, You're Out!!","3,750","1,610","851","316","64","681","825","571","-1,265","202","-31","58","7","44","-148","10","-80","35"
"6","Ronnie WOOOS","3,733","1,623","856","283","68","606","753","633","-1,252","286","-49","64","18","46","-125","0","-93","16"
"7","Thor-Nados","3,656","1,630","848","346","72","600","743","607","-1,323","230","-43","64","17","41","-109","0","-114","47"
"8","Portland Gnashers","3,651","1,508","886","321","54","765","829","658","-1,436","142","-34","57","7","45","-112","5","-73","29"
"9","Doolittle Raid","3,542","1,554","846","322","84","636","781","529","-1,303","202","-48","80","7","43","-118","0","-101","28"
"10","Fort Collins Micro-Brewers","3,316","1,435","777","272","64","789","779","520","-1,388","166","-26","54","1","41","-120","0","-77","29"
"11","Oconomowoc Millers","3,174","1,286","715","296","50","600","693","612","-1,154","160","-37","53","4","50","-110","0","-69","25"
"12","Steve Avery and Me","2,987","1,318","680","292","46","630","707","462","-1,191","116","-20","83","8","44","-142","0","-61","15"

"Standings - Points - Pitching"
"Rk","Team","FPts","IP","W","L","SV","BS","CG","H","ER","BB","K","BK","WP","HB","SHO","NH","PG","E"
"1","Urine, You're Out!!","4,063","3,326","760","-275","790","-40","15","-923","-415","-322","1,218","-5","-45","-49","30","0","0","-2"
"2","Receptionist: Unhappy Medium","3,875","3,198","820","-215","620","-50","5","-881","-378","-362","1,205","0","-49","-42","10","0","0","-6"
"3","Thor-Nados","3,853","3,204","770","-260","890","-60","25","-964","-438","-339","1,109","-2","-37","-51","10","0","0","-4"
"4","Edmund Madison Muskies","3,852","3,246","710","-235","720","-60","25","-958","-408","-304","1,139","-2","-37","-31","30","20","0","-3"
"5","Mad Mad Minions","3,787","3,325","800","-305","600","-60","15","-962","-428","-321","1,227","-4","-47","-57","10","0","0","-6"
"6","Steve Avery and Me","3,721","3,294","700","-245","580","-65","10","-904","-397","-341","1,181","-4","-39","-56","10","0","0","-3"
"7","Doolittle Raid","3,487","3,247","600","-320","730","-45","10","-947","-439","-336","1,056","-6","-27","-43","10","0","0","-3"
"8","Ronnie WOOOS","3,480","3,128","750","-310","800","-65","5","-1,011","-459","-330","1,044","-3","-38","-36","10","0","0","-5"
"9","Portland Gnashers","3,398","3,163","540","-305","680","-45","5","-909","-436","-345","1,159","-3","-56","-52","10","0","0","-8"
"10","Fort Collins Micro-Brewers","3,168","2,915","740","-245","430","-50","25","-856","-377","-269","904","-1","-39","-45","20","20","0","-4"
"11","Oconomowoc Millers","3,130","2,996","620","-295","470","-45","10","-835","-420","-352","1,049","-4","-23","-43","10","0","0","-8"
"12","The HAPPening","2,991","3,275","620","-325","360","-50","0","-1,018","-466","-335","1,026","-2","-45","-44","0","0","0","-5"

"Standings - Statistics - Hitting"
"Rk","Team","FPts","GP","H","R","2B","3B","HR","RBI","BB","SO","SB","CS","HBP","SH","SF","GIDP","CYC","E","AOF"
"1","Mad Mad Minions","4,225","","1,607","920","327","28","260","884","647","1,231","153","49","76","8","56","107","1","77","17"
"2","Edmund Madison Muskies","4,088","","1,523","906","322","34","277","919","782","1,383","92","26","86","8","65","139","0","78","20"
"3","Receptionist: Unhappy Medium","3,868","","1,558","917","361","19","229","809","751","1,393","87","25","87","7","59","113","0","75","26"
"4","The HAPPening","3,781","","1,620","816","352","29","217","810","586","1,141","65","23","70","6","49","155","0","69","21"
"5","Urine, You're Out!!","3,750","","1,610","851","316","32","227","825","571","1,265","101","31","58","7","44","148","2","80","35"
"6","Ronnie WOOOS","3,733","","1,623","856","283","34","202","753","633","1,252","143","49","64","18","46","125","0","93","16"
"7","Thor-Nados","3,656","","1,630","848","346","36","200","743","607","1,323","115","43","64","17","41","109","0","114","47"
"8","Portland Gnashers","3,651","","1,508","886","321","27","255","829","658","1,436","71","34","57","7","45","112","1","73","29"
"9","Doolittle Raid","3,542","","1,554","846","322","42","212","781","529","1,303","101","48","80","7","43","118","0","101","28"
"10","Fort Collins Micro-Brewers","3,316","","1,435","777","272","32","263","779","520","1,388","83","26","54","1","41","120","0","77","29"
"11","Oconomowoc Millers","3,174","","1,286","715","296","25","200","693","612","1,154","80","37","53","4","50","110","0","69","25"
"12","Steve Avery and Me","2,987","","1,318","680","292","23","210","707","462","1,191","58","20","83","8","44","142","0","61","15"

"Standings - Statistics - Pitching"
"Rk","Team","FPts","GP","IP","W","L","SV","BS","CG","H","ER","BB","K","BK","WP","HB","SHO","NH","PG","E"
"1","Urine, You're Out!!","4,063","","1,108.2","76","55","79","8","3","923","415","322","1,218","5","45","49","3","0","0","2"
"2","Receptionist: Unhappy Medium","3,875","","1,066","82","43","62","10","1","881","378","362","1,205","0","49","42","1","0","0","6"
"3","Thor-Nados","3,853","","1,068","77","52","89","12","5","964","438","339","1,109","2","37","51","1","0","0","4"
"4","Edmund Madison Muskies","3,852","","1,082","71","47","72","12","5","958","408","304","1,139","2","37","31","3","1","0","3"
"5","Mad Mad Minions","3,787","","1,108.1","80","61","60","12","3","962","428","321","1,227","4","47","57","1","0","0","6"
"6","Steve Avery and Me","3,721","","1,098","70","49","58","13","2","904","397","341","1,181","4","39","56","1","0","0","3"
"7","Doolittle Raid","3,487","","1,082.1","60","64","73","9","2","947","439","336","1,056","6","27","43","1","0","0","3"
"8","Ronnie WOOOS","3,480","","1,042.2","75","62","80","13","1","1,011","459","330","1,044","3","38","36","1","0","0","5"
"9","Portland Gnashers","3,398","","1,054.1","54","61","68","9","1","909","436","345","1,159","3","56","52","1","0","0","8"
"10","Fort Collins Micro-Brewers","3,168","","971.2","74","49","43","10","5","856","377","269","904","1","39","45","2","1","0","4"
"11","Oconomowoc Millers","3,130","","998.2","62","59","47","9","2","835","420","352","1,049","4","23","43","1","0","0","8"
"12","The HAPPening","2,991","","1,091.2","62","65","36","10","0","1,018","466","335","1,026","2","45","44","0","0","0","5"

"Innings Pitched"
"Rk","FPts","Team","IP"
"1","3,326","Urine, You're Out!!","1,108.2"
"2","3,325","Mad Mad Minions","1,108.1"
"3","3,294","Steve Avery and Me","1,098"
"4","3,275","The HAPPening","1,091.2"
"5","3,247","Doolittle Raid","1,082.1"
"6","3,246","Edmund Madison Muskies","1,082"
"7","3,204","Thor-Nados","1,068"
"8","3,198","Receptionist: Unhappy Medium","1,066"
"9","3,163","Portland Gnashers","1,054.1"
"10","3,128","Ronnie WOOOS","1,042.2"
"11","2,996","Oconomowoc Millers","998.2"
"12","2,915","Fort Collins Micro-Brewers","971.2"

"Wins"
"Rk","FPts","Team","W"
"1","820","Receptionist: Unhappy Medium","82"
"2","800","Mad Mad Minions","80"
"3","770","Thor-Nados","77"
"4","760","Urine, You're Out!!","76"
"5","750","Ronnie WOOOS","75"
"6","740","Fort Collins Micro-Brewers","74"
"7","710","Edmund Madison Muskies","71"
"8","700","Steve Avery and Me","70"
"9","620","Oconomowoc Millers","62"
"9","620","The HAPPening","62"
"11","600","Doolittle Raid","60"
"12","540","Portland Gnashers","54"

"Losses"
"Rk","FPts","Team","L"
"1","-215","Receptionist: Unhappy Medium","43"
"2","-235","Edmund Madison Muskies","47"
"3","-245","Fort Collins Micro-Brewers","49"
"3","-245","Steve Avery and Me","49"
"5","-260","Thor-Nados","52"
"6","-275","Urine, You're Out!!","55"
"7","-295","Oconomowoc Millers","59"
"8","-305","Mad Mad Minions","61"
"8","-305","Portland Gnashers","61"
"10","-310","Ronnie WOOOS","62"
"11","-320","Doolittle Raid","64"
"12","-325","The HAPPening","65"

"Saves"
"Rk","FPts","Team","SV"
"1","890","Thor-Nados","89"
"2","800","Ronnie WOOOS","80"
"3","790","Urine, You're Out!!","79"
"4","730","Doolittle Raid","73"
"5","720","Edmund Madison Muskies","72"
"6","680","Portland Gnashers","68"
"7","620","Receptionist: Unhappy Medium","62"
"8","600","Mad Mad Minions","60"
"9","580","Steve Avery and Me","58"
"10","470","Oconomowoc Millers","47"
"11","430","Fort Collins Micro-Brewers","43"
"12","360","The HAPPening","36"

"Blown Saves"
"Rk","FPts","Team","BS"
"1","-40","Urine, You're Out!!","8"
"2","-45","Doolittle Raid","9"
"2","-45","Oconomowoc Millers","9"
"2","-45","Portland Gnashers","9"
"5","-50","Fort Collins Micro-Brewers","10"
"5","-50","Receptionist: Unhappy Medium","10"
"5","-50","The HAPPening","10"
"8","-60","Edmund Madison Muskies","12"
"8","-60","Mad Mad Minions","12"
"8","-60","Thor-Nados","12"
"11","-65","Ronnie WOOOS","13"
"11","-65","Steve Avery and Me","13"

"Complete Games"
"Rk","FPts","Team","CG"
"1","25","Edmund Madison Muskies","5"
"1","25","Fort Collins Micro-Brewers","5"
"1","25","Thor-Nados","5"
"4","15","Mad Mad Minions","3"
"4","15","Urine, You're Out!!","3"
"6","10","Doolittle Raid","2"
"6","10","Oconomowoc Millers","2"
"6","10","Steve Avery and Me","2"
"9","5","Portland Gnashers","1"
"9","5","Receptionist: Unhappy Medium","1"
"9","5","Ronnie WOOOS","1"
"12","0","The HAPPening","0"

"Hits Allowed"
"Rk","FPts","Team","H"
"1","-835","Oconomowoc Millers","835"
"2","-856","Fort Collins Micro-Brewers","856"
"3","-881","Receptionist: Unhappy Medium","881"
"4","-904","Steve Avery and Me","904"
"5","-909","Portland Gnashers","909"
"6","-923","Urine, You're Out!!","923"
"7","-947","Doolittle Raid","947"
"8","-958","Edmund Madison Muskies","958"
"9","-962","Mad Mad Minions","962"
"10","-964","Thor-Nados","964"
"11","-1,011","Ronnie WOOOS","1,011"
"12","-1,018","The HAPPening","1,018"

"Earned Runs Allowed"
"Rk","FPts","Team","ER"
"1","-377","Fort Collins Micro-Brewers","377"
"2","-378","Receptionist: Unhappy Medium","378"
"3","-397","Steve Avery and Me","397"
"4","-408","Edmund Madison Muskies","408"
"5","-415","Urine, You're Out!!","415"
"6","-420","Oconomowoc Millers","420"
"7","-428","Mad Mad Minions","428"
"8","-436","Portland Gnashers","436"
"9","-438","Thor-Nados","438"
"10","-439","Doolittle Raid","439"
"11","-459","Ronnie WOOOS","459"
"12","-466","The HAPPening","466"

"Walks Allowed"
"Rk","FPts","Team","BB"
"1","-269","Fort Collins Micro-Brewers","269"
"2","-304","Edmund Madison Muskies","304"
"3","-321","Mad Mad Minions","321"
"4","-322","Urine, You're Out!!","322"
"5","-330","Ronnie WOOOS","330"
"6","-335","The HAPPening","335"
"7","-336","Doolittle Raid","336"
"8","-339","Thor-Nados","339"
"9","-341","Steve Avery and Me","341"
"10","-345","Portland Gnashers","345"
"11","-352","Oconomowoc Millers","352"
"12","-362","Receptionist: Unhappy Medium","362"

"Strikeouts Pitched"
"Rk","FPts","Team","K"
"1","1,227","Mad Mad Minions","1,227"
"2","1,218","Urine, You're Out!!","1,218"
"3","1,205","Receptionist: Unhappy Medium","1,205"
"4","1,181","Steve Avery and Me","1,181"
"5","1,159","Portland Gnashers","1,159"
"6","1,139","Edmund Madison Muskies","1,139"
"7","1,109","Thor-Nados","1,109"
"8","1,056","Doolittle Raid","1,056"
"9","1,049","Oconomowoc Millers","1,049"
"10","1,044","Ronnie WOOOS","1,044"
"11","1,026","The HAPPening","1,026"
"12","904","Fort Collins Micro-Brewers","904"

"Balks"
"Rk","FPts","Team","BK"
"1","0","Receptionist: Unhappy Medium","0"
"2","-1","Fort Collins Micro-Brewers","1"
"3","-2","Edmund Madison Muskies","2"
"3","-2","The HAPPening","2"
"3","-2","Thor-Nados","2"
"6","-3","Portland Gnashers","3"
"6","-3","Ronnie WOOOS","3"
"8","-4","Mad Mad Minions","4"
"8","-4","Oconomowoc Millers","4"
"8","-4","Steve Avery and Me","4"
"11","-5","Urine, You're Out!!","5"
"12","-6","Doolittle Raid","6"

"Wild Pitches"
"Rk","FPts","Team","WP"
"1","-23","Oconomowoc Millers","23"
"2","-27","Doolittle Raid","27"
"3","-37","Edmund Madison Muskies","37"
"3","-37","Thor-Nados","37"
"5","-38","Ronnie WOOOS","38"
"6","-39","Fort Collins Micro-Brewers","39"
"6","-39","Steve Avery and Me","39"
"8","-45","The HAPPening","45"
"8","-45","Urine, You're Out!!","45"
"10","-47","Mad Mad Minions","47"
"11","-49","Receptionist: Unhappy Medium","49"
"12","-56","Portland Gnashers","56"

"Hit Batsmen"
"Rk","FPts","Team","HB"
"1","-31","Edmund Madison Muskies","31"
"2","-36","Ronnie WOOOS","36"
"3","-42","Receptionist: Unhappy Medium","42"
"4","-43","Doolittle Raid","43"
"4","-43","Oconomowoc Millers","43"
"6","-44","The HAPPening","44"
"7","-45","Fort Collins Micro-Brewers","45"
"8","-49","Urine, You're Out!!","49"
"9","-51","Thor-Nados","51"
"10","-52","Portland Gnashers","52"
"11","-56","Steve Avery and Me","56"
"12","-57","Mad Mad Minions","57"

"Shutouts"
"Rk","FPts","Team","SHO"
"1","30","Edmund Madison Muskies","3"
"1","30","Urine, You're Out!!","3"
"3","20","Fort Collins Micro-Brewers","2"
"4","10","Doolittle Raid","1"
"4","10","Mad Mad Minions","1"
"4","10","Oconomowoc Millers","1"
"4","10","Portland Gnashers","1"
"4","10","Receptionist: Unhappy Medium","1"
"4","10","Ronnie WOOOS","1"
"4","10","Steve Avery and Me","1"
"4","10","Thor-Nados","1"
"12","0","The HAPPening","0"

"No Hitters"
"Rk","FPts","Team","NH"
"1","20","Edmund Madison Muskies","1"
"1","20","Fort Collins Micro-Brewers","1"
"3","0","Doolittle Raid","0"
