"Standings"
"Rk","Team","FPts","FP/G","GP","Hit","Pit","WW","PBL"
"1","Urine, You're Out!!","2,777","3.9","712","1,488","1,289","12","0"
"2","Seattle Steelhead","2,751","3.9","705","1,407","1,344","7","26"
"3","Hakuna Moncada","2,643","3.81","694","1,161","1,482","6","134"
"4","Portland Gnashers","2,638","3.83","688","1,532","1,106","9","139"
"5","Ronnie WOOOS","2,565","3.6","712","1,347","1,218","10","212"
"6","Mad Mad Minions","2,561","3.66","700","1,281","1,280","8","216"
"7","Edmund Madison Muskies","2,420","3.43","705","1,264","1,156","1","357"
"8","El Hombre","2,388","3.67","650","1,059","1,329","5","389"
"9","Hampshire Millers","2,369","3.55","667","1,095","1,274","11","408"
"10","Merkle's Boner","2,301","3.48","662","1,273","1,028","4","476"
"11","Hector Villanueva Fan Club","2,062","3.23","638","1,149","913","2","715"
"12","Erik Berg is BACK","1,558","2.76","565","1,032","526","3","1,219"

"Standings - Points - Hitting"
"Rk","Team","FPts","H","R","2B","3B","HR","RBI","BB","SO","SB","CS","HBP","SH","SF","GIDP","CYC","E","AOF"
"1","Portland Gnashers","1,532","539","356","100","18","342","336","266","-464","80","-12","28","2","15","-49","0","-33","8"
"2","Urine, You're Out!!","1,488","599","331","112","20","297","331","211","-455","94","-20","33","0","12","-53","0","-39","15"
"3","Seattle Steelhead","1,407","570","357","112","22","294","321","266","-531","60","-16","32","0","7","-58","0","-35","6"
"4","Ronnie WOOOS","1,347","544","294","91","16","279","311","254","-461","28","-6","37","3","21","-51","0","-21","8"
"5","Mad Mad Minions","1,281","532","358","119","8","276","271","266","-601","80","-5","22","3","8","-46","0","-26","16"
"6","Merkle's Boner","1,273","509","280","114","8","285","308","198","-447","56","-9","22","2","13","-44","0","-23","1"
"7","Edmund Madison Muskies","1,264","524","317","101","16","267","273","248","-537","64","-5","38","2","19","-46","0","-23","6"
"8","Hakuna Moncada","1,161","518","276","89","20","234","268","248","-534","72","-6","29","3","17","-48","0","-35","10"
"9","Hector Villanueva Fan Club","1,149","487","276","82","12","267","309","252","-558","56","-10","28","1","21","-45","0","-34","5"
"10","Hampshire Millers","1,095","478","293","94","12","279","297","187","-569","54","-11","39","1","14","-47","0","-36","10"
"11","El Hombre","1,059","484","275","84","18","228","264","198","-492","40","-4","19","2","11","-55","0","-22","9"
"12","Erik Berg is BACK","1,032","468","272","93","16","198","219","185","-453","62","-14","28","2","12","-29","0","-30","3"

"Standings - Points - Pitching"
"Rk","Team","FPts","IP","W","L","SV","BS","CG","H","ER","BB","K","BK","WP","HB","SHO","NH","PG","E"
"1","Hakuna Moncada","1,482","1,235","330","-120","190","-10","10","-342","-132","-116","454","0","-16","-11","10","0","0","0"
"2","Seattle Steelhead","1,344","1,179","240","-100","200","-35","15","-306","-141","-137","451","-1","-17","-24","20","0","0","0"
"3","El Hombre","1,329","1,163","240","-130","250","-10","10","-341","-145","-89","391","0","-10","-10","10","0","0","0"
"4","Urine, You're Out!!","1,289","1,253","260","-150","170","-30","25","-373","-164","-150","462","-2","-15","-17","20","0","0","0"
"5","Mad Mad Minions","1,280","1,135","280","-90","250","-25","5","-340","-168","-104","373","-1","-16","-19","0","0","0","0"
"6","Hampshire Millers","1,274","1,163","290","-115","150","-15","10","-324","-144","-109","389","-1","-6","-14","0","0","0","0"
"7","Ronnie WOOOS","1,218","1,104","220","-95","240","-25","0","-338","-160","-124","426","-3","-15","-12","0","0","0","0"
"8","Edmund Madison Muskies","1,156","1,145","270","-115","140","-55","10","-342","-191","-127","412","-1","-16","-14","20","20","0","0"
"9","Portland Gnashers","1,106","1,016","250","-120","210","-25","0","-300","-150","-118","368","0","-13","-12","0","0","0","0"
"10","Merkle's Boner","1,028","1,089","200","-90","140","-10","5","-340","-172","-150","378","-1","-19","-12","10","0","0","0"
"11","Hector Villanueva Fan Club","913","847","230","-110","190","-20","5","-251","-136","-94","277","-1","-8","-16","0","0","0","0"
"12","Erik Berg is BACK","526","799","110","-130","40","-5","5","-273","-157","-91","246","0","-12","-16","10","0","0","0"

"Standings - Statistics - Hitting"
"Rk","Team","FPts","GP","H","R","2B","3B","HR","RBI","BB","SO","SB","CS","HBP","SH","SF","GIDP","CYC","E","AOF"
"1","Portland Gnashers","1,532","","539","356","100","9","114","336","266","464","40","12","28","2","15","49","0","33","8"
"2","Urine, You're Out!!","1,488","","599","331","112","10","99","331","211","455","47","20","33","0","12","53","0","39","15"
"3","Seattle Steelhead","1,407","","570","357","112","11","98","321","266","531","30","16","32","0","7","58","0","35","6"
"4","Ronnie WOOOS","1,347","","544","294","91","8","93","311","254","461","14","6","37","3","21","51","0","21","8"
"5","Mad Mad Minions","1,281","","532","358","119","4","92","271","266","601","40","5","22","3","8","46","0","26","16"
"6","Merkle's Boner","1,273","","509","280","114","4","95","308","198","447","28","9","22","2","13","44","0","23","1"
"7","Edmund Madison Muskies","1,264","","524","317","101","8","89","273","248","537","32","5","38","2","19","46","0","23","6"
"8","Hakuna Moncada","1,161","","518","276","89","10","78","268","248","534","36","6","29","3","17","48","0","35","10"
"9","Hector Villanueva Fan Club","1,149","","487","276","82","6","89","309","252","558","28","10","28","1","21","45","0","34","5"
"10","Hampshire Millers","1,095","","478","293","94","6","93","297","187","569","27","11","39","1","14","47","0","36","10"
"11","El Hombre","1,059","","484","275","84","9","76","264","198","492","20","4","19","2","11","55","0","22","9"
"12","Erik Berg is BACK","1,032","","468","272","93","8","66","219","185","453","31","14","28","2","12","29","0","30","3"

"Standings - Statistics - Pitching"
"Rk","Team","FPts","GP","IP","W","L","SV","BS","CG","H","ER","BB","K","BK","WP","HB","SHO","NH","PG","E"
"1","Hakuna Moncada","1,482","","411.2","33","24","19","2","2","342","132","116","454","0","16","11","1","0","0","0"
"2","Seattle Steelhead","1,344","","393","24","20","20","7","3","306","141","137","451","1","17","24","2","0","0","0"
"3","El Hombre","1,329","","387.2","24","26","25","2","2","341","145","89","391","0","10","10","1","0","0","0"
"4","Urine, You're Out!!","1,289","","417.2","26","30","17","6","5","373","164","150","462","2","15","17","2","0","0","0"
"5","Mad Mad Minions","1,280","","378.1","28","18","25","5","1","340","168","104","373","1","16","19","0","0","0","0"
"6","Hampshire Millers","1,274","","387.2","29","23","15","3","2","324","144","109","389","1","6","14","0","0","0","0"
"7","Ronnie WOOOS","1,218","","368","22","19","24","5","0","338","160","124","426","3","15","12","0","0","0","0"
"8","Edmund Madison Muskies","1,156","","381.2","27","23","14","11","2","342","191","127","412","1","16","14","2","1","0","0"
"9","Portland Gnashers","1,106","","338.2","25","24","21","5","0","300","150","118","368","0","13","12","0","0","0","0"
"10","Merkle's Boner","1,028","","363","20","18","14","2","1","340","172","150","378","1","19","12","1","0","0","0"
"11","Hector Villanueva Fan Club","913","","282.1","23","22","19","4","1","251","136","94","277","1","8","16","0","0","0","0"
"12","Erik Berg is BACK","526","","266.1","11","26","4","1","1","273","157","91","246","0","12","16","1","0","0","0"

"Innings Pitched"
"Rk","FPts","Team","IP"
"1","1,253","Urine, You're Out!!","417.2"
"2","1,235","Hakuna Moncada","411.2"
"3","1,179","Seattle Steelhead","393"
"4","1,163","El Hombre","387.2"
"5","1,163","Hampshire Millers","387.2"
"6","1,145","Edmund Madison Muskies","381.2"
"7","1,135","Mad Mad Minions","378.1"
"8","1,104","Ronnie WOOOS","368"
"9","1,089","Merkle's Boner","363"
"10","1,016","Portland Gnashers","338.2"
"11","847","Hector Villanueva Fan Club","282.1"
"12","799","Erik Berg is BACK","266.1"

"Wins"
"Rk","FPts","Team","W"
"1","330","Hakuna Moncada","33"
"2","290","Hampshire Millers","29"
"3","280","Mad Mad Minions","28"
"4","270","Edmund Madison Muskies","27"
"5","260","Urine, You're Out!!","26"
"6","250","Portland Gnashers","25"
"7","240","El Hombre","24"
"7","240","Seattle Steelhead","24"
"9","230","Hector Villanueva Fan Club","23"
"10","220","Ronnie WOOOS","22"
"11","200","Merkle's Boner","20"
"12","110","Erik Berg is BACK","11"

"Losses"
"Rk","FPts","Team","L"
"1","-90","Mad Mad Minions","18"
"1","-90","Merkle's Boner","18"
"3","-95","Ronnie WOOOS","19"
"4","-100","Seattle Steelhead","20"
"5","-110","Hector Villanueva Fan Club","22"
"6","-115","Edmund Madison Muskies","23"
"6","-115","Hampshire Millers","23"
"8","-120","Hakuna Moncada","24"
"8","-120","Portland Gnashers","24"
"10","-130","El Hombre","26"
"10","-130","Erik Berg is BACK","26"
"12","-150","Urine, You're Out!!","30"

"Saves"
"Rk","FPts","Team","SV"
"1","250","El Hombre","25"
"1","250","Mad Mad Minions","25"
"3","240","Ronnie WOOOS","24"
"4","210","Portland Gnashers","21"
"5","200","Seattle Steelhead","20"
"6","190","Hakuna Moncada","19"
"6","190","Hector Villanueva Fan Club","19"
"8","170","Urine, You're Out!!","17"
"9","150","Hampshire Millers","15"
"10","140","Edmund Madison Muskies","14"
"10","140","Merkle's Boner","14"
"12","40","Erik Berg is BACK","4"

"Blown Saves"
"Rk","FPts","Team","BS"
"1","-5","Erik Berg is BACK","1"
"2","-10","El Hombre","2"
"2","-10","Hakuna Moncada","2"
"2","-10","Merkle's Boner","2"
"5","-15","Hampshire Millers","3"
"6","-20","Hector Villanueva Fan Club","4"
"7","-25","Mad Mad Minions","5"
"7","-25","Portland Gnashers","5"
"7","-25","Ronnie WOOOS","5"
"10","-30","Urine, You're Out!!","6"
"11","-35","Seattle Steelhead","7"
"12","-55","Edmund Madison Muskies","11"

"Complete Games"
"Rk","FPts","Team","CG"
"1","25","Urine, You're Out!!","5"
"2","15","Seattle Steelhead","3"
"3","10","Edmund Madison Muskies","2"
"3","10","El Hombre","2"
"3","10","Hakuna Moncada","2"
"3","10","Hampshire Millers","2"
"7","5","Erik Berg is BACK","1"
"7","5","Hector Villanueva Fan Club","1"
"7","5","Mad Mad Minions","1"
"7","5","Merkle's Boner","1"
"11","0","Portland Gnashers","0"
"11","0","Ronnie WOOOS","0"

"Hits Allowed"
"Rk","FPts","Team","H"
"1","-251","Hector Villanueva Fan Club","251"
"2","-273","Erik Berg is BACK","273"
"3","-300","Portland Gnashers","300"
"4","-306","Seattle Steelhead","306"
"5","-324","Hampshire Millers","324"
"6","-338","Ronnie WOOOS","338"
"7","-340","Mad Mad Minions","340"
"7","-340","Merkle's Boner","340"
"9","-341","El Hombre","341"
"10","-342","Edmund Madison Muskies","342"
"10","-342","Hakuna Moncada","342"
"12","-373","Urine, You're Out!!","373"

"Earned Runs Allowed"
"Rk","FPts","Team","ER"
"1","-132","Hakuna Moncada","132"
"2","-136","Hector Villanueva Fan Club","136"
"3","-141","Seattle Steelhead","141"
"4","-144","Hampshire Millers","144"
"5","-145","El Hombre","145"
"6","-150","Portland Gnashers","150"
"7","-157","Erik Berg is BACK","157"
"8","-160","Ronnie WOOOS","160"
"9","-164","Urine, You're Out!!","164"
"10","-168","Mad Mad Minions","168"
"11","-172","Merkle's Boner","172"
"12","-191","Edmund Madison Muskies","191"

"Walks Allowed"
"Rk","FPts","Team","BB"
"1","-89","El Hombre","89"
"2","-91","Erik Berg is BACK","91"
"3","-94","Hector Villanueva Fan Club","94"
"4","-104","Mad Mad Minions","104"
"5","-109","Hampshire Millers","109"
"6","-116","Hakuna Moncada","116"
"7","-118","Portland Gnashers","118"
"8","-124","Ronnie WOOOS","124"
"9","-127","Edmund Madison Muskies","127"
"10","-137","Seattle Steelhead","137"
"11","-150","Merkle's Boner","150"
"11","-150","Urine, You're Out!!","150"

"Strikeouts Pitched"
"Rk","FPts","Team","K"
"1","462","Urine, You're Out!!","462"
"2","454","Hakuna Moncada","454"
"3","451","Seattle Steelhead","451"
"4","426","Ronnie WOOOS","426"
"5","412","Edmund Madison Muskies","412"
"6","391","El Hombre","391"
"7","389","Hampshire Millers","389"
"8","378","Merkle's Boner","378"
"9","373","Mad Mad Minions","373"
"10","368","Portland Gnashers","368"
"11","277","Hector Villanueva Fan Club","277"
"12","246","Erik Berg is BACK","246"

"Balks"
"Rk","FPts","Team","BK"
"1","0","El Hombre","0"
"1","0","Erik Berg is BACK","0"
"1","0","Hakuna Moncada","0"
"1","0","Portland Gnashers","0"
"5","-1","Edmund Madison Muskies","1"
"5","-1","Hampshire Millers","1"
"5","-1","Hector Villanueva Fan Club","1"
"5","-1","Mad Mad Minions","1"
"5","-1","Merkle's Boner","1"
"5","-1","Seattle Steelhead","1"
"11","-2","Urine, You're Out!!","2"
"12","-3","Ronnie WOOOS","3"

"Wild Pitches"
"Rk","FPts","Team","WP"
"1","-6","Hampshire Millers","6"
"2","-8","Hector Villanueva Fan Club","8"
"3","-10","El Hombre","10"
"4","-12","Erik Berg is BACK","12"
"5","-13","Portland Gnashers","13"
"6","-15","Ronnie WOOOS","15"
"6","-15","Urine, You're Out!!","15"
"8","-16","Edmund Madison Muskies","16"
"8","-16","Hakuna Moncada","16"
"8","-16","Mad Mad Minions","16"
"11","-17","Seattle Steelhead","17"
"12","-19","Merkle's Boner","19"

"Hit Batsmen"
"Rk","FPts","Team","HB"
"1","-10","El Hombre","10"
"2","-11","Hakuna Moncada","11"
"3","-12","Merkle's Boner","12"
"3","-12","Portland Gnashers","12"
"3","-12","Ronnie WOOOS","12"
"6","-14","Edmund Madison Muskies","14"
"6","-14","Hampshire Millers","14"
"8","-16","Erik Berg is BACK","16"
"8","-16","Hector Villanueva Fan Club","16"
"10","-17","Urine, You're Out!!","17"
"11","-19","Mad Mad Minions","19"
"12","-24","Seattle Steelhead","24"

"Shutouts"
"Rk","FPts","Team","SHO"
"1","20","Edmund Madison Muskies","2"
"1","20","Seattle Steelhead","2"
"1","20","Urine, You're Out!!","2"
"4","10","El Hombre","1"
"4","10","Erik Berg is BACK","1"
"4","10","Hakuna Moncada","1"
"4","10","Merkle's Boner","1"
"8","0","Hampshire Millers","0"
"8","0","Hector Villanueva Fan Club","0"
"8","0","Mad Mad Minions","0"
"8","0","Portland Gnashers","0"
"8","0","Ronnie WOOOS","0"

