"Standings"
"Rk","Team","FPts","FP/G","GP","Hit","Pit","WW","PBL"
"1","Portland Gnashers","7,995","4.16","1921","4,070","3,925","9","0"
"2","Seattle Steelhead","7,791","4.06","1918","4,110","3,681","11","204"
"3","Mad Mad Minions","7,643","4.04","1894","3,663","3,980","3","352"
"4","The NeverEnding Trevor Story","7,559","3.94","1917","3,882","3,677","12","436"
"5","Urine, You're Out!!","7,503","4","1876","3,644","3,859","8","492"
"6","The Mamas and Milt Pappas","7,440","3.92","1899","3,752","3,688","6","555"
"7","Hakuna Matata","7,065","3.74","1890","3,961","3,104","2","930"
"8","Yusei...I only hear what I want to","7,010","3.65","1922","3,867","3,143","4","985"
"9","Ronnie WOOOS","6,802","3.58","1899","3,373","3,429","7","1,193"
"10","Hampshire Millers","6,673","3.64","1835","3,537","3,136","5","1,322"
"11","Going, Going, Gonzaga","6,183","3.23","1912","3,391","2,792","10","1,812"
"12","Hector Villanueva Fan Club","5,923","3.55","1669","3,454","2,469","1","2,072"

"Standings - Points - Hitting"
"Rk","Team","FPts","H","R","2B","3B","HR","RBI","BB","SO","SB","CS","HBP","SH","SF","GIDP","CYC","E","AOF"
"1","Seattle Steelhead","4,110","1,633","977","335","52","801","908","587","-1,394","286","-29","88","2","65","-121","0","-92","12"
"2","Portland Gnashers","4,070","1,542","954","293","46","876","872","746","-1,301","150","-17","79","1","37","-145","0","-83","20"
"3","Hakuna Matata","3,961","1,564","922","341","32","798","860","633","-1,269","150","-32","83","7","65","-129","0","-92","28"
"4","The NeverEnding Trevor Story","3,882","1,523","888","309","82","831","904","617","-1,475","226","-30","83","8","53","-106","10","-67","26"
"5","Yusei...I only hear what I want to","3,867","1,578","920","339","58","753","877","581","-1,291","160","-29","67","4","32","-117","0","-87","22"
"6","The Mamas and Milt Pappas","3,752","1,509","932","279","34","774","830","744","-1,396","126","-25","75","5","51","-128","0","-74","16"
"7","Mad Mad Minions","3,663","1,493","899","296","28","876","837","649","-1,485","166","-22","72","4","31","-134","0","-83","36"
"8","Urine, You're Out!!","3,644","1,550","822","312","50","681","801","512","-1,290","310","-30","67","7","41","-130","5","-93","29"
"9","Hampshire Millers","3,537","1,491","826","316","34","657","790","576","-1,230","118","-16","77","4","47","-113","5","-72","27"
"10","Hector Villanueva Fan Club","3,454","1,389","844","281","30","831","861","512","-1,379","168","-26","61","6","38","-98","0","-78","14"
"11","Going, Going, Gonzaga","3,391","1,482","807","315","42","624","802","627","-1,360","110","-27","89","3","50","-126","0","-65","18"
"12","Ronnie WOOOS","3,373","1,471","784","259","72","639","750","561","-1,262","152","-19","92","7","37","-124","0","-67","21"

"Standings - Points - Pitching"
"Rk","Team","FPts","IP","W","L","SV","BS","CG","H","ER","BB","K","BK","WP","HB","SHO","NH","PG","E"
"1","Mad Mad Minions","3,980","3,310","730","-260","810","-30","10","-906","-406","-337","1,127","-3","-40","-30","10","0","0","-5"
"2","Portland Gnashers","3,925","3,103","800","-210","690","-70","10","-829","-374","-335","1,222","-3","-36","-41","10","0","0","-12"
"3","Urine, You're Out!!","3,859","3,287","710","-300","580","-45","30","-896","-409","-277","1,243","-4","-29","-50","30","0","0","-11"
"4","The Mamas and Milt Pappas","3,688","3,175","830","-285","600","-85","25","-905","-428","-342","1,149","-5","-48","-56","30","40","0","-7"
"5","Seattle Steelhead","3,681","3,124","790","-240","550","-70","15","-878","-409","-336","1,206","-1","-43","-40","20","0","0","-7"
"6","The NeverEnding Trevor Story","3,677","3,217","730","-280","560","-45","30","-917","-427","-312","1,166","-3","-41","-44","50","0","0","-7"
"7","Ronnie WOOOS","3,429","3,078","680","-285","680","-60","10","-867","-436","-335","1,032","-3","-23","-62","10","20","0","-10"
"8","Yusei...I only hear what I want to","3,143","3,171","680","-325","450","-55","0","-961","-475","-345","1,081","-1","-36","-39","0","0","0","-2"
"9","Hampshire Millers","3,136","2,960","650","-250","460","-40","10","-921","-432","-281","1,032","-2","-33","-37","10","20","0","-10"
"10","Hakuna Matata","3,104","2,961","660","-295","490","-80","15","-901","-453","-288","1,069","-7","-41","-44","20","0","0","-2"
"11","Going, Going, Gonzaga","2,792","3,031","510","-350","330","-80","15","-941","-458","-311","1,070","-2","-39","-27","30","20","0","-6"
"12","Hector Villanueva Fan Club","2,469","2,459","540","-205","250","-65","5","-737","-342","-231","867","-2","-38","-38","10","0","0","-4"

"Standings - Statistics - Hitting"
"Rk","Team","FPts","GP","H","R","2B","3B","HR","RBI","BB","SO","SB","CS","HBP","SH","SF","GIDP","CYC","E","AOF"
"1","Seattle Steelhead","4,110","","1,633","977","335","26","267","908","587","1,394","143","29","88","2","65","121","0","92","12"
"2","Portland Gnashers","4,070","","1,542","954","293","23","292","872","746","1,301","75","17","79","1","37","145","0","83","20"
"3","Hakuna Matata","3,961","","1,564","922","341","16","266","860","633","1,269","75","32","83","7","65","129","0","92","28"
"4","The NeverEnding Trevor Story","3,882","","1,523","888","309","41","277","904","617","1,475","113","30","83","8","53","106","2","67","26"
"5","Yusei...I only hear what I want to","3,867","","1,578","920","339","29","251","877","581","1,291","80","29","67","4","32","117","0","87","22"
"6","The Mamas and Milt Pappas","3,752","","1,509","932","279","17","258","830","744","1,396","63","25","75","5","51","128","0","74","16"
"7","Mad Mad Minions","3,663","","1,493","899","296","14","292","837","649","1,485","83","22","72","4","31","134","0","83","36"
"8","Urine, You're Out!!","3,644","","1,550","822","312","25","227","801","512","1,290","155","30","67","7","41","130","1","93","29"
"9","Hampshire Millers","3,537","","1,491","826","316","17","219","790","576","1,230","59","16","77","4","47","113","1","72","27"
"10","Hector Villanueva Fan Club","3,454","","1,389","844","281","15","277","861","512","1,379","84","26","61","6","38","98","0","78","14"
"11","Going, Going, Gonzaga","3,391","","1,482","807","315","21","208","802","627","1,360","55","27","89","3","50","126","0","65","18"
"12","Ronnie WOOOS","3,373","","1,471","784","259","36","213","750","561","1,262","76","19","92","7","37","124","0","67","21"

"Standings - Statistics - Pitching"
"Rk","Team","FPts","GP","IP","W","L","SV","BS","CG","H","ER","BB","K","BK","WP","HB","SHO","NH","PG","E"
"1","Mad Mad Minions","3,980","","1,103.1","73","52","81","6","2","906","406","337","1,127","3","40","30","1","0","0","5"
"2","Portland Gnashers","3,925","","1,034.1","80","42","69","14","2","829","374","335","1,222","3","36","41","1","0","0","12"
"3","Urine, You're Out!!","3,859","","1,095.2","71","60","58","9","6","896","409","277","1,243","4","29","50","3","0","0","11"
"4","The Mamas and Milt Pappas","3,688","","1,058.1","83","57","60","17","5","905","428","342","1,149","5","48","56","3","2","0","7"
"5","Seattle Steelhead","3,681","","1,041.1","79","48","55","14","3","878","409","336","1,206","1","43","40","2","0","0","7"
"6","The NeverEnding Trevor Story","3,677","","1,072.1","73","56","56","9","6","917","427","312","1,166","3","41","44","5","0","0","7"
"7","Ronnie WOOOS","3,429","","1,026","68","57","68","12","2","867","436","335","1,032","3","23","62","1","1","0","10"
"8","Yusei...I only hear what I want to","3,143","","1,057","68","65","45","11","0","961","475","345","1,081","1","36","39","0","0","0","2"
"9","Hampshire Millers","3,136","","986.2","65","50","46","8","2","921","432","281","1,032","2","33","37","1","1","0","10"
"10","Hakuna Matata","3,104","","987","66","59","49","16","3","901","453","288","1,069","7","41","44","2","0","0","2"
"11","Going, Going, Gonzaga","2,792","","1,010.1","51","70","33","16","3","941","458","311","1,070","2","39","27","3","1","0","6"
"12","Hector Villanueva Fan Club","2,469","","819.2","54","41","25","13","1","737","342","231","867","2","38","38","1","0","0","4"

"Innings Pitched"
"Rk","FPts","Team","IP"
"1","3,310","Mad Mad Minions","1,103.1"
"2","3,287","Urine, You're Out!!","1,095.2"
"3","3,217","The NeverEnding Trevor Story","1,072.1"
"4","3,175","The Mamas and Milt Pappas","1,058.1"
"5","3,171","Yusei...I only hear what I want to","1,057"
"6","3,124","Seattle Steelhead","1,041.1"
"7","3,103","Portland Gnashers","1,034.1"
"8","3,078","Ronnie WOOOS","1,026"
"9","3,031","Going, Going, Gonzaga","1,010.1"
"10","2,961","Hakuna Matata","987"
"11","2,960","Hampshire Millers","986.2"
"12","2,459","Hector Villanueva Fan Club","819.2"

"Wins"
"Rk","FPts","Team","W"
"1","830","The Mamas and Milt Pappas","83"
"2","800","Portland Gnashers","80"
"3","790","Seattle Steelhead","79"
"4","730","Mad Mad Minions","73"
"4","730","The NeverEnding Trevor Story","73"
"6","710","Urine, You're Out!!","71"
"7","680","Ronnie WOOOS","68"
"7","680","Yusei...I only hear what I want to","68"
"9","660","Hakuna Matata","66"
"10","650","Hampshire Millers","65"
"11","540","Hector Villanueva Fan Club","54"
"12","510","Going, Going, Gonzaga","51"

"Losses"
"Rk","FPts","Team","L"
"1","-205","Hector Villanueva Fan Club","41"
"2","-210","Portland Gnashers","42"
"3","-240","Seattle Steelhead","48"
"4","-250","Hampshire Millers","50"
"5","-260","Mad Mad Minions","52"
"6","-280","The NeverEnding Trevor Story","56"
"7","-285","Ronnie WOOOS","57"
"7","-285","The Mamas and Milt Pappas","57"
"9","-295","Hakuna Matata","59"
"10","-300","Urine, You're Out!!","60"
"11","-325","Yusei...I only hear what I want to","65"
"12","-350","Going, Going, Gonzaga","70"

"Saves"
"Rk","FPts","Team","SV"
"1","810","Mad Mad Minions","81"
"2","690","Portland Gnashers","69"
"3","680","Ronnie WOOOS","68"
"4","600","The Mamas and Milt Pappas","60"
"5","580","Urine, You're Out!!","58"
"6","560","The NeverEnding Trevor Story","56"
"7","550","Seattle Steelhead","55"
"8","490","Hakuna Matata","49"
"9","460","Hampshire Millers","46"
"10","450","Yusei...I only hear what I want to","45"
"11","330","Going, Going, Gonzaga","33"
"12","250","Hector Villanueva Fan Club","25"

"Blown Saves"
"Rk","FPts","Team","BS"
"1","-30","Mad Mad Minions","6"
"2","-40","Hampshire Millers","8"
"3","-45","The NeverEnding Trevor Story","9"
"3","-45","Urine, You're Out!!","9"
"5","-55","Yusei...I only hear what I want to","11"
"6","-60","Ronnie WOOOS","12"
"7","-65","Hector Villanueva Fan Club","13"
"8","-70","Portland Gnashers","14"
"8","-70","Seattle Steelhead","14"
"10","-80","Going, Going, Gonzaga","16"
"10","-80","Hakuna Matata","16"
"12","-85","The Mamas and Milt Pappas","17"

"Complete Games"
"Rk","FPts","Team","CG"
"1","30","The NeverEnding Trevor Story","6"
"1","30","Urine, You're Out!!","6"
"3","25","The Mamas and Milt Pappas","5"
"4","15","Going, Going, Gonzaga","3"
"4","15","Hakuna Matata","3"
"4","15","Seattle Steelhead","3"
"7","10","Hampshire Millers","2"
"7","10","Mad Mad Minions","2"
"7","10","Portland Gnashers","2"
"7","10","Ronnie WOOOS","2"
"11","5","Hector Villanueva Fan Club","1"
"12","0","Yusei...I only hear what I want to","0"

"Hits Allowed"
"Rk","FPts","Team","H"
"1","-737","Hector Villanueva Fan Club","737"
"2","-829","Portland Gnashers","829"
"3","-867","Ronnie WOOOS","867"
"4","-878","Seattle Steelhead","878"
"5","-896","Urine, You're Out!!","896"
"6","-901","Hakuna Matata","901"
"7","-905","The Mamas and Milt Pappas","905"
"8","-906","Mad Mad Minions","906"
"9","-917","The NeverEnding Trevor Story","917"
"10","-921","Hampshire Millers","921"
"11","-941","Going, Going, Gonzaga","941"
"12","-961","Yusei...I only hear what I want to","961"

"Earned Runs Allowed"
"Rk","FPts","Team","ER"
"1","-342","Hector Villanueva Fan Club","342"
"2","-374","Portland Gnashers","374"
"3","-406","Mad Mad Minions","406"
"4","-409","Seattle Steelhead","409"
"4","-409","Urine, You're Out!!","409"
"6","-427","The NeverEnding Trevor Story","427"
"7","-428","The Mamas and Milt Pappas","428"
"8","-432","Hampshire Millers","432"
"9","-436","Ronnie WOOOS","436"
"10","-453","Hakuna Matata","453"
"11","-458","Going, Going, Gonzaga","458"
"12","-475","Yusei...I only hear what I want to","475"

"Walks Allowed"
"Rk","FPts","Team","BB"
"1","-231","Hector Villanueva Fan Club","231"
"2","-277","Urine, You're Out!!","277"
"3","-281","Hampshire Millers","281"
"4","-288","Hakuna Matata","288"
"5","-311","Going, Going, Gonzaga","311"
"6","-312","The NeverEnding Trevor Story","312"
"7","-335","Portland Gnashers","335"
"7","-335","Ronnie WOOOS","335"
"9","-336","Seattle Steelhead","336"
"10","-337","Mad Mad Minions","337"
"11","-342","The Mamas and Milt Pappas","342"
"12","-345","Yusei...I only hear what I want to","345"

"Strikeouts Pitched"
"Rk","FPts","Team","K"
"1","1,243","Urine, You're Out!!","1,243"
"2","1,222","Portland Gnashers","1,222"
"3","1,206","Seattle Steelhead","1,206"
"4","1,166","The NeverEnding Trevor Story","1,166"
"5","1,149","The Mamas and Milt Pappas","1,149"
"6","1,127","Mad Mad Minions","1,127"
"7","1,081","Yusei...I only hear what I want to","1,081"
"8","1,070","Going, Going, Gonzaga","1,070"
"9","1,069","Hakuna Matata","1,069"
"10","1,032","Hampshire Millers","1,032"
"10","1,032","Ronnie WOOOS","1,032"
"12","867","Hector Villanueva Fan Club","867"

"Balks"
"Rk","FPts","Team","BK"
"1","-1","Seattle Steelhead","1"
"1","-1","Yusei...I only hear what I want to","1"
"3","-2","Going, Going, Gonzaga","2"
"3","-2","Hampshire Millers","2"
"3","-2","Hector Villanueva Fan Club","2"
"6","-3","Mad Mad Minions","3"
"6","-3","Portland Gnashers","3"
"6","-3","Ronnie WOOOS","3"
"6","-3","The NeverEnding Trevor Story","3"
"10","-4","Urine, You're Out!!","4"
"11","-5","The Mamas and Milt Pappas","5"
"12","-7","Hakuna Matata","7"

"Wild Pitches"
"Rk","FPts","Team","WP"
"1","-23","Ronnie WOOOS","23"
"2","-29","Urine, You're Out!!","29"
"3","-33","Hampshire Millers","33"
"4","-36","Portland Gnashers","36"
"4","-36","Yusei...I only hear what I want to","36"
"6","-38","Hector Villanueva Fan Club","38"
"7","-39","Going, Going, Gonzaga","39"
"8","-40","Mad Mad Minions","40"
"9","-41","Hakuna Matata","41"
"9","-41","The NeverEnding Trevor Story","41"
"11","-43","Seattle Steelhead","43"
"12","-48","The Mamas and Milt Pappas","48"

"Hit Batsmen"
"Rk","FPts","Team","HB"
"1","-27","Going, Going, Gonzaga","27"
"2","-30","Mad Mad Minions","30"
"3","-37","Hampshire Millers","37"
"4","-38","Hector Villanueva Fan Club","38"
"5","-39","Yusei...I only hear what I want to","39"
"6","-40","Seattle Steelhead","40"
"7","-41","Portland Gnashers","41"
"8","-44","Hakuna Matata","44"
"8","-44","The NeverEnding Trevor Story","44"
"10","-50","Urine, You're Out!!","50"
"11","-56","The Mamas and Milt Pappas","56"
"12","-62","Ronnie WOOOS","62"

"Shutouts"
"Rk","FPts","Team","SHO"
"1","50","The NeverEnding Trevor Story","5"
"2","30","Going, Going, Gonzaga","3"
"2","30","The Mamas and Milt Pappas","3"
"2","30","Urine, You're Out!!","3"
"5","20","Hakuna Matata","2"
"5","20","Seattle Steelhead","2"
"7","10","Hampshire Millers","1"
"7","10","Hector Villanueva Fan Club","1"
"7","10","Mad Mad Minions","1"
"7","10","Portland Gnashers","1"
"7","10","Ronnie WOOOS","1"
"12","0","Yusei...I only hear what I want to","0"

"No Hitters"
"Rk","FPts","Team","NH"
"1","40","The Mamas and Milt Pappas","2"
"2","20","Going, Going, Gonzaga","1"
"2","20","Hampshire Millers","1"
"2","20","Ronnie WOOOS","1"
"5","0","Hakuna Matata","0"
"5","0","Hector Villanueva Fan Club","0"
"5","0","Mad Mad Minions","0"
"5","0","Portland Gnashers","0"
"5","0","Seattle Steelhead","0"
"5","0","The NeverEnding Trevor Story","0"
"5","0","Urine, You're Out!!","0"
"5","0","Yusei...I only hear what I want to","0"

"Perfect Games"
"Rk","FPts","Team","PG"
"1","0","Going, Going, Gonzaga","0"
"1","0","Hakuna Matata","0"
"1","0","Hampshire Millers","0"
"1","0","Hector Villanueva Fan Club","0"
"1","0","Mad Mad Minions","0"
"1","0","Portland Gnashers","0"
"1","0","Ronnie WOOOS","0"
"1","0","Seattle Steelhead","0"
"1","0","The Mamas and Milt Pappas","0"
"1","0","The NeverEnding Trevor Story","0"
"1","0","Urine, You're Out!!","0"
"1","0","Yusei...I only hear what I want to","0"

"Errors"
"Rk","FPts","Team","E"
"1","-2","Hakuna Matata","2"
"1","-2","Yusei...I only hear what I want to","2"
"3","-4","Hector Villanueva Fan Club","4"
"4","-5","Mad Mad Minions","5"
"5","-6","Going, Going, Gonzaga","6"
"6","-7","Seattle Steelhead","7"
"6","-7","The Mamas and Milt Pappas","7"
"6","-7","The NeverEnding Trevor Story","7"
"9","-10","Hampshire Millers","10"
"9","-10","Ronnie WOOOS","10"
"11","-11","Urine, You're Out!!","11"
"12","-12","Portland Gnashers","12"

"Hits"
"Rk","FPts","Team","H"
"1","1,633","Seattle Steelhead","1,633"
"2","1,578","Yusei...I only hear what I want to","1,578"
"3","1,564","Hakuna Matata","1,564"
"4","1,550","Urine, You're Out!!","1,550"
"5","1,542","Portland Gnashers","1,542"
"6","1,523","The NeverEnding Trevor Story","1,523"
"7","1,509","The Mamas and Milt Pappas","1,509"
"8","1,493","Mad Mad Minions","1,493"
"9","1,491","Hampshire Millers","1,491"
"10","1,482","Going, Going, Gonzaga","1,482"
"11","1,471","Ronnie WOOOS","1,471"
"12","1,389","Hector Villanueva Fan Club","1,389"

"Runs Scored"
"Rk","FPts","Team","R"
"1","977","Seattle Steelhead","977"
"2","954","Portland Gnashers","954"
"3","932","The Mamas and Milt Pappas","932"
"4","922","Hakuna Matata","922"
"5","920","Yusei...I only hear what I want to","920"
"6","899","Mad Mad Minions","899"
"7","888","The NeverEnding Trevor Story","888"
"8","844","Hector Villanueva Fan Club","844"
"9","826","Hampshire Millers","826"
"10","822","Urine, You're Out!!","822"
"11","807","Going, Going, Gonzaga","807"
"12","784","Ronnie WOOOS","784"

"Doubles"
"Rk","FPts","Team","2B"
"1","341","Hakuna Matata","341"
"2","339","Yusei...I only hear what I want to","339"
"3","335","Seattle Steelhead","335"
"4","316","Hampshire Millers","316"
"5","315","Going, Going, Gonzaga","315"
"6","312","Urine, You're Out!!","312"
"7","309","The NeverEnding Trevor Story","309"
"8","296","Mad Mad Minions","296"
"9","293","Portland Gnashers","293"
"10","281","Hector Villanueva Fan Club","281"
"11","279","The Mamas and Milt Pappas","279"
"12","259","Ronnie WOOOS","259"

"Triples"
"Rk","FPts","Team","3B"
"1","82","The NeverEnding Trevor Story","41"
"2","72","Ronnie WOOOS","36"
"3","58","Yusei...I only hear what I want to","29"
"4","52","Seattle Steelhead","26"
"5","50","Urine, You're Out!!","25"
"6","46","Portland Gnashers","23"
"7","42","Going, Going, Gonzaga","21"
"8","34","Hampshire Millers","17"
"8","34","The Mamas and Milt Pappas","17"
"10","32","Hakuna Matata","16"
"11","30","Hector Villanueva Fan Club","15"
"12","28","Mad Mad Minions","14"

"Home Runs"
"Rk","FPts","Team","HR"
"1","876","Mad Mad Minions","292"
"1","876","Portland Gnashers","292"
"3","831","Hector Villanueva Fan Club","277"
"3","831","The NeverEnding Trevor Story","277"
"5","801","Seattle Steelhead","267"
"6","798","Hakuna Matata","266"
"7","774","The Mamas and Milt Pappas","258"
"8","753","Yusei...I only hear what I want to","251"
"9","681","Urine, You're Out!!","227"
"10","657","Hampshire Millers","219"
"11","639","Ronnie WOOOS","213"
"12","624","Going, Going, Gonzaga","208"

"RBI"
"Rk","FPts","Team","RBI"
"1","908","Seattle Steelhead","908"
"2","904","The NeverEnding Trevor Story","904"
"3","877","Yusei...I only hear what I want to","877"
"4","872","Portland Gnashers","872"
"5","861","Hector Villanueva Fan Club","861"
"6","860","Hakuna Matata","860"
"7","837","Mad Mad Minions","837"
"8","830","The Mamas and Milt Pappas","830"
"9","802","Going, Going, Gonzaga","802"
"10","801","Urine, You're Out!!","801"
"11","790","Hampshire Millers","790"
"12","750","Ronnie WOOOS","750"

"Walks"
"Rk","FPts","Team","BB"
"1","746","Portland Gnashers","746"
"2","744","The Mamas and Milt Pappas","744"
"3","649","Mad Mad Minions","649"
"4","633","Hakuna Matata","633"
"5","627","Going, Going, Gonzaga","627"
"6","617","The NeverEnding Trevor Story","617"
"7","587","Seattle Steelhead","587"
"8","581","Yusei...I only hear what I want to","581"
"9","576","Hampshire Millers","576"
"10","561","Ronnie WOOOS","561"
"11","512","Hector Villanueva Fan Club","512"
"11","512","Urine, You're Out!!","512"

"Strikeouts"
"Rk","FPts","Team","SO"
"1","-1,230","Hampshire Millers","1,230"
"2","-1,262","Ronnie WOOOS","1,262"
"3","-1,269","Hakuna Matata","1,269"
"4","-1,290","Urine, You're Out!!","1,290"
"5","-1,291","Yusei...I only hear what I want to","1,291"
"6","-1,301","Portland Gnashers","1,301"
"7","-1,360","Going, Going, Gonzaga","1,360"
"8","-1,379","Hector Villanueva Fan Club","1,379"
"9","-1,394","Seattle Steelhead","1,394"
"10","-1,396","The Mamas and Milt Pappas","1,396"
"11","-1,475","The NeverEnding Trevor Story","1,475"
"12","-1,485","Mad Mad Minions","1,485"

"Stolen Bases"
"Rk","FPts","Team","SB"
"1","310","Urine, You're Out!!","155"
"2","286","Seattle Steelhead","143"
"3","226","The NeverEnding Trevor Story","113"
"4","168","Hector Villanueva Fan Club","84"
"5","166","Mad Mad Minions","83"
"6","160","Yusei...I only hear what I want to","80"
"7","152","Ronnie WOOOS","76"
"8","150","Hakuna Matata","75"
"8","150","Portland Gnashers","75"
"10","126","The Mamas and Milt Pappas","63"
"11","118","Hampshire Millers","59"
"12","110","Going, Going, Gonzaga","55"

"Caught Stealing"
"Rk","FPts","Team","CS"
"1","-16","Hampshire Millers","16"
"2","-17","Portland Gnashers","17"
"3","-19","Ronnie WOOOS","19"
"4","-22","Mad Mad Minions","22"
"5","-25","The Mamas and Milt Pappas","25"
"6","-26","Hector Villanueva Fan Club","26"
"7","-27","Going, Going, Gonzaga","27"
"8","-29","Seattle Steelhead","29"
"8","-29","Yusei...I only hear what I want to","29"
"10","-30","The NeverEnding Trevor Story","30"
"10","-30","Urine, You're Out!!","30"
"12","-32","Hakuna Matata","32"

"Hit By Pitches"
"Rk","FPts","Team","HBP"
"1","92","Ronnie WOOOS","92"
"2","89","Going, Going, Gonzaga","89"
"3","88","Seattle Steelhead","88"
"4","83","Hakuna Matata","83"
"4","83","The NeverEnding Trevor Story","83"
"6","79","Portland Gnashers","79"
"7","77","Hampshire Millers","77"
"8","75","The Mamas and Milt Pappas","75"
"9","72","Mad Mad Minions","72"
"10","67","Urine, You're Out!!","67"
"10","67","Yusei...I only hear what I want to","67"
"12","61","Hector Villanueva Fan Club","61"

"Sacrifice Hits"
"Rk","FPts","Team","SH"
"1","8","The NeverEnding Trevor Story","8"
"2","7","Hakuna Matata","7"
"2","7","Ronnie WOOOS","7"
"2","7","Urine, You're Out!!","7"
"5","6","Hector Villanueva Fan Club","6"
"6","5","The Mamas and Milt Pappas","5"
"7","4","Hampshire Millers","4"
"7","4","Mad Mad Minions","4"
"7","4","Yusei...I only hear what I want to","4"
"10","3","Going, Going, Gonzaga","3"
"11","2","Seattle Steelhead","2"
"12","1","Portland Gnashers","1"

"Sacrifice Flies"
"Rk","FPts","Team","SF"
"1","65","Hakuna Matata","65"
"1","65","Seattle Steelhead","65"
"3","53","The NeverEnding Trevor Story","53"
"4","51","The Mamas and Milt Pappas","51"
"5","50","Going, Going, Gonzaga","50"
"6","47","Hampshire Millers","47"
"7","41","Urine, You're Out!!","41"
"8","38","Hector Villanueva Fan Club","38"
"9","37","Portland Gnashers","37"
"9","37","Ronnie WOOOS","37"
"11","32","Yusei...I only hear what I want to","32"
"12","31","Mad Mad Minions","31"

"Grounded Into Double Plays"
"Rk","FPts","Team","GIDP"
"1","-98","Hector Villanueva Fan Club","98"
"2","-106","The NeverEnding Trevor Story","106"
"3","-113","Hampshire Millers","113"
"4","-117","Yusei...I only hear what I want to","117"
"5","-121","Seattle Steelhead","121"
"6","-124","Ronnie WOOOS","124"
"7","-126","Going, Going, Gonzaga","126"
"8","-128","The Mamas and Milt Pappas","128"
"9","-129","Hakuna Matata","129"
"10","-130","Urine, You're Out!!","130"
"11","-134","Mad Mad Minions","134"
"12","-145","Portland Gnashers","145"

"Hit For The Cycle"
"Rk","FPts","Team","CYC"
"1","10","The NeverEnding Trevor Story","2"
"2","5","Hampshire Millers","1"
"2","5","Urine, You're Out!!","1"
"4","0","Going, Going, Gonzaga","0"
"4","0","Hakuna Matata","0"
"4","0","Hector Villanueva Fan Club","0"
"4","0","Mad Mad Minions","0"
"4","0","Portland Gnashers","0"
"4","0","Ronnie WOOOS","0"
"4","0","Seattle Steelhead","0"
"4","0","The Mamas and Milt Pappas","0"
"4","0","Yusei...I only hear what I want to","0"

"Errors"
"Rk","FPts","Team","E"
"1","-65","Going, Going, Gonzaga","65"
"2","-67","Ronnie WOOOS","67"
"2","-67","The NeverEnding Trevor Story","67"
"4","-72","Hampshire Millers","72"
"5","-74","The Mamas and Milt Pappas","74"
"6","-78","Hector Villanueva Fan Club","78"
"7","-83","Mad Mad Minions","83"
"7","-83","Portland Gnashers","83"
"9","-87","Yusei...I only hear what I want to","87"
"10","-92","Hakuna Matata","92"
"10","-92","Seattle Steelhead","92"
"12","-93","Urine, You're Out!!","93"

"Assists by Outfielders"
"Rk","FPts","Team","AOF"
"1","36","Mad Mad Minions","36"
"2","29","Urine, You're Out!!","29"
"3","28","Hakuna Matata","28"
"4","27","Hampshire Millers","27"
"5","26","The NeverEnding Trevor Story","26"
"6","22","Yusei...I only hear what I want to","22"
"7","21","Ronnie WOOOS","21"
"8","20","Portland Gnashers","20"
"9","18","Going, Going, Gonzaga","18"
"10","16","The Mamas and Milt Pappas","16"
"11","14","Hector Villanueva Fan Club","14"
"12","12","Seattle Steelhead","12"

