"Standings"
"Rk","Team","FPts","FP/G","GP","Hit","Pit","WW","PBL"
"1","The Mamas and Milt Pappas","8,096","4.21","1921","3,977","4,119","2","0"
"2","Small Wander","7,643","4.04","1893","3,972","3,671","6","453"
"3","Ronnie WOOOS","7,505","3.9","1922","3,585","3,920","10","591"
"4","Hakuna Matata","7,405","3.87","1913","3,738","3,667","7","691"
"5","Urine, You're Out!!","7,260","3.91","1857","3,150","4,110","3","836"
"6","Portland Gnashers","7,168","3.73","1922","3,276","3,892","9","928"
"7","Going, Going, Gonzaga","6,889","3.61","1906","3,597","3,292","11","1,207"
"8","Norwich DeSilva","6,715","3.81","1763","3,424","3,291","1","1,381"
"9","Sei-ya ain’t Su…zuki","6,444","3.39","1900","3,430","3,014","12","1,652"
"10","Mad Mad Minions","6,376","3.48","1834","3,011","3,365","4","1,720"
"11","Seattle Steelhead","6,311","3.33","1896","3,237","3,074","8","1,785"
"12","Big Bad Wolf(e)","6,221","3.35","1855","3,298","2,923","5","1,875"

"Standings - Points - Hitting"
"Rk","Team","FPts","H","R","2B","3B","HR","RBI","BB","SO","SB","CS","HBP","SH","SF","GIDP","CYC","E","AOF"
"1","The Mamas and Milt Pappas","3,977","1,554","909","353","44","642","770","700","-1,167","252","-24","85","5","40","-133","0","-72","19"
"2","Small Wander","3,972","1,541","900","316","56","801","893","596","-1,264","196","-32","60","2","55","-104","0","-62","18"
"3","Hakuna Matata","3,738","1,506","902","310","40","714","764","699","-1,356","190","-36","111","6","45","-128","5","-61","27"
"4","Going, Going, Gonzaga","3,597","1,641","822","313","40","777","865","551","-1,429","76","-12","74","3","50","-135","0","-59","20"
"5","Ronnie WOOOS","3,585","1,559","854","334","52","663","756","579","-1,376","276","-37","95","2","32","-141","0","-91","28"
"6","Sei-ya ain’t Su…zuki","3,430","1,520","826","307","64","564","747","517","-1,315","230","-25","105","4","47","-101","0","-79","19"
"7","Norwich DeSilva","3,424","1,411","781","291","44","687","796","541","-1,353","304","-37","54","2","47","-119","0","-53","28"
"8","Big Bad Wolf(e)","3,298","1,451","768","297","24","693","803","505","-1,332","198","-35","56","4","41","-127","5","-79","26"
"9","Portland Gnashers","3,276","1,446","780","269","38","663","766","642","-1,383","140","-25","66","5","52","-136","0","-84","37"
"10","Seattle Steelhead","3,237","1,501","791","324","30","654","766","563","-1,435","140","-19","67","4","36","-134","0","-84","33"
"11","Urine, You're Out!!","3,150","1,570","727","330","28","417","715","517","-1,228","156","-39","79","2","47","-122","0","-73","24"
"12","Mad Mad Minions","3,011","1,387","744","271","40","600","697","538","-1,340","152","-32","74","1","42","-119","5","-70","21"

"Standings - Points - Pitching"
"Rk","Team","FPts","IP","W","L","SV","BS","CG","H","ER","BB","K","BK","WP","HB","SHO","NH","PG","E"
"1","The Mamas and Milt Pappas","4,119","3,331","850","-255","680","-75","15","-879","-342","-316","1,202","-5","-42","-47","10","0","0","-8"
"2","Urine, You're Out!!","4,110","3,480","740","-295","590","-55","40","-954","-429","-261","1,293","-2","-20","-34","20","0","0","-3"
"3","Ronnie WOOOS","3,920","3,352","920","-270","470","-65","0","-886","-347","-271","1,114","-2","-27","-60","0","0","0","-8"
"4","Portland Gnashers","3,892","3,220","920","-250","550","-85","10","-859","-383","-331","1,159","0","-38","-37","20","0","0","-4"
"5","Small Wander","3,671","3,221","750","-300","610","-70","0","-886","-410","-306","1,160","-6","-35","-50","0","0","0","-7"
"6","Hakuna Matata","3,667","3,256","790","-265","640","-75","10","-956","-403","-270","1,047","-2","-42","-52","0","0","0","-11"
"7","Mad Mad Minions","3,365","3,167","720","-340","660","-45","20","-984","-441","-278","962","-2","-34","-48","10","0","0","-2"
"8","Going, Going, Gonzaga","3,292","3,068","600","-285","640","-85","0","-870","-417","-374","1,119","-4","-35","-56","0","0","0","-9"
"9","Norwich DeSilva","3,291","3,042","620","-260","540","-45","5","-842","-370","-350","1,022","-3","-30","-42","10","0","0","-6"
"10","Seattle Steelhead","3,074","3,008","640","-295","460","-75","0","-943","-424","-295","1,064","-2","-33","-28","0","0","0","-3"
"11","Sei-ya ain’t Su…zuki","3,014","3,070","640","-295","510","-50","5","-982","-476","-334","991","-6","-29","-37","10","0","0","-3"
"12","Big Bad Wolf(e)","2,923","2,847","500","-290","480","-45","10","-845","-378","-269","993","-1","-36","-49","10","0","0","-4"

"Standings - Statistics - Hitting"
"Rk","Team","FPts","GP","H","R","2B","3B","HR","RBI","BB","SO","SB","CS","HBP","SH","SF","GIDP","CYC","E","AOF"
"1","The Mamas and Milt Pappas","3,977","","1,554","909","353","22","214","770","700","1,167","126","24","85","5","40","133","0","72","19"
"2","Small Wander","3,972","","1,541","900","316","28","267","893","596","1,264","98","32","60","2","55","104","0","62","18"
"3","Hakuna Matata","3,738","","1,506","902","310","20","238","764","699","1,356","95","36","111","6","45","128","1","61","27"
"4","Going, Going, Gonzaga","3,597","","1,641","822","313","20","259","865","551","1,429","38","12","74","3","50","135","0","59","20"
"5","Ronnie WOOOS","3,585","","1,559","854","334","26","221","756","579","1,376","138","37","95","2","32","141","0","91","28"
"6","Sei-ya ain’t Su…zuki","3,430","","1,520","826","307","32","188","747","517","1,315","115","25","105","4","47","101","0","79","19"
"7","Norwich DeSilva","3,424","","1,411","781","291","22","229","796","541","1,353","152","37","54","2","47","119","0","53","28"
"8","Big Bad Wolf(e)","3,298","","1,451","768","297","12","231","803","505","1,332","99","35","56","4","41","127","1","79","26"
"9","Portland Gnashers","3,276","","1,446","780","269","19","221","766","642","1,383","70","25","66","5","52","136","0","84","37"
"10","Seattle Steelhead","3,237","","1,501","791","324","15","218","766","563","1,435","70","19","67","4","36","134","0","84","33"
"11","Urine, You're Out!!","3,150","","1,570","727","330","14","139","715","517","1,228","78","39","79","2","47","122","0","73","24"
"12","Mad Mad Minions","3,011","","1,387","744","271","20","200","697","538","1,340","76","32","74","1","42","119","1","70","21"

"Standings - Statistics - Pitching"
"Rk","Team","FPts","GP","IP","W","L","SV","BS","CG","H","ER","BB","K","BK","WP","HB","SHO","NH","PG","E"
"1","The Mamas and Milt Pappas","4,119","","1,110.1","85","51","68","15","3","879","342","316","1,202","5","42","47","1","0","0","8"
"2","Urine, You're Out!!","4,110","","1,160","74","59","59","11","8","954","429","261","1,293","2","20","34","2","0","0","3"
"3","Ronnie WOOOS","3,920","","1,117.1","92","54","47","13","0","886","347","271","1,114","2","27","60","0","0","0","8"
"4","Portland Gnashers","3,892","","1,073.1","92","50","55","17","2","859","383","331","1,159","0","38","37","2","0","0","4"
"5","Small Wander","3,671","","1,073.2","75","60","61","14","0","886","410","306","1,160","6","35","50","0","0","0","7"
"6","Hakuna Matata","3,667","","1,085.1","79","53","64","15","2","956","403","270","1,047","2","42","52","0","0","0","11"
"7","Mad Mad Minions","3,365","","1,055.2","72","68","66","9","4","984","441","278","962","2","34","48","1","0","0","2"
"8","Going, Going, Gonzaga","3,292","","1,022.2","60","57","64","17","0","870","417","374","1,119","4","35","56","0","0","0","9"
"9","Norwich DeSilva","3,291","","1,014","62","52","54","9","1","842","370","350","1,022","3","30","42","1","0","0","6"
"10","Seattle Steelhead","3,074","","1,002.2","64","59","46","15","0","943","424","295","1,064","2","33","28","0","0","0","3"
"11","Sei-ya ain’t Su…zuki","3,014","","1,023.1","64","59","51","10","1","982","476","334","991","6","29","37","1","0","0","3"
"12","Big Bad Wolf(e)","2,923","","949","50","58","48","9","2","845","378","269","993","1","36","49","1","0","0","4"

"Innings Pitched"
"Rk","FPts","Team","IP"
"1","3,480","Urine, You're Out!!","1,160"
"2","3,352","Ronnie WOOOS","1,117.1"
"3","3,331","The Mamas and Milt Pappas","1,110.1"
"4","3,256","Hakuna Matata","1,085.1"
"5","3,221","Small Wander","1,073.2"
"6","3,220","Portland Gnashers","1,073.1"
"7","3,167","Mad Mad Minions","1,055.2"
"8","3,070","Sei-ya ain’t Su…zuki","1,023.1"
"9","3,068","Going, Going, Gonzaga","1,022.2"
"10","3,042","Norwich DeSilva","1,014"
"11","3,008","Seattle Steelhead","1,002.2"
"12","2,847","Big Bad Wolf(e)","949"

"Wins"
"Rk","FPts","Team","W"
"1","920","Portland Gnashers","92"
"1","920","Ronnie WOOOS","92"
"3","850","The Mamas and Milt Pappas","85"
"4","790","Hakuna Matata","79"
"5","750","Small Wander","75"
"6","740","Urine, You're Out!!","74"
"7","720","Mad Mad Minions","72"
"8","640","Seattle Steelhead","64"
"8","640","Sei-ya ain’t Su…zuki","64"
"10","620","Norwich DeSilva","62"
"11","600","Going, Going, Gonzaga","60"
"12","500","Big Bad Wolf(e)","50"

"Losses"
"Rk","FPts","Team","L"
"1","-250","Portland Gnashers","50"
"2","-255","The Mamas and Milt Pappas","51"
"3","-260","Norwich DeSilva","52"
"4","-265","Hakuna Matata","53"
"5","-270","Ronnie WOOOS","54"
"6","-285","Going, Going, Gonzaga","57"
"7","-290","Big Bad Wolf(e)","58"
"8","-295","Seattle Steelhead","59"
"8","-295","Sei-ya ain’t Su…zuki","59"
"8","-295","Urine, You're Out!!","59"
"11","-300","Small Wander","60"
"12","-340","Mad Mad Minions","68"

"Saves"
"Rk","FPts","Team","SV"
"1","680","The Mamas and Milt Pappas","68"
"2","660","Mad Mad Minions","66"
"3","640","Going, Going, Gonzaga","64"
"3","640","Hakuna Matata","64"
"5","610","Small Wander","61"
"6","590","Urine, You're Out!!","59"
"7","550","Portland Gnashers","55"
"8","540","Norwich DeSilva","54"
"9","510","Sei-ya ain’t Su…zuki","51"
"10","480","Big Bad Wolf(e)","48"
"11","470","Ronnie WOOOS","47"
"12","460","Seattle Steelhead","46"

"Blown Saves"
"Rk","FPts","Team","BS"
"1","-45","Big Bad Wolf(e)","9"
"1","-45","Mad Mad Minions","9"
"1","-45","Norwich DeSilva","9"
"4","-50","Sei-ya ain’t Su…zuki","10"
"5","-55","Urine, You're Out!!","11"
"6","-65","Ronnie WOOOS","13"
"7","-70","Small Wander","14"
"8","-75","Hakuna Matata","15"
"8","-75","Seattle Steelhead","15"
"8","-75","The Mamas and Milt Pappas","15"
"11","-85","Going, Going, Gonzaga","17"
"11","-85","Portland Gnashers","17"

"Complete Games"
"Rk","FPts","Team","CG"
"1","40","Urine, You're Out!!","8"
"2","20","Mad Mad Minions","4"
"3","15","The Mamas and Milt Pappas","3"
"4","10","Big Bad Wolf(e)","2"
"4","10","Hakuna Matata","2"
"4","10","Portland Gnashers","2"
"7","5","Norwich DeSilva","1"
"7","5","Sei-ya ain’t Su…zuki","1"
"9","0","Going, Going, Gonzaga","0"
"9","0","Ronnie WOOOS","0"
"9","0","Seattle Steelhead","0"
"9","0","Small Wander","0"

"Hits Allowed"
"Rk","FPts","Team","H"
"1","-842","Norwich DeSilva","842"
"2","-845","Big Bad Wolf(e)","845"
"3","-859","Portland Gnashers","859"
"4","-870","Going, Going, Gonzaga","870"
"5","-879","The Mamas and Milt Pappas","879"
"6","-886","Ronnie WOOOS","886"
"6","-886","Small Wander","886"
"8","-943","Seattle Steelhead","943"
"9","-954","Urine, You're Out!!","954"
"10","-956","Hakuna Matata","956"
"11","-982","Sei-ya ain’t Su…zuki","982"
"12","-984","Mad Mad Minions","984"

"Earned Runs Allowed"
"Rk","FPts","Team","ER"
"1","-342","The Mamas and Milt Pappas","342"
"2","-347","Ronnie WOOOS","347"
"3","-370","Norwich DeSilva","370"
"4","-378","Big Bad Wolf(e)","378"
"5","-383","Portland Gnashers","383"
"6","-403","Hakuna Matata","403"
"7","-410","Small Wander","410"
"8","-417","Going, Going, Gonzaga","417"
"9","-424","Seattle Steelhead","424"
"10","-429","Urine, You're Out!!","429"
"11","-441","Mad Mad Minions","441"
"12","-476","Sei-ya ain’t Su…zuki","476"

"Walks Allowed"
"Rk","FPts","Team","BB"
"1","-261","Urine, You're Out!!","261"
"2","-269","Big Bad Wolf(e)","269"
"3","-270","Hakuna Matata","270"
"4","-271","Ronnie WOOOS","271"
"5","-278","Mad Mad Minions","278"
"6","-295","Seattle Steelhead","295"
"7","-306","Small Wander","306"
"8","-316","The Mamas and Milt Pappas","316"
"9","-331","Portland Gnashers","331"
"10","-334","Sei-ya ain’t Su…zuki","334"
"11","-350","Norwich DeSilva","350"
"12","-374","Going, Going, Gonzaga","374"

"Strikeouts Pitched"
"Rk","FPts","Team","K"
"1","1,293","Urine, You're Out!!","1,293"
"2","1,202","The Mamas and Milt Pappas","1,202"
"3","1,160","Small Wander","1,160"
"4","1,159","Portland Gnashers","1,159"
"5","1,119","Going, Going, Gonzaga","1,119"
"6","1,114","Ronnie WOOOS","1,114"
"7","1,064","Seattle Steelhead","1,064"
"8","1,047","Hakuna Matata","1,047"
"9","1,022","Norwich DeSilva","1,022"
"10","993","Big Bad Wolf(e)","993"
"11","991","Sei-ya ain’t Su…zuki","991"
"12","962","Mad Mad Minions","962"

"Balks"
"Rk","FPts","Team","BK"
"1","0","Portland Gnashers","0"
"2","-1","Big Bad Wolf(e)","1"
"3","-2","Hakuna Matata","2"
"3","-2","Mad Mad Minions","2"
"3","-2","Ronnie WOOOS","2"
"3","-2","Seattle Steelhead","2"
"3","-2","Urine, You're Out!!","2"
"8","-3","Norwich DeSilva","3"
"9","-4","Going, Going, Gonzaga","4"
"10","-5","The Mamas and Milt Pappas","5"
"11","-6","Sei-ya ain’t Su…zuki","6"
"11","-6","Small Wander","6"

"Wild Pitches"
"Rk","FPts","Team","WP"
"1","-20","Urine, You're Out!!","20"
"2","-27","Ronnie WOOOS","27"
"3","-29","Sei-ya ain’t Su…zuki","29"
"4","-30","Norwich DeSilva","30"
"5","-33","Seattle Steelhead","33"
"6","-34","Mad Mad Minions","34"
"7","-35","Going, Going, Gonzaga","35"
"7","-35","Small Wander","35"
"9","-36","Big Bad Wolf(e)","36"
"10","-38","Portland Gnashers","38"
"11","-42","Hakuna Matata","42"
"11","-42","The Mamas and Milt Pappas","42"

"Hit Batsmen"
"Rk","FPts","Team","HB"
"1","-28","Seattle Steelhead","28"
"2","-34","Urine, You're Out!!","34"
"3","-37","Portland Gnashers","37"
"3","-37","Sei-ya ain’t Su…zuki","37"
"5","-42","Norwich DeSilva","42"
"6","-47","The Mamas and Milt Pappas","47"
"7","-48","Mad Mad Minions","48"
"8","-49","Big Bad Wolf(e)","49"
"9","-50","Small Wander","50"
"10","-52","Hakuna Matata","52"
"11","-56","Going, Going, Gonzaga","56"
"12","-60","Ronnie WOOOS","60"

"Shutouts"
"Rk","FPts","Team","SHO"
"1","20","Portland Gnashers","2"
"1","20","Urine, You're Out!!","2"
"3","10","Big Bad Wolf(e)","1"
"3","10","Mad Mad Minions","1"
"3","10","Norwich DeSilva","1"
"3","10","Sei-ya ain’t Su…zuki","1"
"3","10","The Mamas and Milt Pappas","1"
"8","0","Going, Going, Gonzaga","0"
"8","0","Hakuna Matata","0"
"8","0","Ronnie WOOOS","0"
"8","0","Seattle Steelhead","0"
"8","0","Small Wander","0"

"No Hitters"
"Rk","FPts","Team","NH"
